date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,202.85,205.85,202.6,203.7,50843
2015-02-02 10:15:00+05:30,203.7,206.15,202.0,206.15,27819
2015-02-02 11:15:00+05:30,206.5,207.3,202.7,204.55,33968
2015-02-02 12:15:00+05:30,205.0,205.5,204.0,205.15,11017
2015-02-02 13:15:00+05:30,205.15,206.0,205.05,205.95,20173
2015-02-02 14:15:00+05:30,205.95,205.95,203.05,203.9,16786
2015-02-02 15:15:00+05:30,203.9,206.0,203.6,205.0,16653
2015-02-03 09:15:00+05:30,206.75,206.75,204.0,205.85,31887
2015-02-03 10:15:00+05:30,205.85,205.85,202.5,203.85,18388
2015-02-03 11:15:00+05:30,203.85,205.0,198.5,199.85,17508
2015-02-03 12:15:00+05:30,199.85,200.0,197.65,197.8,22502
2015-02-03 13:15:00+05:30,197.8,199.0,196.45,197.0,23060
2015-02-03 14:15:00+05:30,197.0,199.0,194.55,195.6,209743
2015-02-03 15:15:00+05:30,195.2,195.5,193.15,194.45,15364
2015-02-04 09:15:00+05:30,197.0,197.0,192.1,193.6,24514
2015-02-04 10:15:00+05:30,193.6,194.4,192.15,194.4,8829
2015-02-04 11:15:00+05:30,194.4,195.65,194.1,195.2,5283
2015-02-04 12:15:00+05:30,195.2,204.3,195.2,202.7,72107
2015-02-04 13:15:00+05:30,202.7,202.7,199.15,201.0,27977
2015-02-04 14:15:00+05:30,201.0,201.0,199.0,199.0,10699
2015-02-04 15:15:00+05:30,199.0,199.55,194.95,196.0,26501
2015-02-05 09:15:00+05:30,197.5,198.5,194.3,196.6,29015
2015-02-05 10:15:00+05:30,196.6,197.5,195.55,196.3,14115
2015-02-05 11:15:00+05:30,196.3,197.0,196.3,196.5,7139
2015-02-05 12:15:00+05:30,196.5,197.0,196.4,196.7,2321
2015-02-05 13:15:00+05:30,196.8,199.8,196.6,197.55,19095
2015-02-05 14:15:00+05:30,197.55,198.3,195.65,197.0,38035
2015-02-05 15:15:00+05:30,197.0,198.8,196.0,198.8,30980
2015-02-06 09:15:00+05:30,197.3,202.6,197.3,201.55,31761
2015-02-06 10:15:00+05:30,201.95,204.35,200.0,202.6,67532
2015-02-06 11:15:00+05:30,202.6,206.65,201.0,204.15,189573
2015-02-06 12:15:00+05:30,204.15,205.6,204.05,204.75,75641
2015-02-06 13:15:00+05:30,204.75,206.5,204.45,204.6,42047
2015-02-06 14:15:00+05:30,204.6,204.9,201.25,202.5,53424
2015-02-06 15:15:00+05:30,202.5,203.0,201.9,202.85,29494
2015-02-09 09:15:00+05:30,199.75,203.4,197.35,201.9,31593
2015-02-09 10:15:00+05:30,201.9,209.9,201.65,207.5,173990
2015-02-09 11:15:00+05:30,207.5,210.0,207.2,208.05,111450
2015-02-09 12:15:00+05:30,208.05,209.0,205.8,207.7,26521
2015-02-09 13:15:00+05:30,207.7,208.3,205.1,207.0,18544
2015-02-09 14:15:00+05:30,207.0,207.0,200.6,201.8,40240
2015-02-09 15:15:00+05:30,201.8,203.4,200.95,201.8,19284
2015-02-10 09:15:00+05:30,200.0,207.95,200.0,205.0,46911
2015-02-10 10:15:00+05:30,205.0,206.0,204.6,205.5,7298
2015-02-10 11:15:00+05:30,205.5,207.5,205.3,206.15,24251
2015-02-10 12:15:00+05:30,206.15,206.15,203.2,204.1,13382
2015-02-10 13:15:00+05:30,204.1,204.1,197.4,197.95,32037
2015-02-10 14:15:00+05:30,198.0,200.0,195.3,199.05,35671
2015-02-10 15:15:00+05:30,199.0,199.6,197.95,198.15,12823
2015-02-11 09:15:00+05:30,199.25,204.0,199.25,202.0,32630
2015-02-11 10:15:00+05:30,202.0,204.3,201.6,204.2,17515
2015-02-11 11:15:00+05:30,204.0,204.2,203.0,203.3,8893
2015-02-11 12:15:00+05:30,203.3,203.85,202.6,202.8,6403
2015-02-11 13:15:00+05:30,202.8,203.45,202.5,202.5,6077
2015-02-11 14:15:00+05:30,202.5,204.0,202.5,203.1,25131
2015-02-11 15:15:00+05:30,203.1,203.95,202.75,203.0,12506
2015-02-12 09:15:00+05:30,204.0,210.0,204.0,209.7,162124
2015-02-12 10:15:00+05:30,209.65,210.5,207.9,210.5,166889
2015-02-12 11:15:00+05:30,210.5,210.9,205.4,206.0,133786
2015-02-12 12:15:00+05:30,206.05,206.45,205.3,205.9,9508
2015-02-12 13:15:00+05:30,205.9,209.6,205.85,208.1,39729
2015-02-12 14:15:00+05:30,208.1,210.0,207.35,207.85,76358
2015-02-12 15:15:00+05:30,207.85,207.95,206.35,207.0,36230
2015-02-13 09:15:00+05:30,208.5,214.5,206.8,208.65,203651
2015-02-13 10:15:00+05:30,208.65,209.85,208.25,209.5,38500
2015-02-13 11:15:00+05:30,209.5,210.4,208.9,209.1,29198
2015-02-13 12:15:00+05:30,209.1,209.65,208.05,209.1,12316
2015-02-13 13:15:00+05:30,209.1,209.1,206.9,207.5,19093
2015-02-13 14:15:00+05:30,207.5,208.5,205.0,205.0,29748
2015-02-13 15:15:00+05:30,205.0,206.0,204.35,205.5,54034
2015-02-16 09:15:00+05:30,205.1,209.0,205.1,208.2,32319
2015-02-16 10:15:00+05:30,208.4,208.9,205.65,206.0,23751
2015-02-16 11:15:00+05:30,206.0,207.25,205.0,206.4,9364
2015-02-16 12:15:00+05:30,206.4,207.6,205.75,207.0,10378
2015-02-16 13:15:00+05:30,207.0,207.0,204.9,205.5,10802
2015-02-16 14:15:00+05:30,205.5,205.5,203.3,203.3,13049
2015-02-16 15:15:00+05:30,203.4,203.8,202.4,202.4,27383
2015-02-18 09:15:00+05:30,204.8,206.0,197.8,201.45,43103
2015-02-18 10:15:00+05:30,201.45,202.4,200.35,201.55,10421
2015-02-18 11:15:00+05:30,201.55,202.15,199.45,200.1,26485
2015-02-18 12:15:00+05:30,200.1,202.35,199.7,201.5,25851
2015-02-18 13:15:00+05:30,201.5,202.55,201.05,202.0,4890
2015-02-18 14:15:00+05:30,202.0,203.5,201.2,202.0,16231
2015-02-18 15:15:00+05:30,202.0,202.0,200.0,201.0,13952
2015-02-19 09:15:00+05:30,202.0,205.5,201.0,203.4,38005
2015-02-19 10:15:00+05:30,203.4,203.85,200.0,200.85,22402
2015-02-19 11:15:00+05:30,200.85,202.0,200.4,201.3,6089
2015-02-19 12:15:00+05:30,201.3,202.85,201.3,202.85,2262
2015-02-19 13:15:00+05:30,202.85,203.45,201.9,202.05,8559
2015-02-19 14:15:00+05:30,202.05,203.0,201.25,202.75,7447
2015-02-19 15:15:00+05:30,202.75,203.4,202.0,202.8,8232
2015-02-20 09:15:00+05:30,203.45,208.15,201.8,206.0,62784
2015-02-20 10:15:00+05:30,206.0,207.7,205.75,206.5,15153
2015-02-20 11:15:00+05:30,206.5,207.75,206.25,206.4,8753
2015-02-20 12:15:00+05:30,206.4,207.4,205.8,206.0,12041
2015-02-20 13:15:00+05:30,206.0,206.85,204.5,205.0,94873
2015-02-20 14:15:00+05:30,205.0,206.2,204.6,205.15,33562
2015-02-20 15:15:00+05:30,205.15,205.75,204.3,205.0,17195
2015-02-23 09:15:00+05:30,206.25,208.8,205.0,207.25,23348
2015-02-23 10:15:00+05:30,207.25,208.5,206.25,207.8,17025
2015-02-23 11:15:00+05:30,207.8,208.0,206.3,207.0,10892
2015-02-23 12:15:00+05:30,207.0,208.75,207.0,207.2,7161
2015-02-23 13:15:00+05:30,207.2,207.45,206.1,206.65,5873
2015-02-23 14:15:00+05:30,206.75,208.5,205.4,207.9,21627
2015-02-23 15:15:00+05:30,207.9,207.95,207.0,207.9,12185
2015-02-24 09:15:00+05:30,208.9,210.8,203.9,207.55,173100
2015-02-24 10:15:00+05:30,207.55,207.7,206.35,206.4,18660
2015-02-24 11:15:00+05:30,206.4,206.7,205.2,205.2,7801
2015-02-24 12:15:00+05:30,205.5,207.8,204.9,207.45,12676
2015-02-24 13:15:00+05:30,207.45,208.65,207.0,207.15,13744
2015-02-24 14:15:00+05:30,207.0,207.0,206.3,206.9,13246
2015-02-24 15:15:00+05:30,206.9,207.0,205.9,206.05,16908
2015-02-25 09:15:00+05:30,205.0,207.95,205.0,207.0,16312
2015-02-25 10:15:00+05:30,207.45,207.45,205.0,205.5,11038
2015-02-25 11:15:00+05:30,205.5,209.4,205.05,207.5,30737
2015-02-25 12:15:00+05:30,207.5,212.9,207.0,211.7,423634
2015-02-25 13:15:00+05:30,211.7,221.35,210.0,213.45,460743
2015-02-25 14:15:00+05:30,213.5,215.75,212.6,214.0,89282
2015-02-25 15:15:00+05:30,214.0,215.0,213.15,214.9,67770
2015-02-26 09:15:00+05:30,214.65,218.45,214.65,217.8,155932
2015-02-26 10:15:00+05:30,217.8,218.0,216.45,217.35,48641
2015-02-26 11:15:00+05:30,217.35,217.4,215.0,216.1,110154
2015-02-26 12:15:00+05:30,216.1,217.5,214.3,215.75,25625
2015-02-26 13:15:00+05:30,215.8,217.2,214.2,217.2,27373
2015-02-26 14:15:00+05:30,217.2,217.2,214.5,214.5,93050
2015-02-26 15:15:00+05:30,214.75,216.0,212.6,215.0,61060
2015-02-27 09:15:00+05:30,216.4,220.7,216.4,219.0,90006
2015-02-27 10:15:00+05:30,219.0,219.45,216.8,217.3,21057
2015-02-27 11:15:00+05:30,217.3,219.0,217.3,218.5,23388
2015-02-27 12:15:00+05:30,218.4,218.9,217.25,217.95,11062
2015-02-27 13:15:00+05:30,217.95,218.7,216.65,217.65,17592
2015-02-27 14:15:00+05:30,217.2,218.55,216.0,218.5,34861
2015-02-27 15:15:00+05:30,218.5,219.3,217.35,217.5,30173
2015-02-28 09:15:00+05:30,220.85,222.0,218.05,220.0,72406
2015-02-28 10:15:00+05:30,220.5,224.3,219.85,221.8,84909
