date,open,high,low,close,volume
2024-09-16 00:00:00+05:30,240.0,270.89,231.96,259.81,24813036
2024-09-17 00:00:00+05:30,260.0,270.0,245.0,245.74,5707626
2024-09-18 00:00:00+05:30,245.95,253.9,236.67,237.56,2246509
2024-09-19 00:00:00+05:30,240.0,242.0,215.06,223.37,1976295
2024-09-20 00:00:00+05:30,226.22,227.92,216.36,220.59,1025555
2024-09-23 00:00:00+05:30,224.99,233.96,222.25,229.0,1429673
2024-09-24 00:00:00+05:30,228.94,236.0,224.46,228.07,1297086
2024-09-25 00:00:00+05:30,230.0,230.0,220.49,221.74,679917
2024-09-26 00:00:00+05:30,222.0,228.0,221.58,223.75,649359
2024-09-27 00:00:00+05:30,224.8,228.95,220.5,221.98,612323
2024-09-30 00:00:00+05:30,213.1,214.9,207.52,210.07,1356227
2024-10-01 00:00:00+05:30,209.3,214.89,209.3,212.37,444045
2024-10-03 00:00:00+05:30,206.3,212.45,204.1,206.62,557069
2024-10-04 00:00:00+05:30,206.62,208.79,195.11,197.89,767275
2024-10-07 00:00:00+05:30,198.99,200.98,186.32,187.69,551092
2024-10-08 00:00:00+05:30,184.0,194.39,183.85,192.9,335307
2024-10-09 00:00:00+05:30,195.0,201.69,194.53,196.09,311405
2024-10-10 00:00:00+05:30,197.0,201.9,197.0,200.18,220521
2024-10-11 00:00:00+05:30,201.8,201.8,197.0,197.67,173453
2024-10-14 00:00:00+05:30,200.0,200.55,193.5,193.98,200698
2024-10-15 00:00:00+05:30,196.25,196.25,192.56,193.33,164066
2024-10-16 00:00:00+05:30,193.31,199.49,192.54,194.3,236551
2024-10-17 00:00:00+05:30,195.25,195.25,191.1,191.86,134131
2024-10-18 00:00:00+05:30,192.4,192.4,188.01,188.77,216412
2024-10-21 00:00:00+05:30,191.6,191.6,178.51,179.79,427136
2024-10-22 00:00:00+05:30,180.0,180.25,171.1,171.86,305476
2024-10-23 00:00:00+05:30,173.0,176.65,167.02,175.05,295515
2024-10-24 00:00:00+05:30,176.1,177.29,171.0,171.65,246203
2024-10-25 00:00:00+05:30,173.34,173.34,160.24,161.34,454884
2024-10-28 00:00:00+05:30,163.33,171.9,158.0,170.41,407723
2024-10-29 00:00:00+05:30,170.41,172.19,161.51,164.88,380688
2024-10-30 00:00:00+05:30,163.0,171.8,163.0,169.48,242208
2024-10-31 00:00:00+05:30,169.03,172.69,165.15,167.77,174682
2024-11-01 00:00:00+05:30,170.0,184.0,168.6,181.19,341776
2024-11-04 00:00:00+05:30,184.99,184.99,176.25,177.14,240410
2024-11-05 00:00:00+05:30,176.5,194.8,176.24,190.69,791939
2024-11-06 00:00:00+05:30,192.95,215.99,190.69,211.52,3466425
2024-11-07 00:00:00+05:30,211.52,219.65,207.0,209.75,1430596
2024-11-08 00:00:00+05:30,209.5,209.54,198.0,199.35,405976
2024-11-11 00:00:00+05:30,196.8,206.0,195.0,198.7,293499
2024-11-12 00:00:00+05:30,201.0,202.65,188.78,190.39,208370
2024-11-13 00:00:00+05:30,186.11,189.0,175.76,176.87,392175
2024-11-14 00:00:00+05:30,175.01,183.0,175.01,177.98,178539
2024-11-18 00:00:00+05:30,186.8,210.0,181.12,204.86,1217909
2024-11-19 00:00:00+05:30,208.0,220.4,199.19,203.28,890712
2024-11-21 00:00:00+05:30,203.88,225.69,199.77,219.08,3419814
2024-11-22 00:00:00+05:30,223.92,232.0,215.21,217.83,2815507
