date,open,high,low,close,volume
2003-01-01 00:00:00+05:30,10.21,10.21,10.16,10.16,122901
2003-01-02 00:00:00+05:30,10.16,10.21,10.07,10.11,133641
2003-01-03 00:00:00+05:30,10.16,10.26,9.97,9.97,176337
2003-01-06 00:00:00+05:30,10.07,10.16,9.72,9.87,230503
2003-01-07 00:00:00+05:30,10.07,10.07,9.82,9.92,144008
2003-01-08 00:00:00+05:30,10.02,10.16,10.02,10.07,106241
2003-01-09 00:00:00+05:30,10.16,10.75,10.11,10.6,748971
2003-01-10 00:00:00+05:30,10.6,10.89,10.41,10.65,794348
2003-01-13 00:00:00+05:30,11.09,11.43,10.75,11.38,1069441
2003-01-14 00:00:00+05:30,11.57,12.06,11.43,11.91,1508838
2003-01-15 00:00:00+05:30,12.11,12.45,12.01,12.25,992970
2003-01-16 00:00:00+05:30,12.59,12.59,12.25,12.3,638417
2003-01-17 00:00:00+05:30,12.2,12.35,11.82,12.06,549531
2003-01-20 00:00:00+05:30,12.5,12.79,11.96,12.01,413714
2003-01-21 00:00:00+05:30,12.25,12.93,12.06,12.64,1544810
2003-01-22 00:00:00+05:30,13.03,13.32,12.5,12.89,2312469
2003-01-23 00:00:00+05:30,12.74,13.27,12.74,13.03,1303955
2003-01-24 00:00:00+05:30,12.98,13.08,12.01,12.16,847089
2003-01-27 00:00:00+05:30,12.45,12.55,11.91,12.16,1387483
2003-01-28 00:00:00+05:30,12.4,12.5,11.96,12.5,752188
2003-01-29 00:00:00+05:30,12.74,13.03,12.5,12.74,1065637
2003-01-30 00:00:00+05:30,16.39,16.53,15.32,15.95,1090868
2003-01-31 00:00:00+05:30,13.13,13.13,12.3,12.74,795690
2003-02-03 00:00:00+05:30,12.93,12.93,12.69,12.89,270006
2003-02-04 00:00:00+05:30,12.93,13.03,12.79,12.84,431588
2003-02-05 00:00:00+05:30,12.93,12.93,12.69,12.69,184438
2003-02-06 00:00:00+05:30,12.25,12.74,12.25,12.69,309203
2003-02-07 00:00:00+05:30,12.69,12.84,12.55,12.59,247315
2003-02-10 00:00:00+05:30,12.5,12.5,12.06,12.11,259209
2003-02-11 00:00:00+05:30,12.11,12.16,11.48,11.67,283546
2003-02-12 00:00:00+05:30,11.62,11.82,11.52,11.72,161388
2003-02-14 00:00:00+05:30,11.82,11.82,11.52,11.57,286993
2003-02-17 00:00:00+05:30,11.82,12.06,11.62,11.86,265736
2003-02-18 00:00:00+05:30,12.25,12.45,11.91,12.06,312685
2003-02-19 00:00:00+05:30,12.16,12.69,12.06,12.55,433276
2003-02-20 00:00:00+05:30,12.89,13.13,12.64,12.74,637538
2003-02-21 00:00:00+05:30,12.69,12.79,12.45,12.5,250248
2003-02-24 00:00:00+05:30,12.5,12.79,12.4,12.5,269259
2003-02-25 00:00:00+05:30,12.59,12.59,12.06,12.11,262294
