date,open,high,low,close,volume
2023-07-17 09:15:00+05:30,554.0,582.7,550.5,572.65,153540
2023-07-17 10:15:00+05:30,572.65,577.3,555.0,565.9,97211
2023-07-17 11:15:00+05:30,565.9,567.65,560.05,565.0,34983
2023-07-17 12:15:00+05:30,565.0,565.15,555.0,558.75,29310
2023-07-17 13:15:00+05:30,558.75,559.9,557.0,559.1,26126
2023-07-17 14:15:00+05:30,559.1,565.0,558.05,564.0,41360
2023-07-17 15:15:00+05:30,564.0,564.8,560.1,564.7,13787
2023-07-18 09:15:00+05:30,573.9,573.9,550.1,557.5,67729
2023-07-18 10:15:00+05:30,557.5,559.1,531.0,543.95,64155
2023-07-18 11:15:00+05:30,543.95,547.85,540.0,540.3,32270
2023-07-18 12:15:00+05:30,540.3,547.0,540.3,543.5,35871
2023-07-18 13:15:00+05:30,543.5,547.0,542.0,543.7,35977
2023-07-18 14:15:00+05:30,545.0,546.0,542.5,543.1,18719
2023-07-18 15:15:00+05:30,543.1,545.5,538.0,544.8,19042
2023-07-19 09:15:00+05:30,564.7,564.8,542.05,549.0,33638
2023-07-19 10:15:00+05:30,549.0,549.0,541.25,542.0,25881
2023-07-19 11:15:00+05:30,542.0,548.55,542.0,547.3,7485
2023-07-19 12:15:00+05:30,547.3,551.5,546.75,547.55,9976
2023-07-19 13:15:00+05:30,547.55,563.4,547.55,562.25,31843
2023-07-19 14:15:00+05:30,563.3,572.0,560.3,565.8,86574
2023-07-19 15:15:00+05:30,565.8,569.0,562.25,568.25,11277
2023-07-20 09:15:00+05:30,572.7,572.7,557.0,564.75,22661
2023-07-20 10:15:00+05:30,564.75,567.25,560.85,563.05,7586
2023-07-20 11:15:00+05:30,563.95,568.3,563.0,564.5,6515
2023-07-20 12:15:00+05:30,564.5,568.5,564.35,565.65,6956
2023-07-20 13:15:00+05:30,565.65,568.0,565.0,568.0,9988
2023-07-20 14:15:00+05:30,568.0,568.0,561.0,564.0,21922
2023-07-20 15:15:00+05:30,564.0,564.95,562.0,564.9,5672
2023-07-21 09:15:00+05:30,564.5,564.5,554.5,558.3,24383
2023-07-21 10:15:00+05:30,558.3,560.0,555.1,556.4,20362
2023-07-21 11:15:00+05:30,556.4,561.95,555.5,558.35,22921
2023-07-21 12:15:00+05:30,558.35,559.45,556.0,556.75,10335
2023-07-21 13:15:00+05:30,556.75,557.3,553.55,554.75,15132
2023-07-21 14:15:00+05:30,554.75,562.5,550.05,561.9,82273
2023-07-21 15:15:00+05:30,561.9,561.9,552.2,558.7,7617
2023-07-24 09:15:00+05:30,567.0,578.7,563.45,570.45,127954
2023-07-24 10:15:00+05:30,570.45,571.15,565.0,566.05,24424
2023-07-24 11:15:00+05:30,566.05,580.0,560.05,572.95,5478264
2023-07-24 12:15:00+05:30,573.0,577.75,568.7,574.95,190029
2023-07-24 13:15:00+05:30,574.95,578.7,572.0,572.0,78359
2023-07-24 14:15:00+05:30,572.0,578.4,565.25,577.0,251476
2023-07-24 15:15:00+05:30,577.0,577.0,571.5,574.8,69488
2023-07-25 09:15:00+05:30,578.0,582.25,567.95,570.75,85317
2023-07-25 10:15:00+05:30,570.75,571.35,567.1,569.8,17030
2023-07-25 11:15:00+05:30,569.8,575.5,560.75,574.8,963161
2023-07-25 12:15:00+05:30,574.8,574.9,565.5,572.05,158735
2023-07-25 13:15:00+05:30,572.05,584.7,566.9,580.3,271857
2023-07-25 14:15:00+05:30,580.3,582.0,572.05,576.7,51448
2023-07-25 15:15:00+05:30,576.7,577.15,573.75,574.9,32392
2023-07-26 09:15:00+05:30,572.0,579.7,572.0,579.0,62576
2023-07-26 10:15:00+05:30,579.0,579.7,574.0,575.9,28531
2023-07-26 11:15:00+05:30,575.85,579.7,573.75,574.0,68482
2023-07-26 12:15:00+05:30,574.0,575.4,573.25,573.95,16271
2023-07-26 13:15:00+05:30,573.95,575.05,573.7,575.05,47530
2023-07-26 14:15:00+05:30,575.05,579.0,573.75,574.75,186900
2023-07-26 15:15:00+05:30,574.75,575.0,573.75,573.75,19893
2023-07-27 09:15:00+05:30,580.0,580.0,574.0,575.45,30013
2023-07-27 10:15:00+05:30,575.45,577.0,575.1,577.0,16043
2023-07-27 11:15:00+05:30,577.0,578.0,575.15,576.8,222852
2023-07-27 12:15:00+05:30,576.8,578.0,576.15,577.65,12946
2023-07-27 13:15:00+05:30,577.65,578.0,575.0,577.5,28405
2023-07-27 14:15:00+05:30,577.5,578.9,574.05,576.35,48460
2023-07-27 15:15:00+05:30,576.35,577.85,575.0,577.0,5375
2023-07-28 09:15:00+05:30,578.0,578.95,573.0,573.5,43568
2023-07-28 10:15:00+05:30,573.5,589.7,573.4,588.45,129985
2023-07-28 11:15:00+05:30,589.0,592.0,585.2,591.85,55023
2023-07-28 12:15:00+05:30,591.85,594.9,589.95,592.75,71973
2023-07-28 13:15:00+05:30,592.75,595.0,588.05,594.0,36065
2023-07-28 14:15:00+05:30,594.05,599.0,593.85,595.3,145557
2023-07-28 15:15:00+05:30,595.9,599.0,593.6,597.0,42370
2023-07-31 09:15:00+05:30,599.75,607.0,599.5,604.05,162525
2023-07-31 10:15:00+05:30,604.6,609.0,602.55,608.1,75687
2023-07-31 11:15:00+05:30,608.1,611.5,608.0,611.3,68640
2023-07-31 12:15:00+05:30,611.25,613.0,610.05,612.75,26852
2023-07-31 13:15:00+05:30,612.0,631.6,611.95,625.05,177727
2023-07-31 14:15:00+05:30,625.05,632.2,624.7,627.9,124095
2023-07-31 15:15:00+05:30,627.9,632.0,626.05,632.0,58172
2023-08-01 09:15:00+05:30,636.0,646.0,633.95,642.45,275477
2023-08-01 10:15:00+05:30,642.45,643.4,612.85,628.2,145609
2023-08-01 11:15:00+05:30,628.2,647.0,627.0,642.65,96142
2023-08-01 12:15:00+05:30,642.65,643.25,637.2,640.9,40949
2023-08-01 13:15:00+05:30,640.9,646.0,639.55,642.8,76465
2023-08-01 14:15:00+05:30,642.8,645.3,641.6,642.25,30001
2023-08-01 15:15:00+05:30,642.25,652.0,641.1,645.05,67056
2023-08-02 09:15:00+05:30,648.7,650.0,641.3,647.45,72250
2023-08-02 10:15:00+05:30,647.45,647.45,621.25,624.55,97243
2023-08-02 11:15:00+05:30,624.55,626.1,606.7,616.6,145884
2023-08-02 12:15:00+05:30,616.6,619.55,607.9,610.0,68841
2023-08-02 13:15:00+05:30,610.0,613.1,603.25,604.9,85150
2023-08-02 14:15:00+05:30,604.75,623.0,599.7,621.45,118674
2023-08-02 15:15:00+05:30,621.45,624.0,620.0,622.3,35023
2023-08-03 09:15:00+05:30,628.0,633.0,621.0,624.65,48946
2023-08-03 10:15:00+05:30,624.65,624.8,616.0,616.4,26132
2023-08-03 11:15:00+05:30,616.4,623.1,616.0,617.05,27004
2023-08-03 12:15:00+05:30,617.05,617.8,613.0,617.25,18919
2023-08-03 13:15:00+05:30,617.25,618.0,609.15,610.05,33358
2023-08-03 14:15:00+05:30,610.05,639.8,609.0,634.9,173718
2023-08-03 15:15:00+05:30,634.15,639.05,630.25,633.0,40944
2023-08-04 09:15:00+05:30,643.4,646.15,631.75,639.75,81161
2023-08-04 10:15:00+05:30,639.75,640.45,635.0,638.85,20712
2023-08-04 11:15:00+05:30,638.85,643.5,637.8,640.5,12281
2023-08-04 12:15:00+05:30,640.5,642.9,639.1,642.6,14185
2023-08-04 13:15:00+05:30,642.6,643.0,640.0,640.8,10804
2023-08-04 14:15:00+05:30,640.8,642.0,638.85,640.75,22884
2023-08-04 15:15:00+05:30,640.75,643.0,640.0,640.3,18224
2023-08-07 09:15:00+05:30,644.85,670.9,644.85,666.95,179500
2023-08-07 10:15:00+05:30,666.95,683.0,666.05,676.5,229924
2023-08-07 11:15:00+05:30,676.5,682.5,674.0,675.3,37731
2023-08-07 12:15:00+05:30,675.3,682.0,674.8,681.0,22569
2023-08-07 13:15:00+05:30,681.0,681.95,666.0,666.0,136096
2023-08-07 14:15:00+05:30,666.0,670.9,655.0,655.6,113954
2023-08-07 15:15:00+05:30,655.0,657.55,634.8,638.9,68887
2023-08-08 09:15:00+05:30,644.35,655.3,636.0,649.0,115612
2023-08-08 10:15:00+05:30,649.0,652.5,642.15,642.2,58392
2023-08-08 11:15:00+05:30,642.2,642.2,627.55,636.1,58425
2023-08-08 12:15:00+05:30,636.1,645.95,635.0,645.1,34224
2023-08-08 13:15:00+05:30,645.55,664.0,645.0,660.15,100044
2023-08-08 14:15:00+05:30,660.15,678.0,658.1,664.9,232288
2023-08-08 15:15:00+05:30,664.2,665.5,657.95,660.0,74209
2023-08-09 09:15:00+05:30,681.7,686.7,670.0,673.6,165350
2023-08-09 10:15:00+05:30,674.0,674.0,659.0,663.1,54444
2023-08-09 11:15:00+05:30,663.1,665.0,656.85,662.75,49708
2023-08-09 12:15:00+05:30,662.75,665.3,661.0,661.45,12912
2023-08-09 13:15:00+05:30,661.85,666.4,661.0,662.55,10493
2023-08-09 14:15:00+05:30,662.55,663.35,657.5,659.0,36389
2023-08-09 15:15:00+05:30,659.0,662.7,655.2,662.0,19326
2023-08-10 09:15:00+05:30,655.0,669.6,648.45,651.0,72505
2023-08-10 10:15:00+05:30,651.0,651.0,635.35,642.95,64788
2023-08-10 11:15:00+05:30,642.95,644.6,630.0,632.05,43589
2023-08-10 12:15:00+05:30,632.05,632.05,628.0,631.95,30475
2023-08-10 13:15:00+05:30,631.95,636.0,618.0,620.0,98399
2023-08-10 14:15:00+05:30,620.0,624.65,580.3,618.4,370181
2023-08-10 15:15:00+05:30,617.95,621.4,615.0,619.0,84551
2023-08-11 09:15:00+05:30,621.4,626.35,599.95,618.1,124056
2023-08-11 10:15:00+05:30,618.1,620.0,615.7,617.15,45131
2023-08-11 11:15:00+05:30,617.15,618.7,614.05,615.0,44469
2023-08-11 12:15:00+05:30,615.0,616.4,613.0,615.2,14598
2023-08-11 13:15:00+05:30,615.2,617.95,613.85,614.65,23682
2023-08-11 14:15:00+05:30,614.65,628.0,614.65,626.8,70557
2023-08-11 15:15:00+05:30,627.0,629.0,623.0,623.0,22917
2023-08-14 09:15:00+05:30,625.0,625.0,601.35,617.3,74177
2023-08-14 10:15:00+05:30,618.3,622.7,612.75,613.8,57880
2023-08-14 11:15:00+05:30,613.1,616.0,613.0,613.05,14898
2023-08-14 12:15:00+05:30,613.05,615.0,611.3,612.1,13589
2023-08-14 13:15:00+05:30,612.1,613.65,602.95,609.6,30753
2023-08-14 14:15:00+05:30,609.35,614.5,603.65,605.0,33137
2023-08-14 15:15:00+05:30,605.0,605.0,597.5,601.65,52494
2023-08-16 09:15:00+05:30,618.8,618.8,605.0,611.8,28608
2023-08-16 10:15:00+05:30,611.8,612.55,609.05,610.4,8504
2023-08-16 11:15:00+05:30,610.4,614.4,606.0,609.0,13435
2023-08-16 12:15:00+05:30,609.0,610.25,600.05,605.0,30285
2023-08-16 13:15:00+05:30,605.0,607.5,604.1,606.25,3090
2023-08-16 14:15:00+05:30,606.25,606.6,594.95,595.0,31784
2023-08-16 15:15:00+05:30,595.0,595.9,590.1,590.35,15355
2023-08-17 09:15:00+05:30,595.35,596.15,578.9,585.85,101287
2023-08-17 10:15:00+05:30,585.85,586.0,565.2,568.45,113097
2023-08-17 11:15:00+05:30,569.05,569.55,560.0,562.35,80055
2023-08-17 12:15:00+05:30,562.35,576.75,562.15,571.75,105100
2023-08-17 13:15:00+05:30,571.75,575.75,571.05,572.55,31194
2023-08-17 14:15:00+05:30,572.55,574.0,567.0,567.5,46987
2023-08-17 15:15:00+05:30,567.5,570.0,565.0,570.0,40692
2023-08-18 09:15:00+05:30,571.0,592.35,571.0,580.95,110392
2023-08-18 10:15:00+05:30,581.5,590.5,580.2,587.05,22717
2023-08-18 11:15:00+05:30,587.05,590.5,583.05,583.8,27140
2023-08-18 12:15:00+05:30,583.8,584.95,577.15,578.25,36234
2023-08-18 13:15:00+05:30,578.25,578.25,560.55,569.7,44170
2023-08-18 14:15:00+05:30,569.7,572.55,569.0,572.55,47801
2023-08-18 15:15:00+05:30,572.55,575.0,569.95,575.0,12510
2023-08-21 09:15:00+05:30,584.0,589.0,531.05,543.55,144918
2023-08-21 10:15:00+05:30,543.8,554.55,538.1,548.45,68300
2023-08-21 11:15:00+05:30,548.3,554.45,538.85,546.0,50611
2023-08-21 12:15:00+05:30,546.0,547.1,540.0,540.0,25920
2023-08-21 13:15:00+05:30,540.0,542.3,535.65,536.1,65263
2023-08-21 14:15:00+05:30,536.1,540.85,526.15,530.95,107060
2023-08-21 15:15:00+05:30,530.1,532.65,523.25,528.95,45366
2023-08-22 09:15:00+05:30,529.1,538.7,502.0,512.75,301259
2023-08-22 10:15:00+05:30,512.55,513.0,508.05,509.45,62533
2023-08-22 11:15:00+05:30,509.45,534.7,498.05,524.85,331650
2023-08-22 12:15:00+05:30,524.85,542.9,523.45,540.2,95737
2023-08-22 13:15:00+05:30,540.2,549.5,535.55,542.15,122691
2023-08-22 14:15:00+05:30,542.15,544.6,537.3,538.4,47957
2023-08-22 15:15:00+05:30,538.15,539.0,536.6,536.6,48717
2023-08-23 09:15:00+05:30,543.0,567.9,543.0,565.8,159244
2023-08-23 10:15:00+05:30,565.8,573.95,563.95,567.35,81257
2023-08-23 11:15:00+05:30,567.35,568.0,564.4,565.35,23001
2023-08-23 12:15:00+05:30,565.35,569.65,564.0,568.1,13888
2023-08-23 13:15:00+05:30,568.1,571.15,568.0,569.65,23435
2023-08-23 14:15:00+05:30,569.65,569.65,562.15,564.0,22318
2023-08-23 15:15:00+05:30,564.0,567.5,557.0,565.0,34253
2023-08-24 09:15:00+05:30,567.2,578.0,551.05,557.9,91414
2023-08-24 10:15:00+05:30,557.9,558.9,549.5,553.45,24806
2023-08-24 11:15:00+05:30,553.45,555.0,550.0,552.6,9711
2023-08-24 12:15:00+05:30,554.4,556.0,552.95,553.2,13317
2023-08-24 13:15:00+05:30,553.2,555.95,550.0,554.25,14071
2023-08-24 14:15:00+05:30,554.25,554.25,550.0,550.3,22132
2023-08-24 15:15:00+05:30,550.3,556.0,550.0,556.0,17413
2023-08-25 09:15:00+05:30,552.95,558.3,546.0,547.5,78582
2023-08-25 10:15:00+05:30,547.5,548.1,537.0,538.25,43960
2023-08-25 11:15:00+05:30,538.25,547.75,538.25,543.55,16616
2023-08-25 12:15:00+05:30,543.55,548.5,543.4,547.2,16783
2023-08-25 13:15:00+05:30,547.2,554.0,545.75,551.85,16368
2023-08-25 14:15:00+05:30,551.85,555.0,550.1,551.95,26228
2023-08-25 15:15:00+05:30,551.95,553.0,546.05,550.0,10727
2023-08-28 09:15:00+05:30,557.0,557.7,531.2,531.2,57250
2023-08-28 10:15:00+05:30,531.2,539.7,527.35,539.35,51863
2023-08-28 11:15:00+05:30,539.35,549.0,537.25,545.65,30439
2023-08-28 12:15:00+05:30,545.65,547.4,545.0,545.6,39574
2023-08-28 13:15:00+05:30,545.3,546.0,545.0,545.0,10615
2023-08-28 14:15:00+05:30,545.0,546.6,545.0,545.9,13710
2023-08-28 15:15:00+05:30,545.9,545.95,536.0,536.3,24084
2023-08-29 09:15:00+05:30,541.0,550.0,541.0,545.3,24549
2023-08-29 10:15:00+05:30,545.3,545.7,541.05,544.65,15851
2023-08-29 11:15:00+05:30,544.65,545.7,543.35,544.85,7681
2023-08-29 12:15:00+05:30,544.3,548.2,540.55,542.5,9437
2023-08-29 13:15:00+05:30,542.5,544.0,533.1,542.85,43371
2023-08-29 14:15:00+05:30,542.85,547.65,538.25,544.65,35692
2023-08-29 15:15:00+05:30,545.0,545.0,536.95,544.4,14172
2023-08-30 09:15:00+05:30,539.05,546.35,539.05,544.0,31395
2023-08-30 10:15:00+05:30,543.6,544.7,541.75,544.0,16009
2023-08-30 11:15:00+05:30,544.0,544.95,543.0,544.15,6720
2023-08-30 12:15:00+05:30,544.15,545.0,540.6,544.5,22047
2023-08-30 13:15:00+05:30,544.5,547.75,542.5,543.35,32284
2023-08-30 14:15:00+05:30,543.35,546.9,538.6,539.85,27656
2023-08-30 15:15:00+05:30,539.85,544.95,535.0,543.0,15193
2023-08-31 09:15:00+05:30,540.0,548.0,540.0,545.35,14229
2023-08-31 10:15:00+05:30,545.35,545.35,535.5,539.4,11231
2023-08-31 11:15:00+05:30,539.4,540.95,538.85,539.75,9652
2023-08-31 12:15:00+05:30,539.75,545.4,539.05,544.6,10777
2023-08-31 13:15:00+05:30,544.6,545.7,542.2,542.75,8622
2023-08-31 14:15:00+05:30,542.8,542.8,536.3,537.35,11703
2023-08-31 15:15:00+05:30,537.35,538.65,535.5,536.0,12006
2023-09-01 09:15:00+05:30,536.9,556.0,536.0,552.05,69940
2023-09-01 10:15:00+05:30,552.05,554.0,550.8,550.95,21225
