date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,21.8,24.45,21.15,21.55,1364
2015-02-02 10:15:00+05:30,21.45,21.95,21.45,21.5,1302
2015-02-02 11:15:00+05:30,21.5,21.5,21.5,21.5,2
2015-02-02 12:15:00+05:30,21.5,21.6,21.5,21.5,100
2015-02-02 13:15:00+05:30,21.6,22.2,21.6,22.2,270
2015-02-02 14:15:00+05:30,22.2,22.2,22.2,22.2,0
2015-02-02 15:15:00+05:30,22.2,22.2,21.85,22.0,600
2015-02-03 09:15:00+05:30,22.0,23.9,22.0,22.85,6
2015-02-03 10:15:00+05:30,22.85,22.85,21.75,22.35,3081
2015-02-03 11:15:00+05:30,22.35,22.35,22.0,22.35,2000
2015-02-03 12:15:00+05:30,22.35,22.35,21.8,21.8,160
2015-02-03 13:15:00+05:30,22.35,22.35,21.8,21.8,200
2015-02-03 14:15:00+05:30,21.8,21.8,21.8,21.8,400
2015-02-03 15:15:00+05:30,21.8,21.8,21.8,21.8,0
2015-02-04 09:15:00+05:30,21.8,22.0,21.8,22.0,400
2015-02-04 10:15:00+05:30,22.0,22.0,22.0,22.0,2670
2015-02-04 11:15:00+05:30,22.0,22.0,22.0,22.0,40
2015-02-04 12:15:00+05:30,22.0,22.0,21.7,21.7,2584
2015-02-04 13:15:00+05:30,21.7,23.65,21.7,22.9,35702
2015-02-04 14:15:00+05:30,22.9,23.0,22.35,22.35,3511
2015-02-04 15:15:00+05:30,22.5,22.8,22.35,22.5,2321
2015-02-05 09:15:00+05:30,22.5,23.5,22.5,23.15,3652
2015-02-05 10:15:00+05:30,23.15,26.9,23.0,26.75,149760
2015-02-05 11:15:00+05:30,26.75,26.75,24.7,25.5,59628
2015-02-05 12:15:00+05:30,25.5,26.5,25.2,26.35,21791
2015-02-05 13:15:00+05:30,26.35,26.35,25.15,25.25,10920
2015-02-05 14:15:00+05:30,25.25,25.6,23.6,23.85,15097
2015-02-05 15:15:00+05:30,23.85,24.3,23.55,24.15,4475
2015-02-06 09:15:00+05:30,24.15,26.0,23.5,24.0,11109
2015-02-06 10:15:00+05:30,24.0,24.0,23.55,23.65,4750
2015-02-06 11:15:00+05:30,23.65,24.7,23.65,24.7,10155
2015-02-06 12:15:00+05:30,24.65,25.4,24.65,25.0,6841
2015-02-06 13:15:00+05:30,25.0,25.25,24.8,25.0,3632
2015-02-06 14:15:00+05:30,25.0,25.0,24.45,24.6,16195
2015-02-06 15:15:00+05:30,24.6,25.0,24.55,25.0,10445
2015-02-09 09:15:00+05:30,25.0,25.25,23.7,24.95,949
2015-02-09 10:15:00+05:30,24.95,24.95,23.5,23.6,4623
2015-02-09 11:15:00+05:30,23.6,23.6,23.5,23.6,586
2015-02-09 12:15:00+05:30,23.6,23.6,23.3,23.3,949
2015-02-09 13:15:00+05:30,23.3,23.55,23.3,23.35,2
2015-02-09 14:15:00+05:30,23.55,23.6,23.3,23.5,1922
2015-02-09 15:15:00+05:30,23.5,23.5,22.85,23.1,3137
2015-02-10 09:15:00+05:30,23.2,23.2,22.65,22.65,220
2015-02-10 10:15:00+05:30,23.0,23.0,22.65,22.65,0
2015-02-10 11:15:00+05:30,22.65,23.85,22.65,23.15,2600
2015-02-10 12:15:00+05:30,23.15,23.15,23.15,23.15,520
2015-02-10 13:15:00+05:30,23.15,23.6,23.05,23.05,912
2015-02-10 14:15:00+05:30,23.05,23.35,22.65,23.05,1530
2015-02-10 15:15:00+05:30,22.65,23.05,22.65,22.65,0
