date,open,high,low,close,volume
2022-01-27 09:15:00+05:30,28.75,33.1,28.75,31.0,137336
2022-01-27 10:15:00+05:30,31.0,31.5,30.7,30.95,30130
2022-01-27 11:15:00+05:30,30.95,30.95,29.75,30.4,30508
2022-01-27 12:15:00+05:30,30.4,30.75,29.2,29.75,85885
2022-01-27 13:15:00+05:30,29.75,30.55,29.55,30.55,23784
2022-01-27 14:15:00+05:30,30.55,30.7,29.55,29.8,31740
2022-01-27 15:15:00+05:30,29.8,30.65,29.2,29.8,24691
2022-01-28 09:15:00+05:30,30.9,32.7,30.5,31.15,98404
2022-01-28 10:15:00+05:30,31.15,31.15,30.9,31.0,17366
2022-01-28 11:15:00+05:30,31.0,31.0,30.55,30.85,9352
2022-01-28 12:15:00+05:30,30.85,31.15,30.85,31.15,56340
2022-01-28 13:15:00+05:30,31.15,31.15,30.25,30.25,11606
2022-01-28 14:15:00+05:30,30.25,30.75,28.8,30.1,33184
2022-01-28 15:15:00+05:30,30.1,31.15,29.7,31.1,9722
2022-01-31 09:15:00+05:30,32.15,32.15,28.4,29.1,47829
2022-01-31 10:15:00+05:30,29.1,29.1,28.35,28.5,16248
2022-01-31 11:15:00+05:30,28.5,29.1,28.35,28.95,40022
2022-01-31 12:15:00+05:30,28.8,28.95,28.55,28.6,48115
2022-01-31 13:15:00+05:30,28.8,28.8,28.6,28.7,979
2022-01-31 14:15:00+05:30,28.7,28.8,28.55,28.6,6088
2022-01-31 15:15:00+05:30,28.55,28.75,28.4,28.4,12053
2022-02-01 09:15:00+05:30,26.05,31.15,26.05,29.8,47642
2022-02-01 10:15:00+05:30,29.8,29.8,29.35,29.75,27978
2022-02-01 11:15:00+05:30,29.75,29.8,29.4,29.5,2367
2022-02-01 12:15:00+05:30,29.5,30.3,29.5,29.5,73930
2022-02-01 13:15:00+05:30,29.5,29.5,29.35,29.4,1640
2022-02-01 14:15:00+05:30,29.4,29.7,29.4,29.4,8586
2022-02-01 15:15:00+05:30,29.4,29.55,28.95,29.55,4255
2022-02-02 09:15:00+05:30,29.95,30.6,29.6,30.0,41817
2022-02-02 10:15:00+05:30,30.0,30.0,29.55,29.55,1231
2022-02-02 11:15:00+05:30,29.55,29.55,29.15,29.2,2007
2022-02-02 12:15:00+05:30,29.15,29.85,28.95,29.85,45876
2022-02-02 13:15:00+05:30,29.85,29.9,29.3,29.65,9691
2022-02-02 14:15:00+05:30,29.65,29.8,29.4,29.5,2586
2022-02-02 15:15:00+05:30,29.85,29.95,29.35,29.4,4025
2022-02-03 09:15:00+05:30,30.0,30.35,29.65,29.95,21649
2022-02-03 10:15:00+05:30,30.0,30.05,29.25,29.55,34679
2022-02-03 11:15:00+05:30,29.55,29.8,29.55,29.75,1152
2022-02-03 12:15:00+05:30,29.75,29.75,29.6,29.6,8619
2022-02-03 13:15:00+05:30,29.6,29.65,29.55,29.6,38231
2022-02-03 14:15:00+05:30,29.6,29.75,29.5,29.55,1803
2022-02-03 15:15:00+05:30,29.55,29.65,29.25,29.65,4556
2022-02-04 09:15:00+05:30,29.7,31.6,29.6,30.35,51977
2022-02-04 10:15:00+05:30,30.35,30.5,29.95,30.25,6073
2022-02-04 11:15:00+05:30,29.95,30.1,29.75,29.85,42875
2022-02-04 12:15:00+05:30,29.85,29.9,29.8,29.85,1520
2022-02-04 13:15:00+05:30,29.85,29.95,29.7,29.8,2553
2022-02-04 14:15:00+05:30,29.8,29.95,29.55,29.75,10107
2022-02-04 15:15:00+05:30,29.75,29.75,29.55,29.75,3159
