date,open,high,low,close,volume
2020-04-29 00:00:00+05:30,9.11,9.25,9.06,9.11,229203
2020-04-30 00:00:00+05:30,9.16,9.21,9.11,9.16,388316
2020-05-04 00:00:00+05:30,9.49,9.49,9.16,9.25,189320
2020-05-05 00:00:00+05:30,9.3,9.4,9.25,9.4,452723
2020-05-06 00:00:00+05:30,9.4,9.54,9.4,9.49,619093
2020-05-07 00:00:00+05:30,9.59,9.69,9.59,9.69,958372
2020-05-08 00:00:00+05:30,9.78,9.93,9.73,9.93,945296
2020-05-11 00:00:00+05:30,10.02,10.17,9.97,10.12,1574962
2020-05-12 00:00:00+05:30,10.21,10.36,10.17,10.31,1783374
2020-05-13 00:00:00+05:30,10.36,10.45,10.36,10.45,1932926
2020-05-14 00:00:00+05:30,10.55,10.6,10.45,10.6,1887506
2020-05-15 00:00:00+05:30,10.65,10.74,10.6,10.69,2195150
2020-05-18 00:00:00+05:30,10.84,11.22,10.74,10.93,2071655
2020-05-19 00:00:00+05:30,10.89,10.89,10.79,10.84,1677375
2020-05-20 00:00:00+05:30,10.89,10.93,10.89,10.89,1776294
2020-05-21 00:00:00+05:30,10.98,11.03,10.98,11.03,1315929
2020-05-22 00:00:00+05:30,11.03,11.13,11.03,11.13,1988052
2020-05-26 00:00:00+05:30,11.17,11.27,11.17,11.22,2263185
2020-05-27 00:00:00+05:30,11.27,11.36,11.27,11.36,1800005
2020-05-28 00:00:00+05:30,11.46,11.46,11.36,11.46,1881417
2020-05-29 00:00:00+05:30,11.51,11.56,11.51,11.56,1900425
2020-06-01 00:00:00+05:30,11.99,11.99,11.6,11.65,2265656
2020-06-02 00:00:00+05:30,11.84,11.84,11.7,11.8,3255246
2020-06-03 00:00:00+05:30,11.94,11.99,11.84,11.94,2526400
2020-06-04 00:00:00+05:30,12.04,12.08,12.04,12.08,2311357
2020-06-05 00:00:00+05:30,12.28,12.28,12.13,12.23,2748638
2020-06-08 00:00:00+05:30,12.42,12.42,12.28,12.37,3632614
2020-06-09 00:00:00+05:30,12.47,12.56,12.42,12.52,3256518
