date,open,high,low,close,volume
2022-03-28 09:15:00+05:30,30.9,32.6,30.9,31.47,15249100
2022-03-28 10:15:00+05:30,31.53,31.67,29.6,30.13,10619809
2022-03-28 11:15:00+05:30,30.13,30.47,29.5,29.77,7117480
2022-03-28 12:15:00+05:30,29.77,30.0,29.53,29.87,4980934
2022-03-28 13:15:00+05:30,29.87,29.97,29.53,29.6,4412002
2022-03-28 14:15:00+05:30,29.6,29.77,29.5,29.5,12098606
2022-03-28 15:15:00+05:30,29.5,29.5,29.5,29.5,2071882
2022-03-29 09:15:00+05:30,28.03,28.57,28.03,28.03,58130674
2022-03-29 10:15:00+05:30,28.03,28.53,28.03,28.2,56601364
2022-03-29 11:15:00+05:30,28.2,28.47,28.03,28.03,12378941
2022-03-29 12:15:00+05:30,28.03,28.3,28.03,28.03,8534288
2022-03-29 13:15:00+05:30,28.03,28.37,28.03,28.07,15990106
2022-03-29 14:15:00+05:30,28.07,28.37,28.03,28.03,9256412
2022-03-29 15:15:00+05:30,28.03,28.03,28.03,28.03,62370
2022-03-30 09:15:00+05:30,26.67,28.53,26.67,28.03,80532827
2022-03-30 10:15:00+05:30,28.03,28.33,27.27,27.67,14588150
2022-03-30 11:15:00+05:30,27.8,28.43,27.5,28.27,12301182
2022-03-30 12:15:00+05:30,28.27,29.43,28.2,29.43,17781620
2022-03-30 13:15:00+05:30,29.43,29.43,29.0,29.4,14693936
2022-03-30 14:15:00+05:30,29.4,29.43,29.03,29.37,11360608
2022-03-30 15:15:00+05:30,29.4,29.43,28.67,29.3,2645199
2022-03-31 09:15:00+05:30,28.8,29.03,28.23,28.9,3027004
2022-03-31 10:15:00+05:30,28.87,29.33,28.83,29.0,4832656
2022-03-31 11:15:00+05:30,29.0,29.67,28.8,29.57,6459912
2022-03-31 12:15:00+05:30,29.53,30.8,29.3,30.8,5609891
2022-03-31 13:15:00+05:30,30.7,30.8,30.47,30.8,2934521
2022-03-31 14:15:00+05:30,30.8,30.8,30.1,30.8,6346747
2022-03-31 15:15:00+05:30,30.67,30.8,30.47,30.77,2160837
2022-04-01 09:15:00+05:30,30.4,32.2,29.17,32.03,29348262
2022-04-01 10:15:00+05:30,32.07,32.2,31.47,31.67,3816605
2022-04-01 11:15:00+05:30,31.67,31.77,30.97,31.73,2909074
2022-04-01 12:15:00+05:30,31.63,31.97,31.43,31.7,2870201
2022-04-01 13:15:00+05:30,31.7,31.9,30.93,31.87,8003328
2022-04-01 14:15:00+05:30,31.87,31.9,29.97,30.7,45296003
2022-04-01 15:15:00+05:30,30.7,31.77,30.23,31.4,37376894
2022-04-04 09:15:00+05:30,31.63,31.87,30.77,30.8,1759968
2022-04-04 10:15:00+05:30,30.8,31.37,30.73,31.33,1282563
2022-04-04 11:15:00+05:30,31.3,31.73,31.23,31.57,3258448
2022-04-04 12:15:00+05:30,31.53,31.57,31.0,31.37,2382220
2022-04-04 13:15:00+05:30,31.37,31.47,31.0,31.37,1843720
2022-04-04 14:15:00+05:30,31.37,31.63,31.2,31.47,2065285
2022-04-04 15:15:00+05:30,31.47,31.53,31.23,31.47,1286972
2022-04-05 09:15:00+05:30,31.43,31.67,30.57,31.03,4050240
2022-04-05 10:15:00+05:30,31.03,31.53,30.97,31.33,4673996
2022-04-05 11:15:00+05:30,31.3,31.53,30.97,31.2,3986208
2022-04-05 12:15:00+05:30,31.2,32.53,30.97,32.13,8582662
2022-04-05 13:15:00+05:30,32.23,32.77,31.9,32.23,6672746
2022-04-05 14:15:00+05:30,32.17,32.5,31.67,32.03,11978326
2022-04-05 15:15:00+05:30,32.07,32.2,31.8,31.97,4684726
2022-04-06 09:15:00+05:30,31.93,32.73,31.67,32.43,3728036
2022-04-06 10:15:00+05:30,32.47,32.63,32.3,32.5,3325184
2022-04-06 11:15:00+05:30,32.5,32.73,32.47,32.53,4175645
2022-04-06 12:15:00+05:30,32.6,32.63,32.3,32.47,1683416
2022-04-06 13:15:00+05:30,32.47,32.6,32.2,32.33,729454
2022-04-06 14:15:00+05:30,32.33,32.6,32.3,32.47,1367254
2022-04-06 15:15:00+05:30,32.47,32.53,32.47,32.53,1073670
2022-04-07 09:15:00+05:30,32.83,32.83,32.03,32.3,1998503
2022-04-07 10:15:00+05:30,32.23,32.33,31.7,31.83,1552141
2022-04-07 11:15:00+05:30,31.73,32.37,31.67,32.37,1338506
2022-04-07 12:15:00+05:30,32.33,32.4,32.3,32.33,1407229
2022-04-07 13:15:00+05:30,32.3,32.37,31.53,31.8,1448371
2022-04-07 14:15:00+05:30,31.77,32.33,31.53,32.03,2687202
2022-04-07 15:15:00+05:30,32.03,32.37,31.97,32.27,1320411
2022-04-08 09:15:00+05:30,32.37,33.73,32.13,33.73,21552989
2022-04-08 10:15:00+05:30,33.73,33.73,33.47,33.73,5258804
2022-04-08 11:15:00+05:30,33.73,33.73,33.7,33.73,4345383
2022-04-08 12:15:00+05:30,33.73,33.73,33.67,33.73,4043496
2022-04-08 13:15:00+05:30,33.73,33.73,33.7,33.73,2212493
2022-04-08 14:15:00+05:30,33.73,33.73,33.7,33.73,5280502
2022-04-08 15:15:00+05:30,33.73,33.73,33.73,33.73,28956
2022-04-11 09:15:00+05:30,34.53,35.57,34.37,34.63,16008643
2022-04-11 10:15:00+05:30,34.63,35.03,33.2,33.67,5759308
2022-04-11 11:15:00+05:30,33.67,34.97,33.47,34.57,5164015
2022-04-11 12:15:00+05:30,34.6,35.0,34.4,34.87,2030632
2022-04-11 13:15:00+05:30,34.87,34.87,34.4,34.77,2334571
2022-04-11 14:15:00+05:30,34.77,35.63,34.53,34.57,9523573
2022-04-11 15:15:00+05:30,34.57,35.13,34.4,35.13,2791101
2022-04-12 09:15:00+05:30,34.73,34.93,33.0,33.0,4480600
2022-04-12 10:15:00+05:30,33.0,33.7,32.97,33.63,1605612
2022-04-12 11:15:00+05:30,33.63,33.8,33.57,33.7,966104
2022-04-12 12:15:00+05:30,33.7,33.9,33.03,33.1,1312701
2022-04-12 13:15:00+05:30,33.07,33.3,32.47,32.93,2935611
2022-04-12 14:15:00+05:30,32.93,33.17,32.83,32.97,2190922
2022-04-12 15:15:00+05:30,32.97,33.17,32.87,33.13,1008692
2022-04-13 09:15:00+05:30,33.1,33.77,32.97,33.0,3199226
2022-04-13 10:15:00+05:30,32.97,33.33,32.87,33.2,1248502
2022-04-13 11:15:00+05:30,33.2,34.23,33.17,33.97,1994311
2022-04-13 12:15:00+05:30,33.97,34.47,33.9,34.03,2831466
2022-04-13 13:15:00+05:30,34.0,34.23,33.87,33.9,1647824
2022-04-13 14:15:00+05:30,33.87,35.13,33.77,34.93,5010051
2022-04-13 15:15:00+05:30,34.93,35.13,34.53,35.03,2037200
2022-04-18 09:15:00+05:30,34.3,34.53,32.97,33.2,7010754
2022-04-18 10:15:00+05:30,33.2,33.63,33.17,33.3,1761975
2022-04-18 11:15:00+05:30,33.3,33.63,33.23,33.3,1809364
2022-04-18 12:15:00+05:30,33.3,33.33,32.93,33.1,1674108
2022-04-18 13:15:00+05:30,33.1,33.27,32.87,32.97,1539980
2022-04-18 14:15:00+05:30,32.97,33.0,32.63,32.87,3197070
2022-04-18 15:15:00+05:30,32.87,32.87,32.73,32.87,888028
2022-04-19 09:15:00+05:30,32.97,33.33,32.37,32.53,2860780
2022-04-19 10:15:00+05:30,32.53,32.6,31.73,32.03,2070947
2022-04-19 11:15:00+05:30,32.03,32.47,31.8,31.93,1878078
2022-04-19 12:15:00+05:30,31.93,32.1,31.8,31.9,956338
2022-04-19 13:15:00+05:30,31.9,32.13,31.8,32.1,637679
2022-04-19 14:15:00+05:30,32.1,32.13,31.03,31.67,2576223
2022-04-19 15:15:00+05:30,31.67,31.67,30.53,30.7,1562372
2022-04-20 09:15:00+05:30,31.3,31.63,31.1,31.2,2318882
2022-04-20 10:15:00+05:30,31.2,31.3,30.77,30.97,952010
2022-04-20 11:15:00+05:30,30.97,31.27,30.83,31.2,1375621
2022-04-20 12:15:00+05:30,31.2,31.23,30.93,31.0,2167702
2022-04-20 13:15:00+05:30,31.0,31.43,30.93,31.33,1831330
2022-04-20 14:15:00+05:30,31.33,31.73,31.2,31.53,1577480
2022-04-20 15:15:00+05:30,31.53,31.87,31.5,31.73,637518
2022-04-21 09:15:00+05:30,31.77,32.33,31.77,32.23,1776092
2022-04-21 10:15:00+05:30,32.23,32.87,32.13,32.7,1792215
2022-04-21 11:15:00+05:30,32.73,32.77,32.63,32.67,903438
2022-04-21 12:15:00+05:30,32.7,32.7,32.53,32.7,917794
2022-04-21 13:15:00+05:30,32.7,32.8,32.63,32.67,708244
2022-04-21 14:15:00+05:30,32.63,33.2,32.63,32.87,2870885
2022-04-21 15:15:00+05:30,32.87,32.87,32.63,32.73,980600
2022-04-22 09:15:00+05:30,32.57,32.57,31.9,32.17,1410522
2022-04-22 10:15:00+05:30,32.2,33.67,32.17,33.1,10042073
2022-04-22 11:15:00+05:30,33.1,33.2,32.73,33.13,1323270
2022-04-22 12:15:00+05:30,33.1,33.37,32.97,33.37,1875225
2022-04-22 13:15:00+05:30,33.37,33.87,33.07,33.37,2711459
2022-04-22 14:15:00+05:30,33.33,33.9,33.2,33.8,3833587
2022-04-22 15:15:00+05:30,33.83,34.1,33.7,33.8,1782412
2022-04-25 09:15:00+05:30,33.13,33.73,33.03,33.7,2383671
2022-04-25 10:15:00+05:30,33.7,33.7,33.2,33.3,1162451
2022-04-25 11:15:00+05:30,33.33,34.33,33.17,33.8,3987118
2022-04-25 12:15:00+05:30,33.83,33.93,33.33,33.7,1450253
2022-04-25 13:15:00+05:30,33.7,34.23,33.63,33.8,1458634
2022-04-25 14:15:00+05:30,33.8,33.9,33.33,33.37,1742044
