date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,55.0,55.0,54.15,54.5,4986
2015-02-02 10:15:00+05:30,54.5,55.1,54.5,55.0,4770
2015-02-02 11:15:00+05:30,55.0,55.4,55.0,55.0,3232
2015-02-02 12:15:00+05:30,55.0,55.0,54.35,54.8,2904
2015-02-02 13:15:00+05:30,54.8,56.7,54.8,56.2,21576
2015-02-02 14:15:00+05:30,56.05,56.25,56.05,56.05,1937
2015-02-02 15:15:00+05:30,56.05,56.4,56.0,56.0,5951
2015-02-03 09:15:00+05:30,56.0,56.5,55.85,56.0,2280
2015-02-03 10:15:00+05:30,56.0,56.05,55.6,55.85,436
2015-02-03 11:15:00+05:30,55.85,56.0,54.4,54.5,8390
2015-02-03 12:15:00+05:30,54.5,54.7,54.45,54.5,1851
2015-02-03 13:15:00+05:30,54.5,54.95,54.5,54.95,551
2015-02-03 14:15:00+05:30,54.95,55.0,54.55,55.0,3904
2015-02-03 15:15:00+05:30,55.0,55.25,54.5,54.5,4377
2015-02-04 09:15:00+05:30,54.5,55.5,54.25,54.85,7692
2015-02-04 10:15:00+05:30,54.85,54.9,54.25,54.25,1663
2015-02-04 11:15:00+05:30,54.25,54.8,54.2,54.8,812
2015-02-04 12:15:00+05:30,54.8,56.2,54.7,56.0,11110
2015-02-04 13:15:00+05:30,56.0,56.15,55.15,55.3,10823
2015-02-04 14:15:00+05:30,55.5,55.5,54.8,54.8,5324
2015-02-04 15:15:00+05:30,54.8,55.15,54.3,54.3,1860
2015-02-05 09:15:00+05:30,54.3,55.65,54.3,54.9,1071
2015-02-05 10:15:00+05:30,55.25,55.65,55.0,55.4,3351
2015-02-05 11:15:00+05:30,55.4,55.4,54.65,54.65,3914
2015-02-05 12:15:00+05:30,54.65,54.85,54.65,54.8,1643
2015-02-05 13:15:00+05:30,54.8,55.0,54.7,54.7,1483
2015-02-05 14:15:00+05:30,54.7,54.7,52.5,52.8,13280
2015-02-05 15:15:00+05:30,52.8,53.45,52.1,53.0,5412
2015-02-06 09:15:00+05:30,53.0,53.3,52.5,53.3,6279
2015-02-06 10:15:00+05:30,53.3,53.75,52.5,52.65,6067
2015-02-06 11:15:00+05:30,52.65,53.0,52.6,52.7,1521
2015-02-06 12:15:00+05:30,53.0,53.45,52.7,53.1,2370
2015-02-06 13:15:00+05:30,53.1,53.7,52.8,53.7,2545
2015-02-06 14:15:00+05:30,53.7,53.75,52.85,52.85,8027
2015-02-06 15:15:00+05:30,52.85,52.9,52.5,52.6,5558
2015-02-09 09:15:00+05:30,52.6,53.0,51.6,52.05,5915
2015-02-09 10:15:00+05:30,52.05,52.4,52.05,52.4,149
2015-02-09 11:15:00+05:30,52.4,55.45,52.05,53.7,60541
2015-02-09 12:15:00+05:30,54.2,54.35,53.8,53.85,1544
2015-02-09 13:15:00+05:30,53.85,54.4,53.75,54.0,2935
2015-02-09 14:15:00+05:30,54.0,54.0,52.65,52.7,12178
2015-02-09 15:15:00+05:30,52.7,53.9,52.7,53.1,3446
2015-02-10 09:15:00+05:30,52.7,53.9,52.2,53.85,4790
2015-02-10 10:15:00+05:30,53.85,55.0,53.75,54.0,1998
2015-02-10 11:15:00+05:30,54.0,54.0,53.3,54.0,1822
2015-02-10 12:15:00+05:30,54.0,54.0,52.5,52.5,3344
2015-02-10 13:15:00+05:30,52.5,52.8,49.6,49.6,21039
2015-02-10 14:15:00+05:30,49.6,50.5,49.5,49.7,14734
2015-02-10 15:15:00+05:30,49.85,50.0,49.55,50.0,11051
2015-02-11 09:15:00+05:30,50.5,50.5,49.3,50.0,11281
2015-02-11 10:15:00+05:30,50.0,50.0,49.3,50.0,5414
2015-02-11 11:15:00+05:30,50.0,50.0,49.25,49.25,2204
2015-02-11 12:15:00+05:30,49.25,50.4,49.25,50.0,7090
