date,open,high,low,close,volume
2007-06-18 00:00:00+05:30,40.4,46.15,32.1,32.1,281377
2007-06-19 00:00:00+05:30,27.7,31.6,26.4,26.9,548081
2007-06-20 00:00:00+05:30,29.0,29.35,27.2,27.45,346526
2007-06-21 00:00:00+05:30,27.85,28.05,25.85,26.55,100684
2007-06-22 00:00:00+05:30,25.9,26.4,24.45,24.75,64115
2007-06-25 00:00:00+05:30,23.3,24.95,23.3,24.15,47845
2007-06-26 00:00:00+05:30,25.0,25.0,23.65,24.0,22873
2007-06-27 00:00:00+05:30,24.2,24.3,23.1,23.55,18649
2007-06-28 00:00:00+05:30,24.2,24.65,23.25,23.5,20511
2007-06-29 00:00:00+05:30,22.0,24.15,21.15,23.2,34349
2007-07-02 00:00:00+05:30,23.0,23.25,22.55,22.7,20260
2007-07-03 00:00:00+05:30,22.7,26.4,22.35,22.5,19174
2007-07-04 00:00:00+05:30,23.65,23.65,22.2,22.5,22351
2007-07-05 00:00:00+05:30,23.6,23.6,21.45,21.7,22329
2007-07-06 00:00:00+05:30,22.0,22.0,20.9,21.4,21335
2007-07-09 00:00:00+05:30,21.45,24.6,21.3,23.55,102490
2007-07-10 00:00:00+05:30,23.9,23.9,22.55,22.7,20120
2007-07-11 00:00:00+05:30,22.3,23.5,22.25,22.45,9540
2007-07-12 00:00:00+05:30,22.8,23.15,22.6,22.8,8021
2007-07-13 00:00:00+05:30,22.8,24.2,21.55,22.0,12906
2007-07-16 00:00:00+05:30,22.25,22.35,21.0,21.2,16637
2007-07-17 00:00:00+05:30,22.35,22.35,21.25,21.35,13724
2007-07-18 00:00:00+05:30,19.4,25.25,19.4,21.25,8811
2007-07-19 00:00:00+05:30,21.85,21.85,20.75,21.0,6708
2007-07-20 00:00:00+05:30,23.6,23.6,21.1,21.1,9340
2007-07-23 00:00:00+05:30,20.45,21.65,20.05,20.9,9567
2007-07-24 00:00:00+05:30,21.9,21.9,19.85,19.95,4872
2007-07-25 00:00:00+05:30,19.95,21.4,19.65,20.5,16286
2007-07-26 00:00:00+05:30,20.35,20.35,19.65,19.75,8854
2007-07-27 00:00:00+05:30,19.65,19.65,18.25,19.0,9336
2007-07-30 00:00:00+05:30,18.2,18.65,17.4,17.75,15113
2007-07-31 00:00:00+05:30,17.05,19.65,17.05,18.3,11229
2007-08-01 00:00:00+05:30,18.7,18.7,17.6,17.7,14728
2007-08-02 00:00:00+05:30,17.6,18.7,17.6,18.05,9580
2007-08-03 00:00:00+05:30,18.7,19.75,16.6,18.45,6914
2007-08-06 00:00:00+05:30,18.3,18.3,17.15,17.65,9660
2007-08-07 00:00:00+05:30,17.05,18.35,17.05,17.6,4379
2007-08-08 00:00:00+05:30,17.6,21.05,17.6,19.15,63073
2007-08-09 00:00:00+05:30,20.75,20.85,18.25,18.7,14004
2007-08-10 00:00:00+05:30,16.75,18.45,16.6,18.4,20414
2007-08-13 00:00:00+05:30,19.25,19.25,18.0,18.7,15328
2007-08-14 00:00:00+05:30,17.9,19.8,17.9,19.25,18332
2007-08-16 00:00:00+05:30,19.1,19.1,17.45,17.8,32518
2007-08-17 00:00:00+05:30,17.85,18.7,17.3,17.6,6970
2007-08-20 00:00:00+05:30,19.75,19.75,16.75,17.1,10069
2007-08-21 00:00:00+05:30,16.05,17.65,15.95,16.4,6512
2007-08-22 00:00:00+05:30,16.05,17.15,15.65,16.4,6619
2007-08-23 00:00:00+05:30,15.65,17.05,15.65,15.95,4875
2007-08-24 00:00:00+05:30,17.6,17.6,15.45,16.4,2706
2007-08-27 00:00:00+05:30,15.8,17.25,15.8,16.65,7047
2007-08-28 00:00:00+05:30,15.95,17.3,15.95,16.65,3624
2007-08-29 00:00:00+05:30,16.85,16.9,15.95,16.85,4255
