date,open,high,low,close,volume
2015-09-09 09:15:00+05:30,152.0,163.5,152.0,160.35,7194513
2015-09-09 10:15:00+05:30,160.35,160.85,157.25,159.55,3839496
2015-09-09 11:15:00+05:30,159.4,161.8,155.85,160.95,3096352
2015-09-09 12:15:00+05:30,160.9,164.8,160.3,162.35,3011782
2015-09-09 13:15:00+05:30,162.25,164.9,161.5,163.6,1632062
2015-09-09 14:15:00+05:30,163.6,169.45,163.5,166.35,5225408
2015-09-09 15:15:00+05:30,166.3,168.9,165.6,167.1,1361029
2015-09-10 09:15:00+05:30,162.75,165.4,161.3,162.2,575182
2015-09-10 10:15:00+05:30,162.2,162.8,160.4,162.65,193227
2015-09-10 11:15:00+05:30,162.65,163.0,161.3,161.65,167311
2015-09-10 12:15:00+05:30,161.5,162.45,158.4,162.05,255205
2015-09-10 13:15:00+05:30,162.05,164.5,160.7,162.25,292458
2015-09-10 14:15:00+05:30,162.25,164.0,162.1,163.4,345611
2015-09-10 15:15:00+05:30,163.4,164.65,162.45,164.2,236787
2015-09-11 09:15:00+05:30,165.9,167.5,164.05,164.85,293350
2015-09-11 10:15:00+05:30,164.85,167.8,164.6,164.85,303917
2015-09-11 11:15:00+05:30,164.7,166.0,164.7,165.8,69353
2015-09-11 12:15:00+05:30,165.8,166.0,164.25,164.6,89614
2015-09-11 13:15:00+05:30,164.65,165.7,164.2,164.75,94309
2015-09-11 14:15:00+05:30,164.75,165.0,161.65,162.55,210600
2015-09-11 15:15:00+05:30,162.55,163.8,162.5,163.55,93777
2015-09-14 09:15:00+05:30,163.45,163.8,160.55,161.25,70233
2015-09-14 10:15:00+05:30,161.3,164.0,161.25,163.05,110286
2015-09-14 11:15:00+05:30,163.0,163.6,161.55,161.6,31826
2015-09-14 12:15:00+05:30,161.6,162.6,161.0,162.6,32806
2015-09-14 13:15:00+05:30,162.5,171.0,162.5,164.75,1148574
2015-09-14 14:15:00+05:30,164.8,166.5,164.5,165.7,126004
2015-09-14 15:15:00+05:30,165.6,165.85,163.95,164.5,104390
2015-09-15 09:15:00+05:30,165.1,167.75,165.0,165.95,104933
2015-09-15 10:15:00+05:30,165.95,167.0,165.25,166.0,35685
2015-09-15 11:15:00+05:30,166.0,166.0,164.1,164.5,44985
2015-09-15 12:15:00+05:30,164.3,164.8,163.05,164.75,48666
2015-09-15 13:15:00+05:30,164.8,165.0,163.75,163.95,30806
2015-09-15 14:15:00+05:30,163.95,164.0,162.3,163.55,59772
2015-09-15 15:15:00+05:30,163.55,163.55,162.75,163.5,31175
2015-09-16 09:15:00+05:30,165.0,166.95,163.65,164.6,83972
2015-09-16 10:15:00+05:30,164.6,164.75,163.3,163.45,28178
2015-09-16 11:15:00+05:30,163.45,165.0,162.55,164.5,41338
2015-09-16 12:15:00+05:30,164.3,165.0,164.25,164.85,39752
2015-09-16 13:15:00+05:30,164.7,164.95,163.9,164.35,38211
2015-09-16 14:15:00+05:30,164.35,164.45,162.35,162.5,61313
2015-09-16 15:15:00+05:30,162.5,163.0,161.8,162.15,36354
2015-09-18 09:15:00+05:30,163.45,164.8,162.5,163.95,46418
2015-09-18 10:15:00+05:30,163.95,164.3,163.7,164.0,18137
2015-09-18 11:15:00+05:30,164.0,164.5,163.75,164.05,26071
