date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,2.27,2.38,2.24,2.34,677160
2015-02-02 10:15:00+05:30,2.34,2.38,2.34,2.36,548460
2015-02-02 11:15:00+05:30,2.36,2.36,2.34,2.34,181230
2015-02-02 12:15:00+05:30,2.34,2.35,2.32,2.33,842100
2015-02-02 13:15:00+05:30,2.33,2.34,2.3,2.32,1550100
2015-02-02 14:15:00+05:30,2.32,2.34,2.32,2.34,470850
2015-02-02 15:15:00+05:30,2.34,2.34,2.32,2.33,504180
2015-02-03 09:15:00+05:30,2.33,2.53,2.33,2.46,3833640
2015-02-03 10:15:00+05:30,2.46,2.46,2.4,2.42,3890520
2015-02-03 11:15:00+05:30,2.42,2.44,2.4,2.42,2953020
2015-02-03 12:15:00+05:30,2.42,2.52,2.41,2.48,5936700
2015-02-03 13:15:00+05:30,2.48,2.5,2.46,2.49,1810440
2015-02-03 14:15:00+05:30,2.49,2.54,2.48,2.5,3164520
2015-02-03 15:15:00+05:30,2.5,2.5,2.46,2.47,1290480
2015-02-04 09:15:00+05:30,2.52,2.54,2.35,2.4,4840560
2015-02-04 10:15:00+05:30,2.4,2.4,2.38,2.4,831690
2015-02-04 11:15:00+05:30,2.4,2.4,2.38,2.39,338130
2015-02-04 12:15:00+05:30,2.39,2.39,2.36,2.38,254220
2015-02-04 13:15:00+05:30,2.38,2.39,2.28,2.34,2693220
2015-02-04 14:15:00+05:30,2.34,2.36,2.28,2.3,841890
2015-02-04 15:15:00+05:30,2.29,2.32,2.28,2.3,388230
2015-02-05 09:15:00+05:30,2.42,2.42,2.34,2.39,1645950
2015-02-05 10:15:00+05:30,2.39,2.42,2.38,2.4,409290
2015-02-05 11:15:00+05:30,2.39,2.4,2.36,2.36,501750
2015-02-05 12:15:00+05:30,2.36,2.38,2.34,2.35,644460
2015-02-05 13:15:00+05:30,2.35,2.36,2.34,2.35,1009770
2015-02-05 14:15:00+05:30,2.35,2.35,2.3,2.32,435630
2015-02-05 15:15:00+05:30,2.32,2.32,2.28,2.29,492450
