date,open,high,low,close,volume
2023-02-21 00:00:00+05:30,167.2,167.2,147.55,156.25,6529
2023-02-22 00:00:00+05:30,166.65,171.85,162.35,171.85,17660
2023-02-23 00:00:00+05:30,180.55,189.05,177.05,189.05,37049
2023-02-24 00:00:00+05:30,198.45,198.45,197.55,198.45,16294
2023-02-27 00:00:00+05:30,207.8,208.4,207.4,208.4,5621
2023-02-28 00:00:00+05:30,218.8,218.8,197.95,197.95,11725
2023-03-01 00:00:00+05:30,188.1,188.1,188.1,188.1,1102
2023-03-02 00:00:00+05:30,178.7,178.7,178.7,178.7,1296
2023-03-03 00:00:00+05:30,169.8,169.8,169.8,169.8,1771
2023-03-06 00:00:00+05:30,161.4,161.4,161.3,161.3,3449
2023-03-08 00:00:00+05:30,153.25,153.25,153.25,153.25,1667
2023-03-09 00:00:00+05:30,145.6,160.9,145.6,160.9,11468
2023-03-10 00:00:00+05:30,168.9,168.9,168.9,168.9,2950
2023-03-13 00:00:00+05:30,177.35,177.35,177.35,177.35,500
2023-03-14 00:00:00+05:30,182.8,186.1,168.5,168.5,4660
2023-03-15 00:00:00+05:30,160.1,160.1,160.1,160.1,3830
2023-03-16 00:00:00+05:30,152.1,160.55,152.1,152.1,7733
2023-03-17 00:00:00+05:30,152.1,152.1,144.5,146.65,13655
2023-03-20 00:00:00+05:30,153.8,153.85,141.7,148.2,9630
2023-03-21 00:00:00+05:30,152.45,155.6,150.15,155.6,7596
2023-03-22 00:00:00+05:30,163.35,163.35,152.2,163.35,10570
2023-03-23 00:00:00+05:30,161.1,163.25,155.2,155.2,2788
2023-03-24 00:00:00+05:30,147.45,154.35,147.45,148.75,7346
2023-03-27 00:00:00+05:30,152.05,152.05,143.35,144.8,2149
2023-03-28 00:00:00+05:30,149.95,149.95,137.55,139.0,2932
2023-03-29 00:00:00+05:30,138.35,144.45,136.65,137.85,2506
2023-03-31 00:00:00+05:30,144.7,144.75,139.2,144.75,1697
2023-04-03 00:00:00+05:30,151.1,151.95,147.95,151.95,2975
2023-04-05 00:00:00+05:30,155.05,159.55,155.05,159.55,3380
2023-04-06 00:00:00+05:30,166.65,167.55,166.65,167.55,1895
2023-04-10 00:00:00+05:30,175.0,175.9,159.2,175.6,6860
2023-04-11 00:00:00+05:30,183.35,184.4,170.0,184.35,6440
2023-04-12 00:00:00+05:30,188.9,193.55,182.25,193.55,6804
2023-04-13 00:00:00+05:30,203.2,203.2,197.2,203.2,5681
2023-04-17 00:00:00+05:30,212.2,213.35,212.15,213.35,1922
2023-04-18 00:00:00+05:30,224.05,224.05,214.45,224.05,7056
2023-04-19 00:00:00+05:30,233.6,235.2,226.15,235.2,11047
2023-04-20 00:00:00+05:30,243.15,246.95,223.45,246.9,11263
2023-04-21 00:00:00+05:30,258.9,259.25,234.6,234.6,5382
2023-04-24 00:00:00+05:30,222.85,222.85,222.85,222.85,797
2023-04-25 00:00:00+05:30,211.7,211.7,211.7,211.7,1049
2023-04-26 00:00:00+05:30,201.15,201.15,201.15,201.15,2290
2023-04-27 00:00:00+05:30,192.2,211.2,192.2,211.2,995
2023-04-28 00:00:00+05:30,221.75,221.75,221.75,221.75,862
2023-05-02 00:00:00+05:30,232.85,232.85,213.95,232.85,2155
2023-05-03 00:00:00+05:30,241.1,244.4,221.2,229.5,3654
2023-05-04 00:00:00+05:30,230.0,236.1,218.35,229.8,2291
2023-05-05 00:00:00+05:30,234.4,234.45,220.0,226.85,1040
2023-05-08 00:00:00+05:30,226.1,230.55,216.7,225.15,1877
