date,open,high,low,close,volume
2020-10-01 09:15:00+05:30,38.3,38.3,37.35,37.6,723
2020-10-01 10:15:00+05:30,37.6,38.3,37.6,38.3,523
2020-10-01 11:15:00+05:30,38.3,38.3,38.3,38.3,54
2020-10-01 12:15:00+05:30,38.3,38.3,38.3,38.3,500
2020-10-01 13:15:00+05:30,38.3,38.3,38.3,38.3,1000
2020-10-01 14:15:00+05:30,38.3,38.3,38.3,38.3,415
2020-10-01 15:15:00+05:30,38.3,38.3,38.3,38.3,0
2020-10-05 09:15:00+05:30,40.2,40.2,38.8,38.8,7409
2020-10-05 10:15:00+05:30,39.55,40.2,38.8,40.1,5909
2020-10-05 11:15:00+05:30,40.1,40.1,39.25,39.95,54283
2020-10-05 12:15:00+05:30,39.95,40.2,39.95,40.2,2378
2020-10-05 13:15:00+05:30,40.2,40.2,40.2,40.2,501
2020-10-05 14:15:00+05:30,40.2,40.2,40.2,40.2,408
2020-10-05 15:15:00+05:30,40.2,40.2,40.2,40.2,2
2020-10-06 09:15:00+05:30,41.95,42.2,41.95,42.2,1125
2020-10-06 10:15:00+05:30,42.2,42.2,42.2,42.2,6489
2020-10-06 11:15:00+05:30,42.2,42.2,42.2,42.2,306
2020-10-06 12:15:00+05:30,42.2,42.2,42.2,42.2,120
2020-10-06 13:15:00+05:30,42.2,42.2,42.2,42.2,0
2020-10-06 14:15:00+05:30,42.2,42.2,42.2,42.2,60
2020-10-06 15:15:00+05:30,42.2,42.2,42.2,42.2,0
2020-10-07 09:15:00+05:30,44.3,44.3,43.25,44.3,7036
2020-10-07 10:15:00+05:30,44.3,44.3,44.3,44.3,80
2020-10-07 11:15:00+05:30,44.3,44.3,44.3,44.3,25
2020-10-07 12:15:00+05:30,44.3,44.3,44.3,44.3,1
2020-10-07 13:15:00+05:30,44.3,44.3,44.3,44.3,0
2020-10-07 14:15:00+05:30,44.3,44.3,44.3,44.3,0
2020-10-07 15:15:00+05:30,44.3,44.3,44.3,44.3,151
2020-10-08 09:15:00+05:30,46.5,46.5,46.5,46.5,452
2020-10-08 10:15:00+05:30,46.5,46.5,46.5,46.5,290
2020-10-08 11:15:00+05:30,46.5,46.5,46.5,46.5,650
2020-10-08 12:15:00+05:30,46.5,46.5,46.5,46.5,224
2020-10-08 13:15:00+05:30,46.5,46.5,46.5,46.5,1894
2020-10-08 14:15:00+05:30,46.5,46.5,46.5,46.5,1000
2020-10-08 15:15:00+05:30,46.5,46.5,46.5,46.5,0
2020-10-09 09:15:00+05:30,48.8,48.8,48.8,48.8,302
2020-10-09 10:15:00+05:30,48.8,48.8,48.8,48.8,46
2020-10-09 11:15:00+05:30,48.8,48.8,48.8,48.8,0
2020-10-09 12:15:00+05:30,48.8,48.8,48.8,48.8,9
2020-10-09 13:15:00+05:30,48.8,48.8,48.8,48.8,1
2020-10-09 14:15:00+05:30,48.8,48.8,48.8,48.8,24
2020-10-09 15:15:00+05:30,48.8,48.8,48.8,48.8,0
2020-10-12 09:15:00+05:30,51.2,51.2,51.2,51.2,1312
2020-10-12 10:15:00+05:30,51.2,51.2,51.2,51.2,230
2020-10-12 11:15:00+05:30,51.2,51.2,51.2,51.2,33
2020-10-12 12:15:00+05:30,51.2,51.2,46.4,46.4,60137
2020-10-12 13:15:00+05:30,46.4,51.2,46.4,50.0,109171
2020-10-12 14:15:00+05:30,50.0,51.2,46.65,51.2,8457
2020-10-12 15:15:00+05:30,51.2,51.2,51.2,51.2,20
2020-10-13 09:15:00+05:30,53.75,53.75,53.75,53.75,12254
2020-10-13 10:15:00+05:30,53.75,53.75,53.75,53.75,5227
2020-10-13 11:15:00+05:30,53.75,53.75,50.1,53.75,19873
2020-10-13 12:15:00+05:30,53.65,53.75,53.35,53.75,1667
2020-10-13 13:15:00+05:30,53.75,53.75,49.15,51.05,22121
2020-10-13 14:15:00+05:30,53.7,53.75,50.6,52.05,14746
2020-10-13 15:15:00+05:30,52.05,53.5,52.05,53.2,1612
2020-10-14 09:15:00+05:30,54.45,54.45,50.4,51.75,7629
2020-10-14 10:15:00+05:30,51.75,52.15,51.0,51.0,4512
2020-10-14 11:15:00+05:30,51.0,51.2,50.4,50.4,11503
2020-10-14 12:15:00+05:30,50.4,53.0,50.4,50.4,5258
2020-10-14 13:15:00+05:30,50.4,52.0,50.4,51.65,3477
2020-10-14 14:15:00+05:30,51.65,52.0,51.65,51.8,7652
2020-10-14 15:15:00+05:30,51.8,52.0,51.7,52.0,3208
2020-10-15 09:15:00+05:30,49.5,51.9,49.15,50.35,1046
2020-10-15 10:15:00+05:30,50.1,50.6,49.4,49.4,1765
2020-10-15 11:15:00+05:30,49.4,50.4,49.1,49.45,42807
2020-10-15 12:15:00+05:30,49.45,49.95,49.1,49.1,3342
2020-10-15 13:15:00+05:30,49.1,49.1,49.1,49.1,397
2020-10-15 14:15:00+05:30,49.1,49.1,49.1,49.1,3
2020-10-15 15:15:00+05:30,49.1,49.1,49.1,49.1,1
2020-10-16 09:15:00+05:30,46.65,47.0,46.65,46.65,1895
2020-10-16 10:15:00+05:30,46.65,46.65,46.65,46.65,10
2020-10-16 11:15:00+05:30,46.65,46.65,46.65,46.65,2020
2020-10-16 12:15:00+05:30,46.65,46.65,46.65,46.65,1
2020-10-16 13:15:00+05:30,46.65,46.65,46.65,46.65,0
2020-10-16 14:15:00+05:30,46.65,51.5,46.65,48.5,40586
2020-10-16 15:15:00+05:30,46.7,48.5,46.65,46.65,537
2020-10-19 09:15:00+05:30,46.7,49.0,46.7,48.85,34507
2020-10-19 10:15:00+05:30,48.85,48.85,46.1,47.1,4177
2020-10-19 11:15:00+05:30,47.1,47.1,46.05,46.7,625
2020-10-19 12:15:00+05:30,46.55,47.85,46.55,47.35,1835
2020-10-19 13:15:00+05:30,47.35,47.65,47.0,47.0,885
2020-10-19 14:15:00+05:30,47.0,47.7,47.0,47.5,12125
2020-10-19 15:15:00+05:30,47.5,47.5,46.5,47.5,10
2020-10-20 09:15:00+05:30,48.1,48.1,45.15,46.25,53663
2020-10-20 10:15:00+05:30,46.25,49.75,45.8,49.6,66601
2020-10-20 11:15:00+05:30,49.6,49.85,47.85,49.85,115720
2020-10-20 12:15:00+05:30,49.85,49.85,48.65,48.65,23420
2020-10-20 13:15:00+05:30,48.65,49.0,48.35,49.0,9820
2020-10-20 14:15:00+05:30,49.0,49.85,49.0,49.85,50
2020-10-20 15:15:00+05:30,49.85,49.85,48.35,49.85,1725
2020-10-21 09:15:00+05:30,52.2,52.2,49.9,52.2,2187
2020-10-21 10:15:00+05:30,52.2,52.2,49.9,49.9,3908
2020-10-21 11:15:00+05:30,49.9,50.5,48.15,49.4,1422
2020-10-21 12:15:00+05:30,49.35,49.8,48.6,49.8,2548
2020-10-21 13:15:00+05:30,49.8,49.8,49.5,49.5,974
2020-10-21 14:15:00+05:30,49.5,50.5,49.5,50.0,51115
2020-10-21 15:15:00+05:30,50.0,50.45,49.1,50.45,140
2020-10-22 09:15:00+05:30,49.5,49.5,49.5,49.5,0
2020-10-22 10:15:00+05:30,50.5,50.5,49.0,50.5,402
2020-10-22 11:15:00+05:30,50.5,50.5,50.0,50.0,9801
2020-10-22 12:15:00+05:30,50.0,50.0,50.0,50.0,0
2020-10-22 13:15:00+05:30,50.0,50.0,49.8,49.8,6170
2020-10-22 14:15:00+05:30,49.8,49.8,47.65,47.65,30
2020-10-22 15:15:00+05:30,47.65,49.8,47.65,49.8,2
2020-10-23 09:15:00+05:30,47.8,47.8,47.35,47.35,2198
2020-10-23 10:15:00+05:30,47.35,47.35,47.35,47.35,0
2020-10-23 11:15:00+05:30,47.35,49.75,47.35,49.75,7000
2020-10-23 12:15:00+05:30,49.75,49.75,49.5,49.5,400
2020-10-23 13:15:00+05:30,49.5,49.75,49.5,49.75,9401
2020-10-23 14:15:00+05:30,49.75,49.75,47.35,47.35,600
2020-10-23 15:15:00+05:30,47.35,47.35,47.35,47.35,0
2020-10-26 09:15:00+05:30,46.0,46.0,46.0,46.0,210
2020-10-26 10:15:00+05:30,46.0,46.0,46.0,46.0,0
2020-10-26 11:15:00+05:30,46.0,46.0,46.0,46.0,1
2020-10-26 12:15:00+05:30,46.0,46.0,46.0,46.0,0
2020-10-26 13:15:00+05:30,46.0,46.0,46.0,46.0,20
2020-10-26 14:15:00+05:30,46.0,48.25,46.0,46.95,5401
2020-10-26 15:15:00+05:30,46.95,46.95,46.95,46.95,0
2020-10-27 09:15:00+05:30,44.7,44.8,44.7,44.8,90
2020-10-27 10:15:00+05:30,44.8,44.8,44.8,44.8,100
2020-10-27 11:15:00+05:30,44.8,44.8,44.8,44.8,198
2020-10-27 12:15:00+05:30,44.8,44.8,44.8,44.8,0
2020-10-27 13:15:00+05:30,44.8,44.8,44.8,44.8,10
2020-10-27 14:15:00+05:30,44.8,44.8,44.8,44.8,0
2020-10-27 15:15:00+05:30,47.8,47.8,47.8,47.8,1
2020-10-28 11:15:00+05:30,47.45,47.45,45.65,45.65,218
2020-10-28 12:15:00+05:30,45.65,47.0,45.65,47.0,20050
2020-10-28 13:15:00+05:30,47.0,47.0,47.0,47.0,0
2020-10-28 14:15:00+05:30,47.0,47.0,46.0,46.0,85
2020-10-28 15:15:00+05:30,46.0,46.0,46.0,46.0,0
2020-10-29 10:15:00+05:30,44.05,44.05,44.05,44.05,79
2020-10-29 11:15:00+05:30,47.7,47.7,46.0,46.0,720
2020-10-29 12:15:00+05:30,46.0,46.0,46.0,46.0,0
2020-10-29 13:15:00+05:30,46.0,46.0,46.0,46.0,0
2020-10-29 14:15:00+05:30,44.6,44.6,44.6,44.6,10
2020-10-29 15:15:00+05:30,44.6,47.0,44.6,47.0,1
2020-10-30 10:15:00+05:30,45.05,46.4,45.05,46.4,1
2020-10-30 11:15:00+05:30,46.4,46.4,46.4,46.4,0
2020-10-30 12:15:00+05:30,46.4,46.4,46.4,46.4,0
2020-10-30 13:15:00+05:30,46.0,46.0,46.0,46.0,100
2020-10-30 14:15:00+05:30,46.0,46.0,46.0,46.0,0
2020-10-30 15:15:00+05:30,46.0,46.0,46.0,46.0,0
2020-11-02 10:15:00+05:30,44.0,44.15,44.0,44.15,109
2020-11-02 11:15:00+05:30,44.15,44.15,44.15,44.15,300
