date,open,high,low,close,volume
2024-11-14 00:00:00+05:30,78.14,81.0,73.51,74.02,38862503
2024-11-18 00:00:00+05:30,72.71,73.99,69.21,72.57,7592009
2024-11-19 00:00:00+05:30,72.0,74.73,72.0,73.99,3772771
2024-11-21 00:00:00+05:30,73.94,73.94,71.25,73.27,1620552
2024-11-22 00:00:00+05:30,73.99,74.49,72.95,73.7,2408433
2024-11-25 00:00:00+05:30,73.05,78.35,73.05,76.83,9285232
2024-11-26 00:00:00+05:30,75.9,76.85,74.65,75.5,3211072
2024-11-27 00:00:00+05:30,75.5,76.45,74.96,75.15,1953771
2024-11-28 00:00:00+05:30,75.19,79.0,74.0,74.86,5943297
2024-11-29 00:00:00+05:30,75.53,76.45,74.38,75.39,1681482
2024-12-02 00:00:00+05:30,75.64,75.64,73.9,74.39,1248074
2024-12-03 00:00:00+05:30,75.16,84.8,74.75,81.93,26815355
2024-12-04 00:00:00+05:30,82.84,98.31,82.56,98.31,41132031
2024-12-05 00:00:00+05:30,102.7,109.34,97.29,100.0,42607428
2024-12-06 00:00:00+05:30,98.8,99.22,93.7,95.02,6974772
2024-12-09 00:00:00+05:30,95.01,95.02,89.02,89.34,6278958
2024-12-10 00:00:00+05:30,89.9,94.4,88.4,92.7,8333284
2024-12-11 00:00:00+05:30,93.15,93.2,89.65,89.97,2395439
2024-12-12 00:00:00+05:30,90.0,90.59,84.86,85.25,5722588
2024-12-13 00:00:00+05:30,85.5,85.84,82.12,83.6,8622158
2024-12-16 00:00:00+05:30,84.0,87.39,84.0,85.19,3851118
2024-12-17 00:00:00+05:30,86.0,86.28,83.51,83.84,2130065
2024-12-18 00:00:00+05:30,84.38,84.38,81.0,81.41,3514558
2024-12-19 00:00:00+05:30,79.0,81.15,79.0,79.78,3462910
2024-12-20 00:00:00+05:30,79.78,81.07,75.7,76.27,4041272
2024-12-23 00:00:00+05:30,77.5,78.11,75.06,76.63,3360613
2024-12-24 00:00:00+05:30,77.3,77.3,75.32,76.12,1987242
2024-12-26 00:00:00+05:30,76.77,83.48,76.14,81.25,11945978
2024-12-27 00:00:00+05:30,81.85,83.3,79.0,79.66,3148919
2024-12-30 00:00:00+05:30,80.0,80.0,78.0,78.85,2103743
2024-12-31 00:00:00+05:30,79.0,85.0,78.1,84.11,5397076
2025-01-01 00:00:00+05:30,85.0,86.0,83.5,83.76,2873318
2025-01-02 00:00:00+05:30,84.0,84.2,82.0,82.15,1396296
2025-01-03 00:00:00+05:30,83.75,85.3,82.51,83.33,2086532
2025-01-06 00:00:00+05:30,83.65,83.69,78.5,78.91,2146432
2025-01-07 00:00:00+05:30,79.31,81.31,79.31,80.42,1339661
2025-01-08 00:00:00+05:30,80.42,80.89,78.75,79.24,945050
2025-01-09 00:00:00+05:30,79.75,79.8,77.5,77.82,712900
2025-01-10 00:00:00+05:30,78.5,78.5,75.4,77.03,1021599
2025-01-13 00:00:00+05:30,76.0,76.7,74.95,75.24,1582267
2025-01-14 00:00:00+05:30,75.98,77.75,75.11,77.37,1072412
2025-01-15 00:00:00+05:30,78.9,79.0,77.8,78.65,730541
2025-01-16 00:00:00+05:30,79.0,82.8,78.95,82.0,2056749
2025-01-17 00:00:00+05:30,82.63,82.63,81.2,81.38,874489
2025-01-20 00:00:00+05:30,81.85,84.19,81.01,83.08,1528913
2025-01-21 00:00:00+05:30,81.8,83.96,80.63,81.03,1067747
2025-01-22 00:00:00+05:30,81.69,81.91,78.08,79.53,1144346
2025-01-23 00:00:00+05:30,79.0,81.7,79.0,81.07,592500
2025-01-24 00:00:00+05:30,81.07,81.35,78.11,78.64,532376
2025-01-27 00:00:00+05:30,77.11,77.74,75.0,75.2,839472
2025-01-28 00:00:00+05:30,75.59,76.75,72.65,76.33,997419
2025-01-29 00:00:00+05:30,77.5,81.6,77.0,80.57,1106311
2025-01-30 00:00:00+05:30,81.39,82.55,78.8,79.49,983480
2025-01-31 00:00:00+05:30,79.11,82.9,78.41,81.14,1372738
2025-02-01 00:00:00+05:30,82.1,85.5,78.62,79.35,2957340
2025-02-03 00:00:00+05:30,79.2,81.95,78.54,81.17,1332577
2025-02-04 00:00:00+05:30,82.0,83.45,81.7,82.06,1340088
2025-02-05 00:00:00+05:30,83.19,85.2,80.4,80.84,1533781
2025-02-06 00:00:00+05:30,81.4,82.75,80.0,81.02,763786
2025-02-07 00:00:00+05:30,80.2,81.78,78.65,79.69,886629
2025-02-10 00:00:00+05:30,78.8,81.84,78.5,81.51,1376270
2025-02-11 00:00:00+05:30,79.46,80.8,77.55,79.99,2134657
2025-02-12 00:00:00+05:30,80.91,80.91,78.01,79.32,1030394
2025-02-13 00:00:00+05:30,78.32,80.61,78.32,79.98,1217240
2025-02-14 00:00:00+05:30,80.0,80.73,77.25,79.54,1077567
2025-02-17 00:00:00+05:30,77.7,78.33,76.25,76.94,636891
2025-02-18 00:00:00+05:30,76.7,76.7,74.69,75.27,605116
2025-02-19 00:00:00+05:30,75.0,76.24,74.58,75.08,739704
2025-02-20 00:00:00+05:30,75.5,77.25,74.88,76.9,1261079
2025-02-21 00:00:00+05:30,77.08,78.65,77.0,77.75,650819
2025-02-24 00:00:00+05:30,74.0,78.24,74.0,77.75,1066068
2025-02-25 00:00:00+05:30,78.35,78.4,76.37,77.1,419466
2025-02-27 00:00:00+05:30,76.79,76.79,73.12,73.72,1591878
2025-02-28 00:00:00+05:30,73.19,74.04,72.45,72.97,498165
2025-03-03 00:00:00+05:30,74.19,74.19,70.02,71.12,766807
2025-03-04 00:00:00+05:30,70.0,73.0,70.0,72.5,674997
2025-03-05 00:00:00+05:30,72.15,74.49,72.1,73.26,545132
2025-03-06 00:00:00+05:30,73.6,74.4,70.9,71.05,2613635
2025-03-07 00:00:00+05:30,71.05,72.93,71.05,72.3,566525
2025-03-10 00:00:00+05:30,73.44,73.44,70.92,71.23,399576
2025-03-11 00:00:00+05:30,70.8,72.0,69.99,71.07,699235
2025-03-12 00:00:00+05:30,71.94,72.25,71.15,72.01,824591
2025-03-13 00:00:00+05:30,72.49,72.49,71.01,71.24,331198
2025-03-17 00:00:00+05:30,71.04,72.3,70.5,70.84,364151
2025-03-18 00:00:00+05:30,70.3,72.22,70.3,71.46,639348
2025-03-19 00:00:00+05:30,71.84,72.75,71.84,72.27,720120
2025-03-20 00:00:00+05:30,73.0,76.5,71.94,74.96,1363935
2025-03-21 00:00:00+05:30,75.4,76.4,74.25,74.6,855693
2025-03-24 00:00:00+05:30,74.05,75.99,73.9,74.21,1026173
2025-03-25 00:00:00+05:30,74.53,74.7,71.88,72.07,638005
2025-03-26 00:00:00+05:30,72.45,72.48,71.2,71.52,355117
2025-03-27 00:00:00+05:30,71.59,77.88,71.2,76.66,2125609
2025-03-28 00:00:00+05:30,76.61,80.89,76.0,78.08,1757580
2025-04-01 00:00:00+05:30,77.79,77.79,75.62,75.92,484067
2025-04-02 00:00:00+05:30,76.01,78.3,74.05,76.51,624536
2025-04-03 00:00:00+05:30,75.0,76.39,75.0,75.84,289266
2025-04-04 00:00:00+05:30,76.0,76.15,73.8,74.41,395115
2025-04-07 00:00:00+05:30,68.54,72.21,68.54,71.73,1223223
2025-04-08 00:00:00+05:30,72.64,74.97,72.14,73.01,966567
2025-04-09 00:00:00+05:30,72.25,74.25,72.25,73.53,559926
2025-04-11 00:00:00+05:30,74.14,75.4,73.55,73.82,851518
2025-04-15 00:00:00+05:30,73.88,74.94,73.58,74.57,630626
2025-04-16 00:00:00+05:30,74.5,77.1,74.5,76.1,1029794
2025-04-17 00:00:00+05:30,76.1,76.12,74.71,75.8,646347
2025-04-21 00:00:00+05:30,75.8,78.5,75.8,77.99,887764
2025-04-22 00:00:00+05:30,79.0,79.58,77.25,77.62,745393
2025-04-23 00:00:00+05:30,79.0,86.46,78.57,83.77,36164080
2025-04-24 00:00:00+05:30,84.0,89.5,83.73,88.15,13181864
2025-04-25 00:00:00+05:30,88.5,88.85,82.7,84.62,6789144
2025-04-28 00:00:00+05:30,84.61,84.61,82.0,82.33,1789762
2025-04-29 00:00:00+05:30,82.87,84.65,78.66,81.51,1942380
2025-04-30 00:00:00+05:30,82.1,84.25,80.63,81.59,2257271
2025-05-02 00:00:00+05:30,81.75,84.4,81.34,82.19,1679606
2025-05-05 00:00:00+05:30,83.37,86.58,82.11,86.15,3437971
2025-05-06 00:00:00+05:30,86.6,87.33,80.0,80.73,2516923
2025-05-07 00:00:00+05:30,79.82,81.48,79.35,81.03,1574722
2025-05-08 00:00:00+05:30,87.03,92.9,86.11,87.3,75425585
2025-05-09 00:00:00+05:30,85.06,87.49,84.51,86.73,5887714
2025-05-12 00:00:00+05:30,89.09,89.8,84.75,85.07,6443639
2025-05-13 00:00:00+05:30,84.84,85.6,84.55,84.84,2725408
2025-05-14 00:00:00+05:30,85.1,85.8,83.2,84.51,2702500
2025-05-15 00:00:00+05:30,85.2,85.4,84.03,84.55,2261660
2025-05-16 00:00:00+05:30,84.8,92.6,84.6,90.41,15739186
2025-05-19 00:00:00+05:30,90.0,95.21,89.75,91.15,10966214
2025-05-20 00:00:00+05:30,92.0,93.89,90.78,90.99,4259241
2025-05-21 00:00:00+05:30,90.91,91.8,89.07,89.62,3190428
2025-05-22 00:00:00+05:30,90.05,93.19,87.6,88.54,5045827
2025-05-23 00:00:00+05:30,89.45,91.2,88.0,89.38,3797007
2025-05-26 00:00:00+05:30,90.41,94.0,89.6,91.27,6562611
2025-05-27 00:00:00+05:30,91.79,92.1,86.23,87.09,6235426
2025-05-28 00:00:00+05:30,87.6,88.73,86.72,87.94,2605436
2025-05-29 00:00:00+05:30,88.36,93.28,87.86,92.35,13288143
2025-05-30 00:00:00+05:30,92.35,94.0,90.61,92.29,5961255
2025-06-02 00:00:00+05:30,84.5,85.41,81.63,83.11,168064549
2025-06-03 00:00:00+05:30,83.98,85.8,82.84,83.1,17347187
2025-06-04 00:00:00+05:30,83.64,83.7,81.25,82.97,11196571
2025-06-05 00:00:00+05:30,83.6,83.6,81.91,82.58,7847633
2025-06-06 00:00:00+05:30,82.9,83.79,82.7,82.97,4949706
2025-06-09 00:00:00+05:30,83.8,83.84,83.06,83.32,2440605
2025-06-10 00:00:00+05:30,83.5,83.78,82.61,82.99,8518541
2025-06-11 00:00:00+05:30,82.87,83.5,82.25,82.59,4905650
2025-06-12 00:00:00+05:30,82.8,83.18,81.89,82.2,2999717
2025-06-13 00:00:00+05:30,80.9,82.11,80.07,81.41,2334209
2025-06-16 00:00:00+05:30,81.35,82.19,80.16,81.81,2853579
2025-06-17 00:00:00+05:30,82.15,82.36,79.84,80.14,2553525
2025-06-18 00:00:00+05:30,80.49,81.6,79.72,81.02,2286304
2025-06-19 00:00:00+05:30,81.4,82.19,79.64,80.04,2013335
2025-06-20 00:00:00+05:30,80.44,81.68,80.01,81.15,2166621
2025-06-23 00:00:00+05:30,79.8,82.13,79.8,81.75,2430676
2025-06-24 00:00:00+05:30,82.27,82.49,81.3,81.66,1603778
2025-06-25 00:00:00+05:30,81.95,82.2,81.48,82.02,1637882
2025-06-26 00:00:00+05:30,82.4,82.4,81.03,81.98,2208230
2025-06-27 00:00:00+05:30,82.2,82.73,80.98,81.82,4541034
2025-06-30 00:00:00+05:30,82.3,82.51,81.6,81.77,1502583
2025-07-01 00:00:00+05:30,82.15,82.5,80.51,81.92,2357476
2025-07-02 00:00:00+05:30,81.92,82.5,80.91,82.23,2448112
2025-07-03 00:00:00+05:30,82.2,82.3,81.57,81.97,846623
2025-07-04 00:00:00+05:30,82.25,85.77,81.81,85.05,11389149
2025-07-07 00:00:00+05:30,85.0,85.9,83.3,83.88,3647994
2025-07-08 00:00:00+05:30,84.2,84.7,83.55,83.77,2146666
2025-07-09 00:00:00+05:30,84.1,89.5,83.63,89.14,23283762
2025-07-10 00:00:00+05:30,89.0,91.34,88.26,90.26,9381859
2025-07-11 00:00:00+05:30,90.09,90.89,88.0,88.69,2916590
2025-07-14 00:00:00+05:30,89.0,91.25,88.06,91.0,5294385
2025-07-15 00:00:00+05:30,91.1,91.63,88.71,88.94,2370396
2025-07-16 00:00:00+05:30,89.35,90.47,88.68,89.84,3802478
2025-07-17 00:00:00+05:30,90.89,92.9,89.4,90.76,7443962
2025-07-18 00:00:00+05:30,91.38,91.5,88.94,89.29,1885031
2025-07-21 00:00:00+05:30,89.45,89.65,87.66,88.71,1730712
2025-07-22 00:00:00+05:30,88.99,90.19,87.18,88.88,3012330
2025-07-23 00:00:00+05:30,89.0,89.19,86.5,86.78,1729850
2025-07-24 00:00:00+05:30,86.98,87.47,84.75,86.56,2241635
2025-07-25 00:00:00+05:30,86.55,86.56,83.6,83.93,1575154
2025-07-28 00:00:00+05:30,83.91,85.21,82.11,82.95,2266059
2025-07-29 00:00:00+05:30,83.47,85.15,82.78,84.36,1560868
2025-07-30 00:00:00+05:30,84.56,85.49,83.59,85.17,1495761
2025-07-31 00:00:00+05:30,85.0,87.95,84.0,87.55,3738356
2025-08-01 00:00:00+05:30,84.7,84.7,81.1,81.51,7540436
2025-08-04 00:00:00+05:30,81.9,82.29,81.09,82.0,2139423
2025-08-05 00:00:00+05:30,82.0,82.45,81.29,81.71,1452024
2025-08-06 00:00:00+05:30,82.44,82.45,80.02,80.59,1324595
2025-08-07 00:00:00+05:30,80.99,80.99,79.02,80.37,1432058
2025-08-08 00:00:00+05:30,80.77,81.37,79.67,79.99,1846048
