date,open,high,low,close,volume
2024-10-29 09:15:00+05:30,189.45,189.45,90.55,99.8,73103
2024-10-29 10:15:00+05:30,99.8,99.8,96.0,96.0,36915
2024-10-29 11:15:00+05:30,96.0,96.95,91.1,93.35,23519
2024-10-29 12:15:00+05:30,92.0,95.35,91.65,93.05,12151
2024-10-29 13:15:00+05:30,93.05,96.2,93.05,96.0,11436
2024-10-29 14:15:00+05:30,96.0,96.0,93.6,95.0,10987
2024-10-29 15:15:00+05:30,95.0,95.0,93.05,94.8,6054
2024-10-30 09:15:00+05:30,89.25,89.25,89.25,89.25,20589
2024-10-30 10:15:00+05:30,89.25,89.25,89.25,89.25,2684
2024-10-30 11:15:00+05:30,89.25,89.25,89.25,89.25,6861
2024-10-30 12:15:00+05:30,89.25,89.25,89.25,89.25,452
2024-10-30 13:15:00+05:30,89.25,89.25,89.25,89.25,167
2024-10-30 14:15:00+05:30,89.25,89.25,89.25,89.25,909
2024-10-30 15:15:00+05:30,89.25,96.0,89.25,92.5,141561
2024-10-31 09:15:00+05:30,91.85,94.8,89.6,92.8,58216
2024-10-31 10:15:00+05:30,92.8,94.8,92.1,92.1,34670
2024-10-31 11:15:00+05:30,92.0,92.0,90.0,91.0,22458
2024-10-31 12:15:00+05:30,91.0,92.0,88.5,92.0,16724
2024-10-31 13:15:00+05:30,92.0,93.0,90.4,90.6,6683
2024-10-31 14:15:00+05:30,91.0,92.0,89.0,89.0,18448
2024-10-31 15:15:00+05:30,89.0,90.0,89.0,89.9,4577
2024-11-01 18:00:00+05:30,92.8,92.8,87.61,88.0,47553
2024-11-04 09:15:00+05:30,91.35,91.35,86.34,87.0,13487
2024-11-04 10:15:00+05:30,87.0,88.0,83.92,85.0,63261
2024-11-04 11:15:00+05:30,85.0,86.64,84.06,85.0,8319
2024-11-04 12:15:00+05:30,84.55,86.0,84.01,84.03,9795
2024-11-04 13:15:00+05:30,84.03,86.38,84.03,84.1,7419
2024-11-04 14:15:00+05:30,84.1,85.98,84.1,84.15,10970
2024-11-04 15:15:00+05:30,85.0,85.25,84.25,85.0,4696
2024-11-05 09:15:00+05:30,86.95,87.8,82.25,85.0,28058
2024-11-05 10:15:00+05:30,85.0,86.85,84.0,84.0,8767
2024-11-05 11:15:00+05:30,85.0,86.9,84.26,86.0,7417
2024-11-05 12:15:00+05:30,86.0,86.8,84.25,86.44,11361
