date,open,high,low,close,volume
2005-12-15 00:00:00+05:30,6.52,6.52,5.66,5.75,112560
2005-12-16 00:00:00+05:30,5.85,5.98,5.64,5.67,22836
2005-12-19 00:00:00+05:30,5.68,5.77,5.6,5.62,21706
2005-12-20 00:00:00+05:30,5.56,5.6,5.44,5.49,18074
2005-12-21 00:00:00+05:30,5.67,6.03,5.42,5.47,78728
2005-12-22 00:00:00+05:30,5.47,5.48,5.33,5.36,24722
2005-12-23 00:00:00+05:30,5.3,5.46,5.3,5.34,42114
2005-12-26 00:00:00+05:30,5.26,5.49,5.08,5.25,69936
2005-12-27 00:00:00+05:30,5.29,5.33,5.08,5.18,24436
2005-12-28 00:00:00+05:30,5.29,5.38,5.15,5.3,20736
2005-12-29 00:00:00+05:30,5.45,5.45,5.23,5.29,9404
2005-12-30 00:00:00+05:30,5.26,5.56,5.26,5.44,19580
2006-01-02 00:00:00+05:30,5.56,5.81,5.56,5.66,74788
2006-01-03 00:00:00+05:30,5.72,5.72,5.62,5.67,35484
2006-01-04 00:00:00+05:30,5.77,5.77,5.57,5.62,36540
2006-01-05 00:00:00+05:30,5.64,5.64,5.47,5.51,23332
2006-01-06 00:00:00+05:30,5.56,5.59,5.3,5.48,51474
2006-01-09 00:00:00+05:30,5.52,5.52,5.39,5.46,40972
2006-01-10 00:00:00+05:30,5.42,5.71,5.42,5.51,60464
2006-01-12 00:00:00+05:30,5.51,5.6,5.48,5.52,28530
2006-01-13 00:00:00+05:30,5.56,5.64,5.42,5.46,26554
2006-01-16 00:00:00+05:30,5.49,5.56,5.33,5.36,28720
2006-01-17 00:00:00+05:30,5.34,5.38,5.14,5.19,75536
2006-01-18 00:00:00+05:30,5.36,5.36,5.19,5.21,11108
2006-01-19 00:00:00+05:30,5.45,5.45,5.24,5.27,16180
2006-01-20 00:00:00+05:30,5.44,5.45,5.22,5.29,35174
2006-01-23 00:00:00+05:30,5.39,5.6,5.39,5.46,27880
2006-01-24 00:00:00+05:30,5.52,5.52,5.34,5.36,19306
2006-01-25 00:00:00+05:30,5.39,5.46,5.36,5.38,22930
2006-01-27 00:00:00+05:30,5.33,5.39,5.24,5.31,28370
2006-01-30 00:00:00+05:30,5.25,5.3,5.05,5.18,34530
2006-01-31 00:00:00+05:30,5.22,5.22,5.14,5.18,14960
2006-02-01 00:00:00+05:30,5.22,5.22,4.93,5.05,28268
2006-02-02 00:00:00+05:30,5.07,5.23,4.88,5.05,50836
2006-02-03 00:00:00+05:30,4.81,5.1,4.81,4.95,39700
2006-02-06 00:00:00+05:30,4.97,4.97,4.88,4.9,34748
2006-02-07 00:00:00+05:30,5.51,5.51,4.89,4.98,25468
2006-02-08 00:00:00+05:30,5.05,5.05,4.9,4.91,30342
2006-02-10 00:00:00+05:30,4.92,5.0,4.9,4.91,17012
2006-02-13 00:00:00+05:30,4.89,4.93,4.87,4.87,60640
2006-02-14 00:00:00+05:30,4.87,5.05,4.86,4.88,26648
2006-02-15 00:00:00+05:30,4.85,5.05,4.85,4.87,15486
2006-02-16 00:00:00+05:30,5.05,5.05,4.87,4.93,17542
2006-02-17 00:00:00+05:30,4.88,4.93,4.78,4.8,25902
2006-02-20 00:00:00+05:30,4.97,4.97,4.66,4.73,42842
2006-02-21 00:00:00+05:30,4.8,4.81,4.64,4.67,26716
2006-02-22 00:00:00+05:30,4.63,4.71,4.29,4.59,204590
2006-02-23 00:00:00+05:30,4.55,4.61,4.43,4.51,52412
2006-02-24 00:00:00+05:30,4.54,4.55,4.48,4.54,20060
2006-02-27 00:00:00+05:30,4.55,4.6,4.47,4.5,54780
2006-02-28 00:00:00+05:30,4.55,4.55,4.44,4.45,46650
2006-03-01 00:00:00+05:30,4.55,4.55,4.36,4.37,104322
2006-03-02 00:00:00+05:30,4.5,4.5,4.29,4.29,39080
2006-03-03 00:00:00+05:30,4.42,4.42,3.87,3.98,128164
2006-03-06 00:00:00+05:30,4.06,4.78,4.01,4.74,270416
2006-03-07 00:00:00+05:30,4.85,4.85,4.38,4.41,172594
2006-03-08 00:00:00+05:30,4.45,4.69,4.38,4.43,82426
2006-03-09 00:00:00+05:30,4.36,4.46,4.31,4.33,82468
2006-03-10 00:00:00+05:30,4.5,5.19,4.39,5.19,347326
2006-03-13 00:00:00+05:30,5.39,5.54,4.84,4.93,368452
2006-03-14 00:00:00+05:30,5.22,5.22,4.82,4.89,133754
2006-03-16 00:00:00+05:30,4.96,5.03,4.71,4.77,69464
2006-03-17 00:00:00+05:30,4.76,4.77,4.55,4.63,62296
2006-03-20 00:00:00+05:30,4.6,4.71,4.38,4.43,83724
2006-03-21 00:00:00+05:30,4.55,4.55,4.39,4.46,23558
2006-03-22 00:00:00+05:30,4.17,4.44,4.17,4.34,55512
2006-03-23 00:00:00+05:30,4.79,4.79,4.18,4.23,70388
2006-03-24 00:00:00+05:30,4.45,4.45,4.13,4.2,117032
2006-03-27 00:00:00+05:30,4.23,4.38,4.15,4.18,86912
2006-03-28 00:00:00+05:30,4.12,4.33,4.12,4.23,128370
2006-03-29 00:00:00+05:30,4.31,4.36,4.19,4.24,56070
2006-03-30 00:00:00+05:30,4.2,4.53,4.2,4.25,101564
2006-03-31 00:00:00+05:30,4.29,4.7,4.29,4.5,110918
2006-04-03 00:00:00+05:30,4.38,4.7,4.38,4.66,78204
2006-04-04 00:00:00+05:30,4.82,4.82,4.6,4.65,55192
2006-04-05 00:00:00+05:30,4.65,4.96,4.63,4.85,181702
2006-04-07 00:00:00+05:30,5.16,5.16,4.63,4.7,136094
2006-04-10 00:00:00+05:30,4.8,4.95,4.6,4.67,91646
2006-04-12 00:00:00+05:30,4.62,4.73,4.51,4.54,125882
2006-04-13 00:00:00+05:30,4.56,4.59,4.29,4.36,70676
2006-04-17 00:00:00+05:30,4.5,4.61,4.42,4.5,30852
2006-04-18 00:00:00+05:30,4.46,4.55,4.44,4.51,34632
2006-04-19 00:00:00+05:30,4.55,4.55,4.38,4.39,37864
2006-04-20 00:00:00+05:30,4.63,4.88,4.53,4.68,212964
2006-04-21 00:00:00+05:30,4.71,4.87,4.51,4.59,55920
2006-04-24 00:00:00+05:30,4.71,4.71,4.5,4.53,35358
2006-04-25 00:00:00+05:30,4.43,4.55,4.36,4.39,60122
2006-04-26 00:00:00+05:30,4.55,4.55,4.35,4.39,63744
2006-04-27 00:00:00+05:30,4.44,4.54,4.32,4.34,56578
2006-04-28 00:00:00+05:30,4.26,4.42,4.21,4.36,32702
2006-05-02 00:00:00+05:30,4.38,4.51,4.29,4.37,77092
2006-05-03 00:00:00+05:30,4.51,4.51,4.29,4.34,135798
2006-05-04 00:00:00+05:30,4.76,4.76,4.26,4.34,162734
2006-05-05 00:00:00+05:30,4.7,4.7,4.29,4.32,132842
2006-05-08 00:00:00+05:30,4.38,4.46,4.28,4.3,264764
2006-05-09 00:00:00+05:30,4.34,4.45,4.26,4.29,268444
2006-05-10 00:00:00+05:30,4.43,4.43,4.25,4.28,329464
2006-05-11 00:00:00+05:30,4.37,4.37,4.26,4.29,227262
2006-05-12 00:00:00+05:30,4.29,4.34,4.26,4.29,96674
2006-05-15 00:00:00+05:30,4.29,4.34,4.14,4.21,112832
2006-05-16 00:00:00+05:30,4.17,4.18,3.87,4.04,83326
2006-05-17 00:00:00+05:30,4.17,4.29,4.07,4.25,50518
2006-05-18 00:00:00+05:30,4.21,4.21,3.97,3.99,51440
2006-05-19 00:00:00+05:30,4.23,4.23,3.75,3.77,65744
2006-05-22 00:00:00+05:30,3.79,4.04,3.02,3.38,130048
2006-05-23 00:00:00+05:30,3.45,3.7,3.2,3.64,54990
2006-05-24 00:00:00+05:30,3.86,3.92,3.66,3.74,36286
2006-05-25 00:00:00+05:30,3.71,3.71,3.43,3.52,38274
2006-05-26 00:00:00+05:30,3.7,3.87,3.66,3.84,40836
2006-05-29 00:00:00+05:30,3.91,3.91,3.71,3.72,55574
2006-05-30 00:00:00+05:30,3.69,3.87,3.63,3.77,86860
2006-05-31 00:00:00+05:30,3.7,3.84,3.55,3.6,51742
2006-06-01 00:00:00+05:30,3.8,3.86,3.52,3.55,115644
2006-06-02 00:00:00+05:30,3.54,3.54,3.25,3.46,102150
2006-06-05 00:00:00+05:30,3.49,3.58,3.3,3.41,36672
2006-06-06 00:00:00+05:30,3.43,3.45,3.28,3.31,28528
2006-06-07 00:00:00+05:30,3.37,3.37,3.03,3.1,48498
2006-06-08 00:00:00+05:30,2.95,3.17,2.49,2.74,108134
2006-06-09 00:00:00+05:30,2.74,3.11,2.74,3.02,40028
2006-06-12 00:00:00+05:30,3.11,3.11,2.86,3.0,18150
2006-06-13 00:00:00+05:30,2.85,2.97,2.7,2.78,17002
2006-06-14 00:00:00+05:30,2.74,2.95,2.66,2.69,97058
2006-06-15 00:00:00+05:30,2.72,2.93,2.69,2.86,23036
2006-06-16 00:00:00+05:30,2.86,3.11,2.86,3.01,71750
2006-06-19 00:00:00+05:30,3.03,3.12,2.97,3.11,34660
2006-06-20 00:00:00+05:30,3.08,3.15,3.01,3.04,58314
2006-06-21 00:00:00+05:30,3.1,3.17,3.03,3.14,47544
2006-06-22 00:00:00+05:30,3.2,3.28,3.16,3.26,38896
2006-06-23 00:00:00+05:30,3.12,3.27,3.12,3.23,26480
2006-06-26 00:00:00+05:30,3.22,3.3,3.05,3.1,22338
2006-06-27 00:00:00+05:30,3.11,3.11,2.95,3.03,13234
2006-06-28 00:00:00+05:30,3.03,3.13,2.83,3.0,14020
2006-06-29 00:00:00+05:30,3.01,3.11,2.94,2.95,12910
2006-06-30 00:00:00+05:30,2.92,3.04,2.9,3.02,25814
2006-07-03 00:00:00+05:30,2.95,3.04,2.95,3.01,15966
2006-07-04 00:00:00+05:30,2.95,2.95,2.78,2.85,62340
2006-07-05 00:00:00+05:30,2.79,2.97,2.79,2.86,14690
2006-07-06 00:00:00+05:30,2.74,2.9,2.71,2.9,14086
2006-07-07 00:00:00+05:30,3.05,3.05,2.78,2.81,18450
2006-07-10 00:00:00+05:30,2.69,2.86,2.69,2.82,5718
2006-07-11 00:00:00+05:30,2.83,2.87,2.81,2.85,13750
2006-07-12 00:00:00+05:30,2.63,2.84,2.63,2.74,31866
2006-07-13 00:00:00+05:30,2.83,2.86,2.79,2.83,12930
2006-07-14 00:00:00+05:30,2.76,2.85,2.7,2.81,10860
2006-07-17 00:00:00+05:30,2.7,2.81,2.7,2.75,13200
2006-07-18 00:00:00+05:30,2.83,2.83,2.69,2.69,12614
2006-07-19 00:00:00+05:30,2.72,2.8,2.58,2.63,20166
2006-07-20 00:00:00+05:30,2.63,2.68,2.44,2.58,44342
2006-07-21 00:00:00+05:30,2.56,2.62,2.56,2.58,8216
2006-07-24 00:00:00+05:30,2.57,2.57,2.41,2.52,18184
2006-07-25 00:00:00+05:30,2.59,2.9,2.53,2.84,67560
2006-07-26 00:00:00+05:30,2.69,3.01,2.69,2.95,54600
2006-07-27 00:00:00+05:30,2.86,3.03,2.86,2.91,51670
2006-07-28 00:00:00+05:30,2.83,2.95,2.78,2.88,45386
2006-07-31 00:00:00+05:30,2.95,3.0,2.82,2.9,69704
2006-08-01 00:00:00+05:30,2.83,2.87,2.78,2.86,24600
2006-08-02 00:00:00+05:30,2.75,2.9,2.75,2.83,50002
2006-08-03 00:00:00+05:30,2.98,2.98,2.8,2.82,64256
2006-08-04 00:00:00+05:30,2.83,2.89,2.82,2.85,21614
2006-08-07 00:00:00+05:30,2.8,2.85,2.79,2.85,22760
2006-08-08 00:00:00+05:30,2.79,2.88,2.79,2.83,17606
2006-08-09 00:00:00+05:30,2.86,2.89,2.81,2.83,23638
2006-08-10 00:00:00+05:30,2.92,2.92,2.8,2.84,45306
2006-08-11 00:00:00+05:30,2.77,2.9,2.77,2.86,39024
2006-08-14 00:00:00+05:30,2.95,3.01,2.88,3.0,106542
2006-08-16 00:00:00+05:30,3.13,3.5,3.07,3.43,227994
2006-08-17 00:00:00+05:30,3.49,3.54,3.21,3.23,138588
2006-08-18 00:00:00+05:30,3.22,3.34,3.09,3.18,60936
2006-08-21 00:00:00+05:30,3.2,3.27,3.07,3.11,35408
2006-08-22 00:00:00+05:30,3.18,3.18,3.11,3.15,19734
2006-08-23 00:00:00+05:30,3.18,3.18,3.07,3.14,23150
2006-08-24 00:00:00+05:30,3.19,3.19,3.07,3.14,26188
2006-08-25 00:00:00+05:30,3.2,3.33,3.17,3.18,40212
2006-08-28 00:00:00+05:30,3.01,3.32,3.01,3.26,42324
2006-08-29 00:00:00+05:30,3.34,3.34,3.24,3.25,25314
2006-08-30 00:00:00+05:30,3.22,3.23,3.17,3.19,52496
2006-08-31 00:00:00+05:30,3.2,3.2,3.13,3.17,37618
2006-09-01 00:00:00+05:30,3.13,3.13,2.96,3.11,34550
2006-09-04 00:00:00+05:30,3.18,3.27,3.17,3.21,81056
2006-09-05 00:00:00+05:30,3.19,3.27,3.17,3.23,26140
2006-09-06 00:00:00+05:30,3.22,3.25,3.18,3.2,32820
2006-09-07 00:00:00+05:30,3.09,3.24,3.09,3.14,19894
2006-09-08 00:00:00+05:30,3.04,3.18,3.04,3.1,22758
2006-09-11 00:00:00+05:30,3.19,3.19,3.03,3.04,30200
2006-09-12 00:00:00+05:30,2.96,3.07,2.96,3.01,23200
2006-09-13 00:00:00+05:30,3.04,3.11,3.01,3.03,59418
2006-09-14 00:00:00+05:30,3.11,3.11,3.0,3.03,23194
2006-09-15 00:00:00+05:30,3.05,3.06,2.97,3.01,77406
2006-09-18 00:00:00+05:30,3.17,3.2,3.0,3.17,71586
2006-09-19 00:00:00+05:30,3.2,3.28,3.15,3.19,72886
2006-09-20 00:00:00+05:30,3.16,3.23,3.16,3.21,51282
2006-09-21 00:00:00+05:30,3.2,3.2,3.03,3.06,156950
2006-09-22 00:00:00+05:30,3.18,3.67,3.09,3.65,776440
2006-09-25 00:00:00+05:30,3.87,4.15,3.54,3.72,1235904
2006-09-26 00:00:00+05:30,3.79,3.86,3.57,3.59,150242
2006-09-27 00:00:00+05:30,3.64,4.05,3.63,3.86,521946
2006-09-28 00:00:00+05:30,3.95,3.97,3.79,3.87,147758
2006-09-29 00:00:00+05:30,3.87,3.94,3.67,3.75,74702
2006-10-03 00:00:00+05:30,3.84,3.87,3.56,3.59,43438
2006-10-04 00:00:00+05:30,3.68,3.7,3.54,3.59,54124
2006-10-05 00:00:00+05:30,3.67,3.79,3.55,3.59,94802
2006-10-06 00:00:00+05:30,3.7,3.7,3.58,3.61,35640
2006-10-09 00:00:00+05:30,3.82,3.96,3.54,3.59,32616
2006-10-10 00:00:00+05:30,3.66,3.67,3.59,3.61,28700
2006-10-11 00:00:00+05:30,3.62,3.65,3.47,3.51,36174
2006-10-12 00:00:00+05:30,3.53,3.7,3.48,3.63,72458
2006-10-13 00:00:00+05:30,3.77,3.94,3.65,3.72,218224
2006-10-16 00:00:00+05:30,3.79,3.85,3.6,3.63,70074
2006-10-17 00:00:00+05:30,3.7,3.7,3.5,3.57,65576
2006-10-18 00:00:00+05:30,3.55,3.66,3.45,3.52,62346
2006-10-19 00:00:00+05:30,3.58,3.61,3.42,3.48,27610
2006-10-20 00:00:00+05:30,3.54,3.6,3.46,3.47,36614
2006-10-23 00:00:00+05:30,3.54,3.57,3.45,3.5,31578
2006-10-26 00:00:00+05:30,3.86,3.86,3.45,3.49,27416
2006-10-27 00:00:00+05:30,3.61,3.61,3.48,3.51,39422
2006-10-30 00:00:00+05:30,3.46,3.54,3.38,3.43,25944
2006-10-31 00:00:00+05:30,3.43,3.45,3.32,3.35,34122
2006-11-01 00:00:00+05:30,3.32,3.46,3.1,3.33,254876
2006-11-02 00:00:00+05:30,3.19,3.43,3.19,3.31,95756
2006-11-03 00:00:00+05:30,3.84,3.84,3.18,3.29,42156
2006-11-06 00:00:00+05:30,3.21,3.28,3.2,3.25,41204
2006-11-07 00:00:00+05:30,3.29,3.29,3.15,3.16,43112
2006-11-08 00:00:00+05:30,3.16,3.54,3.1,3.15,91484
2006-11-09 00:00:00+05:30,3.2,3.2,3.08,3.1,13954
2006-11-10 00:00:00+05:30,3.11,3.2,3.11,3.14,26974
2006-11-13 00:00:00+05:30,3.17,3.27,3.11,3.13,14904
2006-11-14 00:00:00+05:30,3.14,3.19,3.08,3.09,46224
2006-11-15 00:00:00+05:30,3.11,3.15,3.04,3.05,16638
2006-11-16 00:00:00+05:30,3.05,3.1,3.03,3.03,27794
2006-11-17 00:00:00+05:30,3.1,3.22,3.03,3.18,118010
2006-11-20 00:00:00+05:30,3.27,3.39,3.04,3.1,59936
2006-11-21 00:00:00+05:30,3.2,3.2,3.05,3.06,52944
2006-11-22 00:00:00+05:30,3.05,3.17,3.05,3.07,10660
2006-11-23 00:00:00+05:30,3.07,3.11,3.06,3.08,20302
2006-11-24 00:00:00+05:30,3.04,3.16,3.04,3.06,22678
2006-11-27 00:00:00+05:30,3.14,3.21,3.05,3.06,45800
2006-11-28 00:00:00+05:30,3.06,3.11,3.01,3.01,20134
2006-11-29 00:00:00+05:30,3.11,3.11,3.01,3.02,28148
2006-11-30 00:00:00+05:30,3.08,3.11,3.04,3.04,12420
2006-12-01 00:00:00+05:30,3.2,3.28,3.03,3.22,187146
2006-12-04 00:00:00+05:30,3.4,3.45,3.17,3.24,125356
