date,open,high,low,close,volume
2025-06-20 09:15:00+05:30,551.0,652.0,551.0,640.65,6959440
2025-06-20 10:15:00+05:30,641.05,649.2,633.15,636.55,2145256
2025-06-20 11:15:00+05:30,636.8,648.3,636.35,642.85,1472691
2025-06-20 12:15:00+05:30,642.75,644.3,640.1,642.4,513181
2025-06-20 13:15:00+05:30,642.2,643.9,632.0,632.2,800674
2025-06-20 14:15:00+05:30,632.2,634.9,626.25,626.5,1226446
2025-06-20 15:15:00+05:30,626.7,626.95,622.25,624.0,818139
2025-06-23 09:15:00+05:30,615.5,630.75,615.5,629.95,941199
2025-06-23 10:15:00+05:30,629.95,629.95,624.1,624.35,334072
2025-06-23 11:15:00+05:30,624.2,634.0,623.3,632.35,393932
2025-06-23 12:15:00+05:30,632.25,634.9,629.4,631.6,241074
2025-06-23 13:15:00+05:30,631.6,633.0,623.25,623.6,172652
2025-06-23 14:15:00+05:30,623.6,625.7,614.25,619.1,374163
2025-06-23 15:15:00+05:30,619.15,621.3,619.1,620.55,151351
2025-06-24 09:15:00+05:30,628.2,639.4,628.2,632.0,620013
2025-06-24 10:15:00+05:30,631.75,632.95,628.9,629.5,148636
2025-06-24 11:15:00+05:30,629.8,634.25,629.5,632.45,217755
2025-06-24 12:15:00+05:30,632.65,633.75,630.25,632.25,105684
2025-06-24 13:15:00+05:30,632.4,632.7,622.0,632.25,331448
2025-06-24 14:15:00+05:30,632.0,636.6,631.05,633.4,428702
2025-06-24 15:15:00+05:30,633.35,633.35,629.2,632.5,300434
2025-06-25 09:15:00+05:30,634.7,659.3,630.25,655.2,2010871
2025-06-25 10:15:00+05:30,655.2,675.9,655.0,668.5,2070614
2025-06-25 11:15:00+05:30,668.55,669.9,660.7,663.0,488902
2025-06-25 12:15:00+05:30,662.95,663.5,655.1,659.0,425176
2025-06-25 13:15:00+05:30,659.0,662.8,655.55,658.95,228496
2025-06-25 14:15:00+05:30,659.0,666.9,655.2,656.15,376554
2025-06-25 15:15:00+05:30,656.5,659.7,655.1,659.25,247666
2025-06-26 09:15:00+05:30,666.0,680.45,660.05,666.0,1631641
2025-06-26 10:15:00+05:30,666.0,679.5,664.55,678.1,663383
2025-06-26 11:15:00+05:30,678.2,696.0,675.55,692.7,980338
2025-06-26 12:15:00+05:30,692.7,694.0,673.0,680.85,745674
2025-06-26 13:15:00+05:30,680.5,682.6,672.65,678.4,353918
2025-06-26 14:15:00+05:30,677.7,679.95,673.0,678.9,326258
2025-06-26 15:15:00+05:30,678.95,680.45,675.6,677.6,261151
2025-06-27 09:15:00+05:30,682.0,684.8,661.25,670.6,628193
2025-06-27 10:15:00+05:30,670.6,676.5,666.55,675.3,177583
2025-06-27 11:15:00+05:30,675.7,689.0,673.3,685.4,425628
2025-06-27 12:15:00+05:30,685.4,690.0,680.1,687.2,254962
2025-06-27 13:15:00+05:30,687.2,694.0,685.6,690.7,282344
2025-06-27 14:15:00+05:30,691.0,695.0,687.1,689.9,435537
2025-06-27 15:15:00+05:30,689.95,697.8,689.9,693.5,301640
2025-06-30 09:15:00+05:30,693.5,718.0,684.25,710.65,1356262
2025-06-30 10:15:00+05:30,710.75,713.9,701.0,708.7,245845
2025-06-30 11:15:00+05:30,708.7,710.0,699.0,703.25,163683
2025-06-30 12:15:00+05:30,703.25,705.15,695.15,698.4,137838
