date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,88.65,89.25,87.7,88.2,127986
2015-02-02 10:15:00+05:30,88.2,88.75,87.75,88.75,47335
2015-02-02 11:15:00+05:30,88.75,88.85,87.75,87.8,24308
2015-02-02 12:15:00+05:30,87.8,88.55,87.8,88.35,24284
2015-02-02 13:15:00+05:30,88.35,88.45,87.8,87.85,13612
2015-02-02 14:15:00+05:30,87.85,90.45,87.7,88.4,292042
2015-02-02 15:15:00+05:30,88.45,88.75,87.8,88.0,52095
2015-02-03 09:15:00+05:30,89.1,89.1,86.85,87.1,50262
2015-02-03 10:15:00+05:30,87.1,87.3,86.15,86.85,28399
2015-02-03 11:15:00+05:30,86.85,87.0,85.7,85.9,20512
2015-02-03 12:15:00+05:30,85.9,86.15,85.05,85.75,14619
2015-02-03 13:15:00+05:30,85.75,86.05,85.05,85.65,21786
2015-02-03 14:15:00+05:30,85.65,88.3,85.4,86.6,83156
2015-02-03 15:15:00+05:30,86.6,86.85,86.0,86.1,39010
2015-02-04 09:15:00+05:30,87.2,87.2,85.15,86.0,42381
2015-02-04 10:15:00+05:30,86.0,86.35,85.75,85.9,14978
2015-02-04 11:15:00+05:30,85.9,86.3,85.75,86.3,4916
2015-02-04 12:15:00+05:30,86.3,86.65,85.95,86.4,24652
2015-02-04 13:15:00+05:30,86.4,86.8,86.15,86.25,35722
2015-02-04 14:15:00+05:30,86.25,86.3,85.55,85.7,14666
2015-02-04 15:15:00+05:30,85.7,85.85,84.8,85.45,29285
2015-02-05 09:15:00+05:30,85.5,85.9,84.5,85.3,33114
2015-02-05 10:15:00+05:30,85.3,85.3,84.15,84.35,20719
2015-02-05 11:15:00+05:30,84.35,84.8,84.2,84.55,8205
2015-02-05 12:15:00+05:30,84.55,84.7,84.35,84.65,4699
2015-02-05 13:15:00+05:30,84.65,85.0,84.45,84.85,13546
2015-02-05 14:15:00+05:30,84.85,84.9,82.15,82.15,57981
2015-02-05 15:15:00+05:30,82.35,82.8,81.95,82.8,37648
2015-02-06 09:15:00+05:30,83.0,83.95,82.3,82.9,57104
2015-02-06 10:15:00+05:30,82.9,83.3,81.8,82.4,20913
2015-02-06 11:15:00+05:30,82.4,83.5,82.4,82.8,14629
2015-02-06 12:15:00+05:30,82.8,83.2,82.55,82.6,20575
2015-02-06 13:15:00+05:30,82.6,82.65,82.25,82.4,8925
2015-02-06 14:15:00+05:30,82.55,82.55,81.6,81.75,36407
2015-02-06 15:15:00+05:30,81.75,81.9,80.3,80.7,46823
2015-02-09 09:15:00+05:30,80.6,80.6,79.1,79.45,36841
2015-02-09 10:15:00+05:30,79.45,79.75,79.1,79.35,20942
2015-02-09 11:15:00+05:30,79.35,79.55,78.45,78.65,19221
2015-02-09 12:15:00+05:30,78.65,78.95,78.25,78.25,23744
