date,open,high,low,close,volume
2010-04-06 00:00:00+05:30,90.05,111.4,90.05,101.2,59781284
2010-04-07 00:00:00+05:30,101.6,102.2,97.8,100.25,15312200
2010-04-08 00:00:00+05:30,99.6,107.55,99.2,103.15,33472916
2010-04-09 00:00:00+05:30,103.35,104.55,101.7,102.25,6320432
2010-04-12 00:00:00+05:30,102.55,103.4,98.5,99.95,3093856
2010-04-13 00:00:00+05:30,99.6,102.1,98.85,99.65,3346344
2010-04-15 00:00:00+05:30,100.6,101.8,98.5,99.1,2513216
2010-04-16 00:00:00+05:30,99.1,100.6,98.35,99.65,1583616
2010-04-19 00:00:00+05:30,98.85,99.6,95.9,97.35,1368576
2010-04-20 00:00:00+05:30,97.6,98.8,95.9,97.8,728232
2010-04-21 00:00:00+05:30,98.1,102.8,98.0,100.25,3643940
2010-04-22 00:00:00+05:30,99.6,101.95,99.15,99.9,1500992
2010-04-23 00:00:00+05:30,100.0,101.6,97.95,98.7,977504
2010-04-26 00:00:00+05:30,100.15,102.35,99.35,100.1,1729736
2010-04-27 00:00:00+05:30,100.35,100.55,97.8,98.25,731536
2010-04-28 00:00:00+05:30,101.0,102.1,95.25,95.85,485056
2010-04-29 00:00:00+05:30,96.4,100.0,96.4,98.85,894640
2010-04-30 00:00:00+05:30,99.1,101.1,98.6,99.3,951820
2010-05-03 00:00:00+05:30,98.3,100.25,98.3,99.5,883408
2010-05-04 00:00:00+05:30,99.35,100.7,97.6,97.9,695748
2010-05-05 00:00:00+05:30,96.85,99.25,89.7,98.7,548156
2010-05-06 00:00:00+05:30,99.1,99.35,95.7,96.25,400652
2010-05-07 00:00:00+05:30,95.4,95.85,93.4,93.65,381824
2010-05-10 00:00:00+05:30,95.9,96.85,94.6,96.45,271708
2010-05-11 00:00:00+05:30,96.85,96.85,94.9,95.2,218284
2010-05-12 00:00:00+05:30,95.15,95.9,93.95,94.6,337728
2010-05-13 00:00:00+05:30,94.7,96.4,94.15,95.05,255068
2010-05-14 00:00:00+05:30,94.4,96.1,93.5,94.65,241580
2010-05-17 00:00:00+05:30,93.9,94.8,93.4,94.2,194264
2010-05-18 00:00:00+05:30,93.45,99.0,93.45,96.25,544424
2010-05-19 00:00:00+05:30,95.9,97.25,93.9,94.15,417184
2010-05-20 00:00:00+05:30,94.65,96.55,93.9,94.15,206124
2010-05-21 00:00:00+05:30,93.4,95.5,90.95,94.6,256044
2010-05-24 00:00:00+05:30,95.35,96.4,94.15,94.2,155084
2010-05-25 00:00:00+05:30,92.9,95.8,90.9,91.35,586148
2010-05-26 00:00:00+05:30,91.75,93.35,90.9,92.0,168992
2010-05-27 00:00:00+05:30,92.45,93.0,91.55,92.35,205180
2010-05-28 00:00:00+05:30,92.9,94.65,92.65,94.45,194448
2010-05-31 00:00:00+05:30,94.25,96.85,93.65,96.3,151008
2010-06-01 00:00:00+05:30,95.4,97.85,94.65,96.3,230840
2010-06-02 00:00:00+05:30,96.6,97.15,94.35,96.75,181156
2010-06-03 00:00:00+05:30,97.3,98.05,95.8,96.7,79132
2010-06-04 00:00:00+05:30,96.9,98.15,95.5,97.75,178884
2010-06-07 00:00:00+05:30,94.15,95.9,94.15,95.0,65216
2010-06-08 00:00:00+05:30,94.9,96.4,92.15,95.1,141144
2010-06-09 00:00:00+05:30,95.4,96.4,94.15,94.7,77308
2010-06-10 00:00:00+05:30,95.2,95.6,94.4,94.75,45220
2010-06-11 00:00:00+05:30,94.9,95.65,94.15,95.1,79144
2010-06-14 00:00:00+05:30,95.5,95.7,94.25,94.9,68500
2010-06-15 00:00:00+05:30,92.9,101.6,92.9,99.5,629700
2010-06-16 00:00:00+05:30,100.0,102.6,97.65,101.55,792728
2010-06-17 00:00:00+05:30,101.6,104.05,101.35,102.0,848276
2010-06-18 00:00:00+05:30,101.8,102.7,98.35,98.5,278660
2010-06-21 00:00:00+05:30,99.1,100.6,98.75,99.1,168732
2010-06-22 00:00:00+05:30,99.1,99.8,97.6,98.9,106884
2010-06-23 00:00:00+05:30,97.6,101.8,96.85,100.75,391600
2010-06-24 00:00:00+05:30,101.15,104.0,100.8,102.6,524480
2010-06-25 00:00:00+05:30,102.1,103.15,99.65,100.35,134788
2010-06-28 00:00:00+05:30,100.5,103.85,100.35,101.85,390188
2010-06-29 00:00:00+05:30,102.05,105.45,102.05,103.1,1036756
2010-06-30 00:00:00+05:30,103.35,103.9,101.35,102.6,198452
2010-07-01 00:00:00+05:30,103.2,108.1,102.1,107.05,2603964
2010-07-02 00:00:00+05:30,108.3,121.8,107.6,118.2,14152348
2010-07-05 00:00:00+05:30,118.3,121.3,114.25,118.2,7916544
2010-07-06 00:00:00+05:30,118.95,120.25,116.05,117.35,2262000
2010-07-07 00:00:00+05:30,118.05,119.8,113.35,114.95,1831752
2010-07-08 00:00:00+05:30,115.8,118.2,115.45,116.4,842304
2010-07-09 00:00:00+05:30,117.05,126.35,115.95,122.65,8089480
2010-07-12 00:00:00+05:30,114.8,125.0,114.8,120.6,2682164
2010-07-13 00:00:00+05:30,120.4,125.7,119.85,123.95,3475616
2010-07-14 00:00:00+05:30,124.75,125.5,118.4,119.4,892040
2010-07-15 00:00:00+05:30,120.3,121.6,117.75,120.2,1183124
2010-07-16 00:00:00+05:30,120.55,122.9,120.05,120.55,861028
2010-07-19 00:00:00+05:30,120.6,121.7,119.05,119.6,316116
2010-07-20 00:00:00+05:30,120.3,122.5,120.1,120.6,653776
2010-07-21 00:00:00+05:30,121.5,121.9,118.9,120.1,346352
