date,open,high,low,close,volume
2004-03-26 00:00:00+05:30,7.85,7.85,5.55,6.75,32036948
2004-03-29 00:00:00+05:30,6.8,6.85,6.7,6.75,11272118
2004-03-30 00:00:00+05:30,6.75,6.95,6.75,6.8,9214162
2004-03-31 00:00:00+05:30,6.8,6.9,6.75,6.8,5874712
2004-04-01 00:00:00+05:30,6.8,7.1,6.8,7.05,9260748
2004-04-02 00:00:00+05:30,7.15,8.0,7.05,7.85,37970688
2004-04-05 00:00:00+05:30,8.05,9.3,7.85,8.75,97860558
2004-04-06 00:00:00+05:30,8.95,9.55,8.75,9.1,66634092
2004-04-07 00:00:00+05:30,9.2,9.35,8.9,9.2,41154350
2004-04-08 00:00:00+05:30,9.25,9.25,8.9,9.05,25181032
2004-04-12 00:00:00+05:30,9.15,10.2,9.1,9.75,57264840
2004-04-13 00:00:00+05:30,9.9,9.9,9.3,9.6,27663252
2004-04-15 00:00:00+05:30,9.7,9.95,9.5,9.75,25511140
2004-04-16 00:00:00+05:30,9.8,10.25,9.7,10.1,31238310
2004-04-19 00:00:00+05:30,11.5,12.4,11.5,11.9,70477720
2004-04-20 00:00:00+05:30,12.0,12.2,11.2,11.45,42040052
2004-04-21 00:00:00+05:30,11.3,11.75,11.15,11.65,26804200
2004-04-22 00:00:00+05:30,11.7,11.75,11.4,11.5,17219094
2004-04-23 00:00:00+05:30,11.5,11.8,11.05,11.15,19614068
2004-04-27 00:00:00+05:30,11.2,11.25,9.7,10.25,22442372
2004-04-28 00:00:00+05:30,10.15,10.7,9.95,10.65,27159242
2004-04-29 00:00:00+05:30,10.65,11.05,10.65,10.8,20772056
2004-04-30 00:00:00+05:30,10.7,11.05,10.65,10.65,17638272
2004-05-03 00:00:00+05:30,10.65,10.7,10.0,10.3,17936154
2004-05-04 00:00:00+05:30,10.4,10.85,10.4,10.7,13318302
2004-05-05 00:00:00+05:30,10.85,10.95,10.7,10.85,11961366
2004-05-06 00:00:00+05:30,11.25,11.35,11.05,11.15,12709830
2004-05-07 00:00:00+05:30,11.35,11.35,10.8,11.05,15082158
2004-05-10 00:00:00+05:30,10.85,11.05,10.4,11.0,10650304
2004-05-11 00:00:00+05:30,10.7,10.75,10.4,10.45,10864734
2004-05-12 00:00:00+05:30,10.65,10.8,10.25,10.7,17067790
2004-05-13 00:00:00+05:30,10.45,11.15,9.85,10.7,20820786
2004-05-14 00:00:00+05:30,10.8,10.8,9.45,9.75,19651328
2004-05-17 00:00:00+05:30,9.45,9.5,7.8,9.25,19740158
2004-05-18 00:00:00+05:30,9.2,10.2,8.85,10.1,13850126
2004-05-19 00:00:00+05:30,10.25,10.9,10.25,10.8,19235250
2004-05-20 00:00:00+05:30,10.9,12.25,10.8,10.85,12448752
2004-05-21 00:00:00+05:30,10.8,11.3,10.4,10.85,18245606
2004-06-23 00:00:00+05:30,9.7,9.7,8.85,8.95,3194342
2004-06-24 00:00:00+05:30,9.15,9.15,8.75,8.95,2564510
2004-06-25 00:00:00+05:30,8.85,9.5,8.85,9.3,2778676
2004-06-28 00:00:00+05:30,9.5,9.5,9.35,9.4,1584572
2004-06-29 00:00:00+05:30,9.45,10.15,9.35,10.05,5066764
2004-06-30 00:00:00+05:30,10.2,10.35,9.9,9.95,2419862
2004-07-01 00:00:00+05:30,10.15,10.15,9.85,9.95,1180774
2004-07-02 00:00:00+05:30,9.9,10.3,9.75,10.2,3046050
2004-07-05 00:00:00+05:30,10.2,10.3,10.1,10.15,1794340
2004-07-06 00:00:00+05:30,10.05,10.25,10.0,10.2,1714134
2004-07-07 00:00:00+05:30,10.3,10.4,10.1,10.15,1640794
2004-07-08 00:00:00+05:30,10.4,10.4,9.7,9.9,2631224
2004-07-09 00:00:00+05:30,9.75,10.1,9.2,9.95,1907532
2004-07-12 00:00:00+05:30,9.95,10.2,9.9,10.0,1113190
2004-07-13 00:00:00+05:30,10.15,10.15,9.9,9.9,871250
2004-07-14 00:00:00+05:30,9.9,10.05,9.85,9.9,933294
