date,open,high,low,close,volume
2004-04-27 00:00:00+05:30,5.0,5.0,5.0,5.0,524
2004-04-28 00:00:00+05:30,5.0,5.0,5.0,5.0,0
2004-04-29 00:00:00+05:30,5.0,5.0,5.0,5.0,0
2004-04-30 00:00:00+05:30,5.4,5.4,5.4,5.4,249
2004-05-03 00:00:00+05:30,5.46,5.46,5.03,5.03,1024
2004-05-04 00:00:00+05:30,5.3,5.46,5.15,5.16,14599
2004-05-05 00:00:00+05:30,5.38,5.39,5.05,5.25,47239
2004-05-06 00:00:00+05:30,5.4,5.4,5.17,5.22,15049
2004-05-07 00:00:00+05:30,5.32,5.55,5.06,5.14,47374
2004-05-10 00:00:00+05:30,5.18,5.41,5.18,5.39,86139
2004-05-11 00:00:00+05:30,5.37,5.4,5.16,5.16,24499
2004-05-12 00:00:00+05:30,5.58,5.58,5.18,5.35,32419
2004-05-13 00:00:00+05:30,5.4,5.4,5.3,5.33,14749
2004-05-14 00:00:00+05:30,5.17,5.17,4.6,5.05,16044
2004-05-17 00:00:00+05:30,4.56,4.8,4.56,4.69,12649
2004-05-18 00:00:00+05:30,4.22,5.0,4.22,4.56,7099
2004-05-19 00:00:00+05:30,4.98,5.0,4.98,4.98,5499
2004-05-20 00:00:00+05:30,5.2,5.24,4.9,5.0,7374
2004-05-21 00:00:00+05:30,5.0,5.02,4.9,4.9,10649
2004-06-23 00:00:00+05:30,4.82,4.82,4.16,4.16,0
2004-06-24 00:00:00+05:30,4.82,4.82,4.16,4.16,0
2004-06-25 00:00:00+05:30,4.73,4.76,4.73,4.74,999
2004-06-28 00:00:00+05:30,4.73,4.76,4.73,4.74,0
2004-06-29 00:00:00+05:30,4.02,4.1,4.02,4.1,999
2004-06-30 00:00:00+05:30,4.02,4.1,4.02,4.1,0
2004-07-01 00:00:00+05:30,4.02,4.1,4.02,4.1,0
2004-07-02 00:00:00+05:30,4.42,4.5,4.42,4.5,994
2004-07-05 00:00:00+05:30,4.7,4.7,4.26,4.48,19
2004-07-06 00:00:00+05:30,4.4,4.4,4.3,4.37,1439
2004-07-07 00:00:00+05:30,4.2,4.2,4.12,4.18,9544
2004-07-08 00:00:00+05:30,4.2,4.2,4.12,4.18,0
2004-07-09 00:00:00+05:30,4.2,4.2,4.12,4.18,0
2004-07-12 00:00:00+05:30,4.2,4.2,4.12,4.18,0
2004-07-13 00:00:00+05:30,4.2,4.2,4.12,4.18,0
2004-07-14 00:00:00+05:30,5.01,5.01,3.84,3.84,9
2004-07-15 00:00:00+05:30,3.84,4.6,3.84,4.6,19249
2004-07-16 00:00:00+05:30,4.4,4.4,4.4,4.4,499
2004-07-19 00:00:00+05:30,4.4,4.4,4.4,4.4,0
2004-07-20 00:00:00+05:30,4.02,4.21,4.02,4.21,1499
2004-07-21 00:00:00+05:30,4.02,4.21,4.02,4.21,0
2004-07-22 00:00:00+05:30,4.6,4.74,4.6,4.74,5099
2004-07-23 00:00:00+05:30,4.6,4.74,4.6,4.74,0
2004-07-26 00:00:00+05:30,5.0,5.0,5.0,5.0,999
2004-07-27 00:00:00+05:30,4.9,5.04,4.81,4.81,12709
2004-07-28 00:00:00+05:30,4.8,4.8,4.8,4.8,10614
2004-07-29 00:00:00+05:30,4.6,4.8,4.6,4.8,109
2004-07-30 00:00:00+05:30,5.38,5.38,4.8,4.8,719
2004-08-02 00:00:00+05:30,5.38,5.38,4.8,4.8,0
2004-08-03 00:00:00+05:30,5.06,5.06,5.06,5.06,499
