date,open,high,low,close,volume
2003-01-01 00:00:00+05:30,5.5,5.5,5.15,5.4,26764
2003-01-02 00:00:00+05:30,5.4,5.4,5.2,5.25,19600
2003-01-03 00:00:00+05:30,5.15,5.35,5.15,5.2,35882
2003-01-06 00:00:00+05:30,5.0,5.0,4.85,4.85,6187
2003-01-07 00:00:00+05:30,4.75,5.15,4.75,5.0,17158
2003-01-08 00:00:00+05:30,4.8,5.15,4.75,5.0,13284
2003-01-09 00:00:00+05:30,5.05,5.25,5.0,5.1,17274
2003-01-10 00:00:00+05:30,5.1,5.3,5.1,5.25,43632
2003-01-13 00:00:00+05:30,5.45,5.45,5.15,5.25,16161
2003-01-14 00:00:00+05:30,4.75,5.45,4.75,5.25,16501
2003-01-15 00:00:00+05:30,5.3,5.35,5.2,5.2,31525
2003-01-16 00:00:00+05:30,5.35,5.65,5.25,5.5,47353
2003-01-17 00:00:00+05:30,5.4,6.6,5.4,6.55,156642
2003-01-20 00:00:00+05:30,6.2,6.75,6.2,6.4,58280
2003-01-21 00:00:00+05:30,5.8,6.4,5.7,5.8,62832
2003-01-22 00:00:00+05:30,5.9,6.45,5.7,6.15,48528
2003-01-23 00:00:00+05:30,5.9,6.4,5.9,6.35,20206
2003-01-24 00:00:00+05:30,6.85,6.85,6.05,6.3,95037
2003-01-27 00:00:00+05:30,5.6,6.7,5.6,5.95,26309
2003-01-28 00:00:00+05:30,6.05,6.95,6.05,6.8,94392
2003-01-29 00:00:00+05:30,7.3,7.3,6.55,6.7,83204
2003-01-30 00:00:00+05:30,7.0,7.0,6.4,6.85,46948
2003-01-31 00:00:00+05:30,6.7,6.85,6.65,6.8,30432
2003-02-03 00:00:00+05:30,6.75,6.85,6.5,6.8,26428
2003-02-04 00:00:00+05:30,6.4,6.85,6.4,6.65,24993
2003-02-05 00:00:00+05:30,6.5,6.65,6.35,6.4,24590
2003-02-06 00:00:00+05:30,6.4,6.45,6.3,6.4,15735
2003-02-07 00:00:00+05:30,6.4,6.55,6.4,6.45,16597
2003-02-10 00:00:00+05:30,6.4,6.4,6.1,6.1,15420
2003-02-11 00:00:00+05:30,6.1,6.15,5.9,5.9,19345
2003-02-12 00:00:00+05:30,5.9,5.9,5.4,5.5,42690
2003-02-14 00:00:00+05:30,5.45,5.6,5.25,5.5,19300
2003-02-17 00:00:00+05:30,5.3,5.75,5.3,5.5,4050
2003-02-18 00:00:00+05:30,5.55,5.85,5.5,5.55,9201
2003-02-19 00:00:00+05:30,5.6,5.7,5.5,5.55,13100
2003-02-20 00:00:00+05:30,5.35,5.45,5.2,5.4,14803
2003-02-21 00:00:00+05:30,5.4,5.4,5.3,5.35,8200
2003-02-24 00:00:00+05:30,5.25,5.3,5.2,5.2,10306
2003-02-25 00:00:00+05:30,5.6,5.6,5.25,5.25,13465
2003-02-26 00:00:00+05:30,5.2,5.6,5.2,5.6,13501
