date,open,high,low,close,volume
2024-03-19 09:15:00+05:30,204.0,289.2,204.0,270.7,1632630
2024-03-19 10:15:00+05:30,270.7,276.7,267.1,274.3,987072
2024-03-19 11:15:00+05:30,274.3,289.1,270.05,277.35,911190
2024-03-19 12:15:00+05:30,277.35,281.55,275.0,275.25,168077
2024-03-19 13:15:00+05:30,275.25,277.5,274.1,276.25,134005
2024-03-19 14:15:00+05:30,276.25,284.9,275.0,275.8,311453
2024-03-19 15:15:00+05:30,275.8,278.0,275.45,276.45,148385
2024-03-20 09:15:00+05:30,274.85,289.2,272.0,281.2,858077
2024-03-20 10:15:00+05:30,281.5,285.0,281.0,283.0,129699
2024-03-20 11:15:00+05:30,283.0,284.95,281.8,282.2,78469
2024-03-20 12:15:00+05:30,282.2,283.95,281.2,282.2,43373
2024-03-20 13:15:00+05:30,282.2,284.4,281.6,282.15,49204
2024-03-20 14:15:00+05:30,282.15,286.6,282.0,284.05,147354
2024-03-20 15:15:00+05:30,284.3,287.8,283.9,284.5,120443
2024-03-21 09:15:00+05:30,284.75,296.55,284.0,289.8,381131
2024-03-21 10:15:00+05:30,290.0,290.6,285.45,288.95,95575
2024-03-21 11:15:00+05:30,288.95,290.6,288.35,288.8,74198
2024-03-21 12:15:00+05:30,288.8,289.8,288.5,289.0,33359
2024-03-21 13:15:00+05:30,289.0,289.3,287.6,288.75,155671
2024-03-21 14:15:00+05:30,288.75,290.0,288.5,288.9,140389
2024-03-21 15:15:00+05:30,288.9,289.7,288.9,289.7,46921
2024-03-22 09:15:00+05:30,289.2,289.2,278.0,281.6,102250
2024-03-22 10:15:00+05:30,281.75,283.65,279.1,282.1,55485
2024-03-22 11:15:00+05:30,282.1,284.9,280.5,281.6,47935
2024-03-22 12:15:00+05:30,281.6,281.7,280.05,280.75,17417
2024-03-22 13:15:00+05:30,280.75,280.9,280.1,280.25,17425
2024-03-22 14:15:00+05:30,280.25,280.85,279.0,280.35,43309
2024-03-22 15:15:00+05:30,280.35,283.0,279.1,280.45,39943
2024-03-26 09:15:00+05:30,274.7,275.0,269.25,270.95,124143
2024-03-26 10:15:00+05:30,270.8,271.15,269.1,269.3,42810
2024-03-26 11:15:00+05:30,269.25,271.9,268.35,269.1,197812
2024-03-26 12:15:00+05:30,269.1,269.4,265.6,266.6,59737
2024-03-26 13:15:00+05:30,266.6,267.0,265.0,266.75,37111
2024-03-26 14:15:00+05:30,266.5,267.9,266.0,266.5,45510
2024-03-26 15:15:00+05:30,266.5,270.0,266.0,267.05,38478
2024-03-27 09:15:00+05:30,266.75,269.1,252.0,253.55,147108
2024-03-27 10:15:00+05:30,253.7,255.45,252.2,254.45,101984
2024-03-27 11:15:00+05:30,254.45,255.2,250.55,253.75,230090
2024-03-27 12:15:00+05:30,253.75,254.9,252.5,252.7,37227
2024-03-27 13:15:00+05:30,252.7,253.15,251.7,252.2,23305
2024-03-27 14:15:00+05:30,252.2,253.5,251.6,253.0,62947
2024-03-27 15:15:00+05:30,253.0,253.15,251.1,252.05,38109
2024-03-28 09:15:00+05:30,249.1,249.1,236.4,240.45,249638
2024-03-28 10:15:00+05:30,240.45,244.5,240.25,244.1,111216
2024-03-28 11:15:00+05:30,244.1,251.9,243.8,251.4,109933
2024-03-28 12:15:00+05:30,251.35,257.7,249.3,254.1,147647
2024-03-28 13:15:00+05:30,254.1,255.3,251.55,252.35,57213
2024-03-28 14:15:00+05:30,252.5,252.95,245.4,247.9,93009
2024-03-28 15:15:00+05:30,247.9,252.4,247.75,247.85,57538
2024-04-01 09:15:00+05:30,245.1,267.0,245.05,259.9,146196
2024-04-01 10:15:00+05:30,259.9,260.45,256.55,257.6,36245
2024-04-01 11:15:00+05:30,257.6,260.7,255.85,259.6,52320
2024-04-01 12:15:00+05:30,259.6,263.8,258.55,259.8,93137
2024-04-01 13:15:00+05:30,259.8,260.35,257.3,258.65,12677
2024-04-01 14:15:00+05:30,258.65,262.65,257.35,261.55,36325
2024-04-01 15:15:00+05:30,261.55,262.5,256.25,259.0,18402
2024-04-02 09:15:00+05:30,263.9,264.0,259.15,260.2,66412
2024-04-02 10:15:00+05:30,260.2,261.8,258.2,258.2,24713
2024-04-02 11:15:00+05:30,258.2,259.55,257.15,258.15,27478
2024-04-02 12:15:00+05:30,258.4,258.45,256.05,256.2,22243
2024-04-02 13:15:00+05:30,256.2,258.85,254.4,257.4,37595
2024-04-02 14:15:00+05:30,257.4,259.0,257.4,258.85,22415
2024-04-02 15:15:00+05:30,258.85,259.2,256.15,258.0,31679
2024-04-03 09:15:00+05:30,257.95,262.65,257.95,261.25,46503
2024-04-03 10:15:00+05:30,261.3,264.55,260.8,263.25,65056
2024-04-03 11:15:00+05:30,263.25,263.9,262.6,263.2,19692
2024-04-03 12:15:00+05:30,263.2,263.6,263.0,263.2,8037
2024-04-03 13:15:00+05:30,263.25,270.0,262.9,266.1,90820
2024-04-03 14:15:00+05:30,266.2,269.95,266.0,268.2,122059
2024-04-03 15:15:00+05:30,268.1,269.7,266.3,266.3,18987
2024-04-04 09:15:00+05:30,271.95,273.55,263.2,266.3,72785
2024-04-04 10:15:00+05:30,266.3,267.35,264.0,264.35,26557
2024-04-04 11:15:00+05:30,264.35,266.0,263.55,264.3,17697
2024-04-04 12:15:00+05:30,264.3,266.85,263.15,266.05,31294
2024-04-04 13:15:00+05:30,266.05,266.05,264.5,265.5,7835
2024-04-04 14:15:00+05:30,265.5,265.8,264.45,265.25,13055
2024-04-04 15:15:00+05:30,265.25,265.45,262.2,263.05,16410
2024-04-05 09:15:00+05:30,261.55,264.95,261.4,262.5,27051
2024-04-05 10:15:00+05:30,262.5,264.9,261.6,262.8,20682
2024-04-05 11:15:00+05:30,262.8,264.8,262.0,263.3,20650
2024-04-05 12:15:00+05:30,263.3,265.1,261.0,262.15,52086
2024-04-05 13:15:00+05:30,262.15,263.8,261.8,263.5,9936
2024-04-05 14:15:00+05:30,263.5,263.6,262.5,263.05,11250
2024-04-05 15:15:00+05:30,263.05,264.2,262.95,263.0,8601
2024-04-08 09:15:00+05:30,263.45,264.65,255.25,258.5,87396
2024-04-08 10:15:00+05:30,258.5,262.0,257.95,258.75,62601
2024-04-08 11:15:00+05:30,258.75,259.95,257.7,258.85,36159
2024-04-08 12:15:00+05:30,258.85,260.7,258.5,259.5,26995
2024-04-08 13:15:00+05:30,259.5,262.0,258.3,259.65,187738
2024-04-08 14:15:00+05:30,259.65,270.85,258.7,265.3,272372
2024-04-08 15:15:00+05:30,265.3,272.0,265.3,270.0,48208
2024-04-09 09:15:00+05:30,274.9,274.95,271.2,271.2,128897
2024-04-09 10:15:00+05:30,271.2,274.0,268.1,270.9,96149
2024-04-09 11:15:00+05:30,270.9,272.7,270.1,271.05,21106
2024-04-09 12:15:00+05:30,271.05,271.25,269.0,269.25,22424
2024-04-09 13:15:00+05:30,269.25,269.5,263.3,264.9,37175
2024-04-09 14:15:00+05:30,264.9,267.0,264.55,266.8,17737
2024-04-09 15:15:00+05:30,266.8,267.35,265.0,266.0,28943
2024-04-10 09:15:00+05:30,265.85,266.7,261.7,262.15,36977
2024-04-10 10:15:00+05:30,262.15,263.7,262.15,263.0,11041
2024-04-10 11:15:00+05:30,263.0,263.3,262.55,263.05,11444
2024-04-10 12:15:00+05:30,263.05,263.7,262.7,263.0,7865
2024-04-10 13:15:00+05:30,263.0,263.7,262.05,263.0,13273
2024-04-10 14:15:00+05:30,263.0,263.4,262.5,263.0,13664
2024-04-10 15:15:00+05:30,263.0,263.15,261.75,262.45,11251
2024-04-12 09:15:00+05:30,260.6,264.15,259.0,260.8,38389
2024-04-12 10:15:00+05:30,260.8,261.65,257.4,261.1,29883
2024-04-12 11:15:00+05:30,261.1,261.7,260.2,260.9,6994
2024-04-12 12:15:00+05:30,260.9,261.5,259.65,260.35,19841
2024-04-12 13:15:00+05:30,260.35,260.85,259.3,260.5,5287
2024-04-12 14:15:00+05:30,260.5,260.8,260.0,260.25,20153
2024-04-12 15:15:00+05:30,260.25,260.5,259.2,260.5,18580
2024-04-15 09:15:00+05:30,254.7,254.7,245.65,246.8,274160
2024-04-15 10:15:00+05:30,246.8,250.5,246.05,248.3,158984
2024-04-15 11:15:00+05:30,248.3,249.7,247.15,248.3,38622
2024-04-15 12:15:00+05:30,248.3,248.65,247.65,248.15,19067
2024-04-15 13:15:00+05:30,248.15,248.65,247.45,248.0,37601
2024-04-15 14:15:00+05:30,248.0,248.45,246.1,247.9,278021
2024-04-15 15:15:00+05:30,247.9,248.1,247.5,247.5,46241
2024-04-16 09:15:00+05:30,247.85,251.7,244.05,248.35,38757
2024-04-16 10:15:00+05:30,248.75,249.8,247.75,249.15,17942
2024-04-16 11:15:00+05:30,249.15,249.65,248.65,249.35,12773
2024-04-16 12:15:00+05:30,249.35,249.7,248.3,249.0,9644
2024-04-16 13:15:00+05:30,249.0,249.55,248.5,249.0,11985
2024-04-16 14:15:00+05:30,249.0,249.3,248.6,249.05,20510
2024-04-16 15:15:00+05:30,249.05,249.2,249.0,249.0,12084
2024-04-18 09:15:00+05:30,245.0,253.0,245.0,247.9,38888
2024-04-18 10:15:00+05:30,247.9,248.7,246.2,247.15,20697
2024-04-18 11:15:00+05:30,247.15,248.05,244.05,244.3,25477
2024-04-18 12:15:00+05:30,244.3,245.45,244.05,244.75,17168
2024-04-18 13:15:00+05:30,244.75,244.9,243.0,243.7,22306
2024-04-18 14:15:00+05:30,243.7,246.0,241.0,243.0,47196
2024-04-18 15:15:00+05:30,243.1,244.1,241.0,243.5,12469
2024-04-19 09:15:00+05:30,243.0,243.0,235.0,242.4,51865
2024-04-19 10:15:00+05:30,242.4,244.8,241.95,243.05,35907
