date,open,high,low,close,volume
2025-07-30 00:00:00+05:30,64.8,66.8,62.55,66.3,1659290
2025-07-31 00:00:00+05:30,66.3,68.4,64.3,67.85,1108800
2025-08-01 00:00:00+05:30,68.4,68.4,66.5,67.35,569220
2025-08-04 00:00:00+05:30,68.2,69.9,67.5,68.9,681370
2025-08-05 00:00:00+05:30,69.9,70.0,68.0,68.55,238370
2025-08-06 00:00:00+05:30,68.95,69.3,67.35,67.7,117550
2025-08-07 00:00:00+05:30,68.45,68.9,66.3,66.75,123770
2025-08-08 00:00:00+05:30,68.95,68.95,64.0,65.2,77320
2025-08-11 00:00:00+05:30,65.5,66.9,65.25,65.75,130280
2025-08-12 00:00:00+05:30,66.75,66.75,65.0,65.35,56360
2025-08-13 00:00:00+05:30,66.5,67.5,64.9,67.2,353160
2025-08-14 00:00:00+05:30,68.0,70.0,67.1,68.7,241630
2025-08-18 00:00:00+05:30,70.85,71.0,68.5,69.95,225590
2025-08-19 00:00:00+05:30,71.4,71.4,67.5,68.2,398480
2025-08-20 00:00:00+05:30,68.65,71.4,67.95,70.6,873230
2025-08-21 00:00:00+05:30,71.3,73.3,70.8,72.8,1041620
2025-08-22 00:00:00+05:30,72.9,74.5,71.7,72.1,1570050
2025-08-25 00:00:00+05:30,73.35,73.5,71.75,73.05,211980
2025-08-26 00:00:00+05:30,73.4,74.3,72.1,72.3,308810
2025-08-28 00:00:00+05:30,72.3,75.0,70.4,71.25,439190
2025-08-29 00:00:00+05:30,71.6,74.05,71.6,72.45,125840
2025-09-01 00:00:00+05:30,73.15,74.7,72.4,73.95,442660
2025-09-02 00:00:00+05:30,74.8,74.8,72.7,72.95,99760
2025-09-03 00:00:00+05:30,73.6,74.7,70.9,73.6,568850
2025-09-04 00:00:00+05:30,74.0,75.75,74.0,74.75,853030
2025-09-05 00:00:00+05:30,75.5,75.5,73.95,74.8,276660
2025-09-08 00:00:00+05:30,76.0,76.9,74.9,76.45,665830
2025-09-09 00:00:00+05:30,75.8,77.3,73.6,76.4,459770
2025-09-10 00:00:00+05:30,76.5,77.5,74.5,75.05,274870
2025-09-11 00:00:00+05:30,76.15,76.9,74.5,74.95,120130
2025-09-12 00:00:00+05:30,75.55,77.4,75.2,77.1,1349320
2025-09-15 00:00:00+05:30,77.9,79.0,76.5,78.0,377230
2025-09-16 00:00:00+05:30,78.4,79.7,77.05,77.2,180460
2025-09-17 00:00:00+05:30,77.8,79.25,77.3,78.45,305970
2025-09-18 00:00:00+05:30,79.25,80.0,77.3,78.25,327070
2025-09-19 00:00:00+05:30,79.0,79.2,77.5,78.2,199080
2025-09-22 00:00:00+05:30,79.0,80.75,77.8,78.8,534580
2025-09-23 00:00:00+05:30,80.4,80.4,76.3,77.05,616590
2025-09-24 00:00:00+05:30,77.05,78.5,75.75,76.1,563280
2025-09-25 00:00:00+05:30,77.2,78.3,72.5,76.25,1354170
2025-09-26 00:00:00+05:30,76.0,78.8,74.45,76.3,498949
2025-09-29 00:00:00+05:30,75.0,76.1,72.1,72.75,2745538
2025-09-30 00:00:00+05:30,73.75,76.5,70.0,75.85,3336264
2025-10-01 00:00:00+05:30,75.0,78.44,73.97,75.08,606958
2025-10-03 00:00:00+05:30,74.9,76.89,73.5,75.99,349795
2025-10-06 00:00:00+05:30,74.85,76.5,74.05,74.98,118525
2025-10-07 00:00:00+05:30,73.0,74.68,71.89,72.4,163478
2025-10-08 00:00:00+05:30,73.5,73.53,69.1,69.4,507242
2025-10-09 00:00:00+05:30,69.15,71.03,69.1,69.2,358585
2025-10-10 00:00:00+05:30,69.68,70.91,69.1,69.37,214806
2025-10-13 00:00:00+05:30,69.37,71.0,69.1,69.24,751900
2025-10-14 00:00:00+05:30,72.0,72.0,69.1,69.12,193266
2025-10-15 00:00:00+05:30,69.1,70.54,69.1,69.17,1949824
2025-10-16 00:00:00+05:30,69.69,71.55,69.1,69.28,221137
2025-10-17 00:00:00+05:30,69.63,70.95,69.1,69.36,245925
2025-10-20 00:00:00+05:30,69.89,72.21,69.11,69.73,254540
2025-10-21 00:00:00+05:30,70.0,72.51,70.0,71.37,172045
2025-10-23 00:00:00+05:30,72.4,75.5,71.77,74.7,408542
2025-10-24 00:00:00+05:30,75.8,78.79,74.6,78.04,653513
2025-10-27 00:00:00+05:30,79.0,80.99,77.36,79.84,540535
2025-10-28 00:00:00+05:30,80.65,82.08,79.11,79.86,398272
2025-10-29 00:00:00+05:30,79.05,80.0,76.26,78.89,243616
2025-10-30 00:00:00+05:30,78.5,81.8,77.51,81.32,358990
2025-10-31 00:00:00+05:30,81.32,82.5,80.83,81.7,250871
2025-11-03 00:00:00+05:30,82.65,83.15,78.93,80.25,334420
2025-11-04 00:00:00+05:30,80.25,82.25,79.5,79.78,156125
2025-11-06 00:00:00+05:30,80.0,80.0,78.5,79.26,139840
2025-11-07 00:00:00+05:30,79.26,81.9,79.21,81.72,1039227
2025-11-10 00:00:00+05:30,82.99,84.0,80.91,81.92,483978
2025-11-11 00:00:00+05:30,82.6,82.6,79.0,79.8,590076
2025-11-12 00:00:00+05:30,80.44,80.44,78.51,78.85,258748
2025-11-13 00:00:00+05:30,79.99,80.53,78.5,78.58,508834
2025-11-14 00:00:00+05:30,79.75,80.0,78.5,78.87,131371
2025-11-17 00:00:00+05:30,79.39,80.0,78.51,78.67,115171
2025-11-18 00:00:00+05:30,79.0,79.24,78.5,78.5,96183
2025-11-19 00:00:00+05:30,78.5,79.0,78.5,78.82,8420
