date,open,high,low,close,volume
2022-04-21 09:15:00+05:30,38.65,38.65,36.25,37.4,354732
2022-04-21 10:15:00+05:30,37.4,37.85,37.15,37.35,47712
2022-04-21 11:15:00+05:30,37.35,37.4,37.0,37.1,38724
2022-04-21 12:15:00+05:30,37.1,37.5,36.95,37.25,36900
2022-04-21 13:15:00+05:30,37.25,38.05,37.05,37.95,100104
2022-04-21 14:15:00+05:30,37.9,38.4,37.3,37.55,105444
2022-04-21 15:15:00+05:30,37.55,37.7,37.1,37.1,49644
2022-04-22 09:15:00+05:30,36.75,38.15,36.35,37.05,72072
2022-04-22 10:15:00+05:30,37.05,37.15,36.75,37.05,25212
2022-04-22 11:15:00+05:30,37.05,37.05,36.5,36.6,26148
2022-04-22 12:15:00+05:30,36.6,36.65,35.9,36.45,54096
2022-04-22 13:15:00+05:30,36.45,36.65,36.0,36.35,43680
2022-04-22 14:15:00+05:30,36.35,36.65,35.4,36.25,142572
2022-04-22 15:15:00+05:30,36.25,36.4,35.85,36.35,31344
2022-04-25 09:15:00+05:30,36.4,37.35,36.35,36.5,64920
2022-04-25 10:15:00+05:30,36.5,36.5,36.25,36.35,4440
2022-04-25 11:15:00+05:30,36.35,36.5,36.25,36.5,6120
2022-04-25 12:15:00+05:30,36.5,36.5,36.0,36.05,11340
2022-04-25 13:15:00+05:30,36.05,36.25,36.0,36.15,8976
2022-04-25 14:15:00+05:30,36.15,36.2,35.6,35.7,19380
2022-04-25 15:15:00+05:30,35.7,35.7,35.25,35.35,25392
2022-04-26 09:15:00+05:30,36.75,36.75,34.95,35.15,47376
2022-04-26 10:15:00+05:30,35.15,35.15,34.6,35.1,35376
2022-04-26 11:15:00+05:30,35.1,35.4,35.05,35.15,12552
2022-04-26 12:15:00+05:30,35.15,35.15,34.45,34.65,68844
2022-04-26 13:15:00+05:30,34.65,35.4,34.6,35.15,9072
2022-04-26 14:15:00+05:30,35.15,35.15,34.6,34.7,19080
2022-04-26 15:15:00+05:30,34.7,35.4,34.7,35.4,3204
2022-04-27 09:15:00+05:30,34.85,35.1,33.75,35.0,50148
2022-04-27 10:15:00+05:30,35.0,35.05,34.65,35.05,13392
2022-04-27 11:15:00+05:30,35.05,35.4,35.0,35.2,14832
