date,open,high,low,close,volume
2008-06-10 00:00:00+05:30,59.63,59.63,39.76,44.63,6544210
2008-06-11 00:00:00+05:30,44.43,45.32,41.35,42.49,1551794
2008-06-12 00:00:00+05:30,40.75,42.49,38.86,39.9,695077
2008-06-13 00:00:00+05:30,40.75,41.74,35.88,36.43,367850
2008-06-16 00:00:00+05:30,38.17,38.71,35.98,36.23,361904
2008-06-17 00:00:00+05:30,37.17,37.17,34.29,35.43,264433
2008-06-18 00:00:00+05:30,36.48,37.17,35.43,35.63,177230
2008-06-19 00:00:00+05:30,34.98,35.68,33.94,34.34,85493
2008-06-20 00:00:00+05:30,34.89,34.89,30.96,31.41,123446
2008-06-23 00:00:00+05:30,29.12,30.46,28.08,28.57,109022
2008-06-24 00:00:00+05:30,28.33,28.97,26.88,28.57,93441
2008-06-25 00:00:00+05:30,27.18,31.26,27.08,30.06,120346
2008-06-26 00:00:00+05:30,30.81,31.26,29.07,29.52,33501
2008-06-27 00:00:00+05:30,27.83,28.82,26.83,27.08,46797
2008-06-30 00:00:00+05:30,26.59,27.43,25.59,25.94,41579
2008-07-01 00:00:00+05:30,26.34,26.34,24.85,25.05,41356
2008-07-02 00:00:00+05:30,26.24,26.24,23.95,25.59,29439
2008-07-03 00:00:00+05:30,25.49,27.73,24.5,27.33,59991
2008-07-04 00:00:00+05:30,27.33,28.82,25.94,28.33,35322
2008-07-07 00:00:00+05:30,28.03,30.21,28.03,28.87,23429
2008-07-08 00:00:00+05:30,27.83,29.77,27.48,29.02,32054
2008-07-09 00:00:00+05:30,29.57,30.61,29.12,29.42,16146
2008-07-10 00:00:00+05:30,28.72,30.21,28.52,30.02,23067
2008-07-11 00:00:00+05:30,31.26,31.26,28.52,28.92,15516
2008-07-14 00:00:00+05:30,27.83,29.32,27.83,28.57,8294
2008-07-15 00:00:00+05:30,28.08,28.57,27.53,28.13,6672
2008-07-16 00:00:00+05:30,27.83,28.28,26.83,27.23,11975
2008-07-17 00:00:00+05:30,28.33,28.52,27.38,27.83,11099
2008-07-18 00:00:00+05:30,27.83,29.52,27.38,28.23,7585
2008-07-21 00:00:00+05:30,27.83,28.43,27.08,27.48,7120
2008-07-22 00:00:00+05:30,27.18,28.18,27.18,27.68,7197
2008-07-23 00:00:00+05:30,28.03,30.61,28.03,30.02,30610
2008-07-24 00:00:00+05:30,34.74,34.74,29.02,29.22,16226
2008-07-25 00:00:00+05:30,29.57,29.82,28.82,29.57,11747
2008-07-28 00:00:00+05:30,29.72,29.72,27.88,28.97,11529
2008-07-29 00:00:00+05:30,27.93,29.52,27.93,28.82,7079
2008-07-30 00:00:00+05:30,28.08,29.57,28.08,28.77,10718
2008-07-31 00:00:00+05:30,28.43,29.22,28.38,28.43,3162
2008-08-01 00:00:00+05:30,28.33,30.56,26.83,30.36,79371
2008-08-04 00:00:00+05:30,32.8,36.48,32.8,36.48,168039
2008-08-05 00:00:00+05:30,41.64,43.04,38.51,41.05,626629
2008-08-06 00:00:00+05:30,42.64,42.74,38.31,38.96,277200
2008-08-07 00:00:00+05:30,38.07,39.76,37.87,38.31,47088
2008-08-08 00:00:00+05:30,38.36,39.51,38.26,38.81,38330
2008-08-11 00:00:00+05:30,38.86,38.86,37.27,37.47,38486
2008-08-12 00:00:00+05:30,36.28,38.21,35.83,37.12,35670
2008-08-13 00:00:00+05:30,38.76,38.76,35.88,36.82,37730
2008-08-14 00:00:00+05:30,36.77,37.02,35.93,36.23,13887
2008-08-18 00:00:00+05:30,35.68,36.67,33.89,34.59,19271
2008-08-19 00:00:00+05:30,34.29,34.79,32.85,33.49,17535
2008-08-20 00:00:00+05:30,33.3,36.08,32.8,35.58,21430
2008-08-21 00:00:00+05:30,36.43,36.43,33.89,33.94,10641
2008-08-22 00:00:00+05:30,34.59,35.28,33.3,34.54,23533
2008-08-25 00:00:00+05:30,33.79,35.03,33.44,33.69,18674
2008-08-26 00:00:00+05:30,31.95,34.44,31.95,32.5,17874
2008-08-27 00:00:00+05:30,35.08,35.08,31.31,31.61,24473
2008-08-28 00:00:00+05:30,31.8,32.3,30.21,30.51,20092
2008-08-29 00:00:00+05:30,31.75,31.95,29.92,31.26,26003
2008-09-01 00:00:00+05:30,30.96,33.2,30.91,32.6,27765
2008-09-02 00:00:00+05:30,33.74,34.04,31.36,31.75,41724
2008-09-04 00:00:00+05:30,31.8,32.3,30.91,31.36,18858
2008-09-05 00:00:00+05:30,31.51,32.3,29.87,31.61,20091
2008-09-08 00:00:00+05:30,32.0,32.7,30.51,31.8,26958
2008-09-09 00:00:00+05:30,32.2,32.2,30.81,31.16,6255
2008-09-10 00:00:00+05:30,31.01,31.61,30.46,30.71,12285
2008-09-11 00:00:00+05:30,30.81,30.81,29.87,30.26,10041
2008-09-12 00:00:00+05:30,30.02,32.7,29.87,30.81,40050
2008-09-15 00:00:00+05:30,29.32,30.31,27.93,28.43,20390
2008-09-16 00:00:00+05:30,25.44,28.72,25.44,28.47,20022
2008-09-17 00:00:00+05:30,25.94,28.82,25.94,27.93,15401
2008-09-18 00:00:00+05:30,27.83,27.83,25.84,27.13,27762
2008-09-19 00:00:00+05:30,27.43,28.82,27.33,27.63,10990
2008-09-22 00:00:00+05:30,28.33,29.22,27.48,27.68,28517
2008-09-23 00:00:00+05:30,27.33,27.73,26.54,26.74,13089
2008-09-24 00:00:00+05:30,26.04,27.43,25.59,25.69,22893
