date,open,high,low,close,volume
2024-08-08 00:00:00+05:30,93.77,97.58,89.43,93.53,305591
2024-08-09 00:00:00+05:30,97.67,97.68,90.2,94.02,180216
2024-08-12 00:00:00+05:30,93.77,94.26,90.33,92.79,175979
2024-08-13 00:00:00+05:30,92.88,96.16,85.76,90.46,173626
2024-08-14 00:00:00+05:30,90.65,96.71,87.24,90.46,871533
2024-08-16 00:00:00+05:30,92.73,92.73,89.37,90.42,114745
2024-08-19 00:00:00+05:30,89.87,92.06,89.37,90.6,109420
2024-08-20 00:00:00+05:30,90.84,92.07,87.91,88.36,100472
2024-08-21 00:00:00+05:30,89.67,91.03,88.01,89.41,246896
2024-08-22 00:00:00+05:30,89.41,90.81,88.98,90.35,161181
2024-08-23 00:00:00+05:30,91.23,91.23,89.15,89.64,62853
2024-08-26 00:00:00+05:30,89.64,91.32,85.41,86.26,264919
2024-08-27 00:00:00+05:30,86.93,88.48,85.22,85.69,110061
2024-08-28 00:00:00+05:30,85.23,87.32,84.78,85.09,87387
2024-08-29 00:00:00+05:30,85.82,87.95,82.82,83.92,304143
2024-08-30 00:00:00+05:30,85.17,86.13,83.43,84.37,142098
2024-09-02 00:00:00+05:30,85.66,85.85,81.8,82.14,158862
2024-09-03 00:00:00+05:30,83.37,84.32,82.2,83.09,106052
2024-09-04 00:00:00+05:30,83.09,83.68,82.1,82.85,56986
2024-09-05 00:00:00+05:30,83.66,85.46,81.66,82.27,207163
2024-09-06 00:00:00+05:30,83.43,83.61,82.05,82.88,103853
2024-09-09 00:00:00+05:30,83.71,84.13,80.98,82.04,121465
2024-09-10 00:00:00+05:30,81.76,83.61,81.76,83.31,182834
2024-09-11 00:00:00+05:30,82.73,84.4,82.05,83.05,81297
2024-09-12 00:00:00+05:30,83.95,85.27,81.3,82.21,204799
2024-09-13 00:00:00+05:30,82.93,83.43,81.12,81.99,108124
2024-09-16 00:00:00+05:30,83.03,83.22,81.47,81.88,95647
2024-09-17 00:00:00+05:30,81.95,82.52,80.88,81.82,94613
2024-09-18 00:00:00+05:30,81.6,82.05,80.43,81.56,86106
2024-09-19 00:00:00+05:30,83.03,83.03,80.45,80.75,81721
2024-09-20 00:00:00+05:30,81.27,81.84,80.45,80.98,45822
2024-09-23 00:00:00+05:30,82.05,82.05,79.83,81.08,66390
2024-09-24 00:00:00+05:30,82.05,82.05,79.12,80.46,92256
2024-09-25 00:00:00+05:30,80.58,81.32,80.1,80.24,59979
2024-09-26 00:00:00+05:30,79.27,80.58,79.27,80.17,52469
2024-09-27 00:00:00+05:30,80.1,81.07,78.44,80.64,80495
2024-09-30 00:00:00+05:30,80.68,81.14,79.23,79.89,30079
2024-10-01 00:00:00+05:30,79.13,80.18,79.13,79.73,28430
2024-10-03 00:00:00+05:30,79.12,80.38,78.43,78.93,72050
2024-10-04 00:00:00+05:30,78.15,79.6,77.75,78.38,90695
2024-10-07 00:00:00+05:30,78.39,80.97,73.26,74.63,114525
2024-10-08 00:00:00+05:30,75.69,77.97,74.93,76.46,67151
2024-10-09 00:00:00+05:30,76.76,77.95,75.67,76.4,74061
2024-10-10 00:00:00+05:30,77.65,78.19,76.68,77.45,63002
2024-10-11 00:00:00+05:30,78.09,78.09,76.38,76.87,31133
2024-10-14 00:00:00+05:30,77.65,79.13,77.13,78.07,66486
2024-10-15 00:00:00+05:30,78.14,81.14,77.14,78.25,105729
2024-10-16 00:00:00+05:30,79.12,81.95,78.35,79.55,128987
2024-10-17 00:00:00+05:30,79.85,80.5,77.37,77.88,96691
2024-10-18 00:00:00+05:30,79.12,79.12,76.49,78.07,61564
2024-10-21 00:00:00+05:30,77.76,78.52,76.2,76.55,53773
2024-10-22 00:00:00+05:30,77.16,77.16,74.23,74.47,79261
2024-10-23 00:00:00+05:30,73.36,76.03,73.36,75.18,35214
2024-10-24 00:00:00+05:30,75.02,75.8,73.27,73.9,46463
2024-10-25 00:00:00+05:30,74.55,74.55,71.3,71.83,52576
