date,open,high,low,close,volume
2006-03-08 00:00:00+05:30,1.19,1.19,0.84,0.94,269297250
2006-03-09 00:00:00+05:30,0.94,0.98,0.92,0.93,30833585
2006-03-10 00:00:00+05:30,0.95,0.95,0.86,0.87,18485780
2006-03-13 00:00:00+05:30,0.89,0.89,0.8,0.81,11737750
2006-03-14 00:00:00+05:30,0.8,0.97,0.78,0.92,115845495
2006-03-16 00:00:00+05:30,0.93,0.93,0.85,0.85,22345555
2006-03-17 00:00:00+05:30,0.85,0.85,0.82,0.82,9703880
2006-03-20 00:00:00+05:30,0.83,0.87,0.8,0.83,13775340
2006-03-21 00:00:00+05:30,0.85,0.85,0.8,0.81,5758655
2006-03-22 00:00:00+05:30,0.81,0.81,0.78,0.78,3515015
2006-03-23 00:00:00+05:30,0.78,0.8,0.76,0.77,6241120
2006-03-24 00:00:00+05:30,0.78,0.78,0.73,0.74,5468160
2006-03-27 00:00:00+05:30,0.76,0.77,0.71,0.72,4519875
2006-03-28 00:00:00+05:30,0.72,0.73,0.65,0.66,4958790
2006-03-29 00:00:00+05:30,0.69,0.71,0.67,0.67,4113705
2006-03-30 00:00:00+05:30,0.68,0.7,0.68,0.68,2434960
2006-03-31 00:00:00+05:30,0.68,0.74,0.66,0.72,6819045
2006-04-03 00:00:00+05:30,0.72,0.73,0.72,0.72,1795125
2006-04-04 00:00:00+05:30,0.73,0.74,0.72,0.73,2085570
2006-04-05 00:00:00+05:30,0.7,0.75,0.7,0.73,1265990
2006-04-07 00:00:00+05:30,0.68,0.78,0.68,0.72,1829425
2006-04-10 00:00:00+05:30,0.7,0.73,0.69,0.71,769240
2006-04-12 00:00:00+05:30,0.66,0.78,0.66,0.71,7485535
2006-04-13 00:00:00+05:30,0.72,0.73,0.69,0.7,1433765
2006-04-17 00:00:00+05:30,0.75,0.75,0.69,0.69,1103840
2006-04-18 00:00:00+05:30,0.68,0.73,0.68,0.7,3465270
2006-04-19 00:00:00+05:30,0.74,0.74,0.65,0.66,2086830
2006-04-20 00:00:00+05:30,0.66,0.79,0.66,0.73,11003565
2006-04-21 00:00:00+05:30,0.66,0.77,0.66,0.72,4755050
2006-04-24 00:00:00+05:30,0.72,0.73,0.7,0.72,1488840
2006-04-25 00:00:00+05:30,0.71,0.71,0.65,0.69,1087595
2006-04-26 00:00:00+05:30,0.66,0.83,0.66,0.69,1134270
2006-04-27 00:00:00+05:30,0.71,0.71,0.68,0.69,994150
2006-04-28 00:00:00+05:30,0.65,0.71,0.6,0.67,930330
2006-05-02 00:00:00+05:30,0.71,0.74,0.67,0.69,3136100
2006-05-03 00:00:00+05:30,0.7,0.7,0.67,0.67,5506585
2006-05-04 00:00:00+05:30,0.68,0.7,0.68,0.68,1020910
2006-05-05 00:00:00+05:30,0.68,0.7,0.67,0.68,2016065
2006-05-08 00:00:00+05:30,0.69,0.7,0.68,0.69,1269660
2006-05-09 00:00:00+05:30,0.67,0.69,0.67,0.68,982280
2006-05-10 00:00:00+05:30,0.69,0.7,0.67,0.68,858860
2006-05-11 00:00:00+05:30,0.6,0.69,0.6,0.67,835475
2006-05-12 00:00:00+05:30,0.64,0.69,0.64,0.67,1298375
2006-05-15 00:00:00+05:30,0.67,0.69,0.66,0.68,2209595
2006-05-16 00:00:00+05:30,0.68,0.68,0.63,0.64,1468620
2006-05-17 00:00:00+05:30,0.62,0.69,0.62,0.66,357840
2006-05-18 00:00:00+05:30,0.65,0.68,0.59,0.6,1838830
2006-05-19 00:00:00+05:30,0.62,0.63,0.56,0.57,1120890
2006-05-22 00:00:00+05:30,0.58,0.61,0.46,0.51,2812615
2006-05-23 00:00:00+05:30,0.52,0.56,0.46,0.53,792675
2006-05-24 00:00:00+05:30,0.56,0.56,0.51,0.52,762250
2006-05-25 00:00:00+05:30,0.5,0.52,0.5,0.52,150780
2006-05-26 00:00:00+05:30,0.51,0.55,0.51,0.54,518375
2006-05-29 00:00:00+05:30,0.56,0.64,0.53,0.62,1685535
2006-05-30 00:00:00+05:30,0.65,0.66,0.61,0.61,2205370
2006-05-31 00:00:00+05:30,0.59,0.59,0.51,0.55,1041275
2006-06-01 00:00:00+05:30,0.54,0.59,0.54,0.54,364225
2006-06-02 00:00:00+05:30,0.51,0.53,0.5,0.51,423925
2006-06-05 00:00:00+05:30,0.52,0.52,0.5,0.51,320370
2006-06-06 00:00:00+05:30,0.5,0.5,0.48,0.48,410345
2006-06-07 00:00:00+05:30,0.49,0.49,0.42,0.42,646775
2006-06-08 00:00:00+05:30,0.42,0.43,0.35,0.36,1282685
2006-06-09 00:00:00+05:30,0.37,0.41,0.36,0.39,541660
2006-06-12 00:00:00+05:30,0.4,0.4,0.36,0.38,1038865
2006-06-13 00:00:00+05:30,0.36,0.39,0.33,0.35,2960930
2006-06-14 00:00:00+05:30,0.39,0.39,0.31,0.32,345365
2006-06-15 00:00:00+05:30,0.36,0.36,0.32,0.35,432070
2006-06-16 00:00:00+05:30,0.36,0.38,0.34,0.37,786190
2006-06-19 00:00:00+05:30,0.34,0.4,0.34,0.38,553530
2006-06-20 00:00:00+05:30,0.39,0.41,0.37,0.39,466525
2006-06-21 00:00:00+05:30,0.38,0.42,0.38,0.41,677705
2006-06-22 00:00:00+05:30,0.42,0.44,0.42,0.43,1175910
2006-06-23 00:00:00+05:30,0.43,0.44,0.41,0.43,396465
2006-06-26 00:00:00+05:30,0.4,0.46,0.4,0.43,668100
2006-06-27 00:00:00+05:30,0.41,0.41,0.39,0.4,323890
2006-06-28 00:00:00+05:30,0.38,0.41,0.38,0.39,198860
2006-06-29 00:00:00+05:30,0.38,0.47,0.38,0.38,685955
2006-06-30 00:00:00+05:30,0.39,0.41,0.39,0.4,405665
2006-07-03 00:00:00+05:30,0.46,0.46,0.39,0.4,169085
2006-07-04 00:00:00+05:30,0.44,0.44,0.4,0.4,150075
2006-07-05 00:00:00+05:30,0.41,0.41,0.39,0.39,218525
2006-07-06 00:00:00+05:30,0.39,0.4,0.38,0.39,203335
2006-07-07 00:00:00+05:30,0.38,0.4,0.38,0.39,231350
2006-07-10 00:00:00+05:30,0.38,0.39,0.38,0.38,176780
2006-07-11 00:00:00+05:30,0.38,0.39,0.37,0.37,620070
2006-07-12 00:00:00+05:30,0.37,0.38,0.36,0.37,358945
2006-07-13 00:00:00+05:30,0.36,0.38,0.36,0.37,387765
2006-07-14 00:00:00+05:30,0.36,0.37,0.36,0.36,226370
2006-07-17 00:00:00+05:30,0.36,0.38,0.36,0.37,371870
2006-07-18 00:00:00+05:30,0.37,0.38,0.36,0.36,125935
2006-07-19 00:00:00+05:30,0.42,0.42,0.34,0.35,683590
2006-07-20 00:00:00+05:30,0.38,0.39,0.34,0.35,289240
2006-07-21 00:00:00+05:30,0.34,0.35,0.34,0.34,199060
2006-07-24 00:00:00+05:30,0.33,0.34,0.33,0.33,168280
2006-07-25 00:00:00+05:30,0.32,0.35,0.32,0.34,188700
2006-07-26 00:00:00+05:30,0.34,0.34,0.32,0.33,136345
2006-07-27 00:00:00+05:30,0.36,0.36,0.33,0.34,224060
2006-07-28 00:00:00+05:30,0.34,0.35,0.33,0.34,236630
2006-07-31 00:00:00+05:30,0.33,0.35,0.33,0.33,699685
2006-08-01 00:00:00+05:30,0.34,0.34,0.32,0.32,168685
2006-08-02 00:00:00+05:30,0.33,0.33,0.32,0.33,272895
2006-08-03 00:00:00+05:30,0.35,0.35,0.33,0.34,498360
2006-08-04 00:00:00+05:30,0.34,0.34,0.33,0.33,133075
2006-08-07 00:00:00+05:30,0.33,0.34,0.32,0.33,240250
2006-08-08 00:00:00+05:30,0.34,0.35,0.33,0.34,243070
2006-08-09 00:00:00+05:30,0.34,0.34,0.33,0.33,168685
2006-08-10 00:00:00+05:30,0.34,0.34,0.34,0.34,172005
2006-08-11 00:00:00+05:30,0.34,0.41,0.34,0.38,1543455
2006-08-14 00:00:00+05:30,0.37,0.46,0.36,0.42,4359740
2006-08-16 00:00:00+05:30,0.47,0.47,0.42,0.45,2760005
2006-08-17 00:00:00+05:30,0.45,0.45,0.41,0.42,1094640
2006-08-18 00:00:00+05:30,0.42,0.42,0.4,0.41,504445
2006-08-21 00:00:00+05:30,0.4,0.45,0.4,0.44,1523140
2006-08-22 00:00:00+05:30,0.44,0.45,0.43,0.44,914335
2006-08-23 00:00:00+05:30,0.41,0.43,0.41,0.42,575410
2006-08-24 00:00:00+05:30,0.4,0.43,0.4,0.41,449525
2006-08-25 00:00:00+05:30,0.4,0.44,0.4,0.42,450175
2006-08-28 00:00:00+05:30,0.43,0.45,0.43,0.43,637420
2006-08-29 00:00:00+05:30,0.43,0.44,0.42,0.42,144190
2006-08-30 00:00:00+05:30,0.42,0.42,0.41,0.41,308400
2006-08-31 00:00:00+05:30,0.4,0.42,0.4,0.42,301310
2006-09-01 00:00:00+05:30,0.4,0.44,0.4,0.43,874050
2006-09-04 00:00:00+05:30,0.46,0.46,0.42,0.43,249355
2006-09-05 00:00:00+05:30,0.42,0.43,0.42,0.42,279380
2006-09-06 00:00:00+05:30,0.43,0.43,0.42,0.42,295525
2006-09-07 00:00:00+05:30,0.4,0.43,0.4,0.43,730465
2006-09-08 00:00:00+05:30,0.43,0.43,0.42,0.42,385650
2006-09-11 00:00:00+05:30,0.42,0.47,0.41,0.44,4901605
2006-09-12 00:00:00+05:30,0.46,0.47,0.41,0.43,1877960
2006-09-13 00:00:00+05:30,0.42,0.46,0.42,0.44,2689395
2006-09-14 00:00:00+05:30,0.44,0.45,0.43,0.43,767480
2006-09-15 00:00:00+05:30,0.43,0.44,0.42,0.42,1879520
2006-09-18 00:00:00+05:30,0.43,0.45,0.42,0.42,556145
2006-09-19 00:00:00+05:30,0.42,0.44,0.41,0.41,360855
2006-09-20 00:00:00+05:30,0.42,0.42,0.4,0.41,341090
2006-09-21 00:00:00+05:30,0.38,0.43,0.38,0.41,994805
2006-09-22 00:00:00+05:30,0.4,0.43,0.4,0.41,767630
2006-09-25 00:00:00+05:30,0.38,0.42,0.38,0.41,1057875
2006-09-26 00:00:00+05:30,0.41,0.41,0.4,0.4,349290
2006-09-27 00:00:00+05:30,0.4,0.41,0.39,0.39,320720
2006-09-28 00:00:00+05:30,0.41,0.41,0.38,0.4,602265
2006-09-29 00:00:00+05:30,0.36,0.41,0.36,0.4,589140
2006-10-03 00:00:00+05:30,0.43,0.48,0.43,0.48,13834030
2006-10-04 00:00:00+05:30,0.49,0.49,0.46,0.46,4795635
2006-10-05 00:00:00+05:30,0.47,0.47,0.45,0.46,973280
2006-10-06 00:00:00+05:30,0.43,0.48,0.43,0.45,628770
2006-10-09 00:00:00+05:30,0.4,0.5,0.4,0.45,407880
2006-10-10 00:00:00+05:30,0.54,0.54,0.42,0.45,900405
2006-10-11 00:00:00+05:30,0.51,0.51,0.44,0.45,1313715
2006-10-12 00:00:00+05:30,0.46,0.46,0.44,0.45,463705
2006-10-13 00:00:00+05:30,0.53,0.53,0.44,0.45,643455
2006-10-16 00:00:00+05:30,0.48,0.48,0.44,0.44,650695
2006-10-17 00:00:00+05:30,0.52,0.52,0.41,0.42,1016530
2006-10-18 00:00:00+05:30,0.5,0.5,0.41,0.41,1405605
2006-10-19 00:00:00+05:30,0.49,0.49,0.42,0.43,497200
2006-10-20 00:00:00+05:30,0.43,0.45,0.42,0.42,496900
2006-10-23 00:00:00+05:30,0.42,0.45,0.42,0.43,265750
2006-10-26 00:00:00+05:30,0.43,0.43,0.42,0.43,427495
2006-10-27 00:00:00+05:30,0.43,0.43,0.39,0.4,1441360
2006-10-30 00:00:00+05:30,0.42,0.42,0.4,0.41,699985
2006-10-31 00:00:00+05:30,0.49,0.49,0.39,0.4,1563925
2006-11-01 00:00:00+05:30,0.4,0.43,0.38,0.4,510880
2006-11-02 00:00:00+05:30,0.38,0.41,0.38,0.4,440070
2006-11-03 00:00:00+05:30,0.38,0.41,0.38,0.39,497505
2006-11-06 00:00:00+05:30,0.38,0.4,0.38,0.39,410045
2006-11-07 00:00:00+05:30,0.41,0.46,0.39,0.39,933245
2006-11-08 00:00:00+05:30,0.4,0.41,0.37,0.38,1283240
2006-11-09 00:00:00+05:30,0.38,0.4,0.38,0.39,580840
2006-11-10 00:00:00+05:30,0.39,0.4,0.39,0.39,260770
2006-11-13 00:00:00+05:30,0.39,0.4,0.39,0.39,660655
2006-11-14 00:00:00+05:30,0.39,0.4,0.38,0.39,295225
2006-11-15 00:00:00+05:30,0.41,0.41,0.38,0.38,199665
2006-11-16 00:00:00+05:30,0.41,0.41,0.38,0.38,418390
2006-11-17 00:00:00+05:30,0.38,0.38,0.36,0.36,388620
2006-11-20 00:00:00+05:30,0.38,0.38,0.36,0.36,335305
2006-11-21 00:00:00+05:30,0.4,0.4,0.37,0.37,511185
2006-11-22 00:00:00+05:30,0.38,0.39,0.37,0.37,158275
2006-11-23 00:00:00+05:30,0.38,0.38,0.37,0.37,136345
2006-11-24 00:00:00+05:30,0.38,0.38,0.36,0.36,731870
2006-11-27 00:00:00+05:30,0.38,0.43,0.36,0.43,7022030
2006-11-28 00:00:00+05:30,0.42,0.44,0.4,0.41,1299835
2006-11-29 00:00:00+05:30,0.42,0.45,0.41,0.41,1943795
2006-11-30 00:00:00+05:30,0.43,0.43,0.41,0.41,1398815
2006-12-01 00:00:00+05:30,0.41,0.41,0.4,0.4,554385
2006-12-04 00:00:00+05:30,0.41,0.41,0.39,0.4,465870
2006-12-05 00:00:00+05:30,0.39,0.41,0.39,0.4,1153835
2006-12-06 00:00:00+05:30,0.41,0.41,0.39,0.39,278225
2006-12-07 00:00:00+05:30,0.4,0.4,0.39,0.39,174770
2006-12-08 00:00:00+05:30,0.4,0.4,0.38,0.38,190815
2006-12-11 00:00:00+05:30,0.38,0.4,0.35,0.37,413715
2006-12-12 00:00:00+05:30,0.36,0.38,0.34,0.35,712660
2006-12-13 00:00:00+05:30,0.34,0.36,0.34,0.36,537285
2006-12-14 00:00:00+05:30,0.37,0.38,0.36,0.36,457170
2006-12-15 00:00:00+05:30,0.38,0.38,0.36,0.37,245935
2006-12-18 00:00:00+05:30,0.37,0.37,0.36,0.36,207965
2006-12-19 00:00:00+05:30,0.37,0.39,0.36,0.37,479400
2006-12-20 00:00:00+05:30,0.37,0.37,0.36,0.36,137450
2006-12-21 00:00:00+05:30,0.36,0.37,0.36,0.36,129505
2006-12-22 00:00:00+05:30,0.36,0.42,0.36,0.38,1125470
2006-12-26 00:00:00+05:30,0.4,0.4,0.35,0.36,1571770
2006-12-27 00:00:00+05:30,0.37,0.38,0.35,0.36,2069930
2006-12-28 00:00:00+05:30,0.37,0.37,0.36,0.36,518025
2006-12-29 00:00:00+05:30,0.36,0.37,0.35,0.36,623340
2007-01-02 00:00:00+05:30,0.36,0.37,0.35,0.36,1214990
2007-01-03 00:00:00+05:30,0.36,0.37,0.36,0.37,430915
2007-01-04 00:00:00+05:30,0.37,0.44,0.37,0.44,9202855
2007-01-05 00:00:00+05:30,0.49,0.5,0.44,0.44,9264465
2007-01-08 00:00:00+05:30,0.45,0.45,0.43,0.43,1858645
2007-01-09 00:00:00+05:30,0.43,0.45,0.41,0.42,1202970
2007-01-10 00:00:00+05:30,0.42,0.43,0.41,0.42,1458010
2007-01-11 00:00:00+05:30,0.41,0.44,0.41,0.42,813095
2007-01-12 00:00:00+05:30,0.43,0.44,0.4,0.42,573245
2007-01-15 00:00:00+05:30,0.43,0.45,0.42,0.43,727195
2007-01-16 00:00:00+05:30,0.43,0.44,0.42,0.42,547845
2007-01-17 00:00:00+05:30,0.43,0.44,0.42,0.43,880840
2007-01-18 00:00:00+05:30,0.42,0.45,0.42,0.44,1108320
2007-01-19 00:00:00+05:30,0.44,0.44,0.42,0.43,383590
2007-01-22 00:00:00+05:30,0.44,0.44,0.42,0.43,1198995
2007-01-23 00:00:00+05:30,0.42,0.43,0.41,0.42,475675
2007-01-24 00:00:00+05:30,0.41,0.43,0.41,0.41,222245
2007-01-25 00:00:00+05:30,0.43,0.43,0.41,0.42,475275
2007-01-29 00:00:00+05:30,0.48,0.5,0.43,0.47,8469830
2007-01-31 00:00:00+05:30,0.48,0.49,0.44,0.45,4091025
2007-02-01 00:00:00+05:30,0.46,0.48,0.44,0.46,2029745
2007-02-02 00:00:00+05:30,0.46,0.47,0.44,0.44,1515140
2007-02-05 00:00:00+05:30,0.45,0.46,0.44,0.45,1203675
2007-02-06 00:00:00+05:30,0.45,0.46,0.44,0.44,589945
2007-02-07 00:00:00+05:30,0.44,0.45,0.43,0.44,704865
2007-02-08 00:00:00+05:30,0.42,0.45,0.42,0.43,295825
2007-02-09 00:00:00+05:30,0.43,0.44,0.41,0.42,625905
2007-02-12 00:00:00+05:30,0.4,0.4,0.37,0.39,708585
