date,open,high,low,close,volume
2023-09-07 00:00:00+05:30,90.45,91.65,87.4,88.7,571554
2023-09-08 00:00:00+05:30,87.25,90.0,85.65,86.45,261648
2023-09-11 00:00:00+05:30,86.95,87.7,85.7,87.25,532620
2023-09-12 00:00:00+05:30,87.75,87.8,80.0,82.35,505800
2023-09-13 00:00:00+05:30,82.65,84.25,80.05,82.5,326574
2023-09-14 00:00:00+05:30,83.05,89.5,83.05,87.05,952812
2023-09-15 00:00:00+05:30,88.2,92.2,86.1,89.8,838908
2023-09-18 00:00:00+05:30,90.0,92.1,87.5,89.0,800334
2023-09-20 00:00:00+05:30,87.8,90.35,86.95,88.05,256932
2023-09-21 00:00:00+05:30,87.5,88.6,85.65,85.9,202446
2023-09-22 00:00:00+05:30,85.55,86.9,83.7,85.05,251640
2023-09-25 00:00:00+05:30,85.05,85.55,82.3,82.85,305478
2023-09-26 00:00:00+05:30,82.8,82.9,80.05,80.45,450918
2023-09-27 00:00:00+05:30,80.45,82.65,79.4,82.35,477144
2023-09-28 00:00:00+05:30,82.8,85.25,82.05,83.75,285354
2023-09-29 00:00:00+05:30,84.2,85.15,83.3,83.9,236214
2023-10-03 00:00:00+05:30,82.85,85.55,82.85,84.45,234558
2023-10-04 00:00:00+05:30,85.0,85.55,81.45,82.3,252522
2023-10-05 00:00:00+05:30,83.3,85.2,81.95,83.5,301680
2023-10-06 00:00:00+05:30,84.15,84.8,82.45,84.15,176256
2023-10-09 00:00:00+05:30,81.15,87.75,81.15,85.7,782928
2023-10-10 00:00:00+05:30,87.2,90.3,86.75,88.2,938538
2023-10-11 00:00:00+05:30,88.6,95.35,87.75,94.4,3890358
2023-10-12 00:00:00+05:30,95.8,98.3,92.5,94.05,2329452
2023-10-13 00:00:00+05:30,94.0,95.8,92.7,93.35,636372
2023-10-16 00:00:00+05:30,94.1,94.7,91.65,92.05,358020
2023-10-17 00:00:00+05:30,93.3,94.45,90.55,91.05,473472
2023-10-18 00:00:00+05:30,91.35,93.15,90.1,91.45,333450
2023-10-19 00:00:00+05:30,90.55,93.05,90.35,91.55,353808
2023-10-20 00:00:00+05:30,91.1,93.0,89.3,89.65,413622
2023-10-23 00:00:00+05:30,90.85,92.45,83.3,83.8,1139742
