date,open,high,low,close,volume
2025-06-04 09:15:00+05:30,140.0,147.0,135.1,144.6,2549230
2025-06-04 10:15:00+05:30,144.5,147.0,144.5,147.0,728303
2025-06-04 11:15:00+05:30,147.0,147.0,147.0,147.0,91788
2025-06-04 12:15:00+05:30,147.0,147.0,147.0,147.0,35360
2025-06-04 13:15:00+05:30,147.0,147.0,147.0,147.0,24190
2025-06-04 14:15:00+05:30,147.0,147.0,147.0,147.0,27338
2025-06-04 15:15:00+05:30,147.0,147.0,147.0,147.0,6735
2025-06-05 09:15:00+05:30,145.02,154.2,145.0,149.5,1346123
2025-06-05 10:15:00+05:30,149.5,152.0,148.0,151.51,486298
2025-06-05 11:15:00+05:30,151.51,154.35,151.0,154.35,519673
2025-06-05 12:15:00+05:30,154.35,154.35,154.35,154.35,46670
2025-06-05 13:15:00+05:30,154.35,154.35,154.35,154.35,29823
2025-06-05 14:15:00+05:30,154.35,154.35,154.35,154.35,30600
2025-06-05 15:15:00+05:30,154.35,154.35,154.35,154.35,9693
2025-06-06 09:15:00+05:30,155.5,160.5,155.0,156.05,648872
2025-06-06 10:15:00+05:30,156.05,158.0,155.55,155.55,84063
2025-06-06 11:15:00+05:30,155.55,156.0,152.55,152.8,197794
2025-06-06 12:15:00+05:30,152.8,156.0,152.8,154.35,86100
2025-06-06 13:15:00+05:30,154.35,155.0,153.05,153.26,108187
2025-06-06 14:15:00+05:30,153.26,154.5,153.05,153.11,46060
2025-06-06 15:15:00+05:30,153.11,153.5,153.0,153.05,59278
2025-06-09 09:15:00+05:30,153.13,155.0,147.0,151.0,181490
2025-06-09 10:15:00+05:30,151.0,152.0,150.02,150.02,64014
2025-06-09 11:15:00+05:30,150.02,152.0,148.15,152.0,122440
2025-06-09 12:15:00+05:30,152.0,160.78,152.0,160.78,723617
2025-06-09 13:15:00+05:30,160.78,160.78,160.78,160.78,42308
2025-06-09 14:15:00+05:30,160.78,160.78,160.78,160.78,16278
2025-06-09 15:15:00+05:30,160.78,160.78,160.78,160.78,3435
2025-06-10 09:15:00+05:30,164.95,168.81,161.0,168.81,942125
2025-06-10 10:15:00+05:30,168.81,168.81,168.81,168.81,15984
2025-06-10 11:15:00+05:30,168.81,168.81,168.81,168.81,53611
2025-06-10 12:15:00+05:30,168.81,168.81,168.81,168.81,6841
2025-06-10 13:15:00+05:30,168.81,168.81,168.81,168.81,2735
2025-06-10 14:15:00+05:30,168.81,168.81,168.81,168.81,2482
2025-06-10 15:15:00+05:30,168.81,168.81,168.81,168.81,2015
