date,open,high,low,close,volume
2023-07-14 00:00:00+05:30,215.0,222.0,200.6,202.65,30232142
2023-07-17 00:00:00+05:30,203.0,206.25,192.5,200.3,5901876
2023-07-18 00:00:00+05:30,199.0,203.3,193.5,195.15,2018980
2023-07-19 00:00:00+05:30,196.0,197.45,192.2,192.6,1124340
2023-07-20 00:00:00+05:30,191.5,192.5,180.7,182.1,2141732
2023-07-21 00:00:00+05:30,181.0,190.9,179.2,187.5,2807828
2023-07-24 00:00:00+05:30,187.65,191.0,182.5,185.75,1969514
2023-07-25 00:00:00+05:30,187.4,189.65,185.0,188.8,1014816
2023-07-26 00:00:00+05:30,189.5,195.95,189.2,191.7,1702416
2023-07-27 00:00:00+05:30,192.25,193.5,190.25,192.3,571040
2023-07-28 00:00:00+05:30,192.3,209.0,192.0,207.0,4297024
2023-07-31 00:00:00+05:30,209.2,213.0,206.5,207.6,2198476
2023-08-01 00:00:00+05:30,208.0,209.9,202.5,203.4,1029376
2023-08-02 00:00:00+05:30,202.45,204.2,193.9,195.55,1491660
2023-08-03 00:00:00+05:30,198.4,198.4,192.1,193.5,700610
2023-08-04 00:00:00+05:30,195.35,199.8,195.0,197.0,536828
2023-08-07 00:00:00+05:30,198.85,201.5,195.75,197.0,393822
2023-08-08 00:00:00+05:30,198.0,198.9,194.3,196.5,527138
2023-08-09 00:00:00+05:30,196.2,203.4,193.9,200.3,772356
2023-08-10 00:00:00+05:30,199.2,207.85,193.0,194.85,1699122
2023-08-11 00:00:00+05:30,195.95,201.6,194.05,198.6,1082594
2023-08-14 00:00:00+05:30,199.95,205.2,195.6,203.0,950398
2023-08-16 00:00:00+05:30,204.9,206.7,198.0,199.0,1099960
2023-08-17 00:00:00+05:30,201.5,204.0,198.1,202.75,844184
2023-08-18 00:00:00+05:30,205.0,212.1,202.75,203.5,2019334
2023-08-21 00:00:00+05:30,207.5,209.85,200.55,206.1,1337782
2023-08-22 00:00:00+05:30,206.5,209.35,205.1,206.7,798986
2023-08-23 00:00:00+05:30,208.25,216.15,206.2,209.2,2165990
2023-08-24 00:00:00+05:30,210.4,213.5,209.5,211.3,855058
2023-08-25 00:00:00+05:30,210.3,211.4,205.6,207.6,799932
2023-08-28 00:00:00+05:30,209.9,211.8,205.55,206.8,465914
2023-08-29 00:00:00+05:30,208.95,209.2,201.75,202.3,538590
2023-08-30 00:00:00+05:30,204.2,205.1,200.0,202.8,458644
2023-08-31 00:00:00+05:30,204.0,207.2,200.0,203.55,729542
2023-09-01 00:00:00+05:30,204.5,206.25,202.15,204.05,386904
2023-09-04 00:00:00+05:30,205.0,206.2,201.5,202.2,467514
2023-09-05 00:00:00+05:30,204.0,204.0,194.5,195.0,1266874
2023-09-06 00:00:00+05:30,197.0,202.35,196.0,199.3,924210
2023-09-07 00:00:00+05:30,199.0,201.0,197.0,198.1,419564
2023-09-08 00:00:00+05:30,199.0,202.5,198.5,201.0,755702
2023-09-11 00:00:00+05:30,200.5,202.3,198.1,199.0,477950
2023-09-12 00:00:00+05:30,199.0,200.7,190.0,197.5,870536
2023-09-13 00:00:00+05:30,198.25,204.0,195.15,200.65,820232
2023-09-14 00:00:00+05:30,202.45,210.0,200.95,208.3,1205278
2023-09-15 00:00:00+05:30,209.5,244.5,209.45,239.4,13090612
2023-09-18 00:00:00+05:30,235.9,240.85,230.6,236.7,2807750
2023-09-20 00:00:00+05:30,235.8,247.35,232.15,234.3,1680600
2023-09-21 00:00:00+05:30,234.0,254.5,233.9,243.95,4175046
2023-09-22 00:00:00+05:30,244.25,253.2,240.0,249.9,1740832
2023-09-25 00:00:00+05:30,256.2,267.5,256.0,262.3,3278960
2023-09-26 00:00:00+05:30,265.0,269.8,260.0,266.3,1420666
2023-09-27 00:00:00+05:30,266.5,313.2,265.4,304.3,10037758
2023-09-28 00:00:00+05:30,307.0,337.0,306.9,314.25,11233364
2023-09-29 00:00:00+05:30,317.05,317.3,298.75,308.3,1944170
2023-10-03 00:00:00+05:30,305.5,328.9,301.0,321.1,1875140
2023-10-04 00:00:00+05:30,322.0,337.45,315.0,327.2,1916578
2023-10-05 00:00:00+05:30,330.0,333.4,315.5,319.0,990480
2023-10-06 00:00:00+05:30,319.0,325.85,319.0,322.3,543102
2023-10-09 00:00:00+05:30,320.4,322.3,300.6,304.0,921048
2023-10-10 00:00:00+05:30,307.5,320.5,306.1,308.05,1232144
2023-10-11 00:00:00+05:30,311.35,330.0,310.0,325.4,1520222
2023-10-12 00:00:00+05:30,326.5,343.0,324.45,328.35,2065152
2023-10-13 00:00:00+05:30,328.75,334.2,319.55,325.35,721012
2023-10-16 00:00:00+05:30,326.5,333.5,319.55,330.7,948668
2023-10-17 00:00:00+05:30,335.0,347.9,331.35,334.5,1305690
2023-10-18 00:00:00+05:30,336.8,341.5,332.6,339.9,604984
2023-10-19 00:00:00+05:30,341.7,345.0,335.0,343.4,583326
2023-10-20 00:00:00+05:30,343.2,362.0,342.5,348.65,1009454
2023-10-23 00:00:00+05:30,349.8,355.1,313.8,317.45,1502256
2023-10-25 00:00:00+05:30,321.5,327.0,305.0,309.1,687358
2023-10-26 00:00:00+05:30,310.4,312.5,291.0,307.0,762822
2023-10-27 00:00:00+05:30,310.05,322.5,310.05,312.9,417956
2023-10-30 00:00:00+05:30,315.15,333.0,315.0,330.5,525452
2023-10-31 00:00:00+05:30,336.5,339.0,330.0,336.6,497996
