date,open,high,low,close,volume
2025-08-01 00:00:00+05:30,227.55,238.36,227.1,229.38,22998671
2025-08-04 00:00:00+05:30,231.0,236.4,219.75,227.23,3650366
2025-08-05 00:00:00+05:30,228.75,231.3,224.18,225.6,1521158
2025-08-06 00:00:00+05:30,224.31,226.6,217.08,222.03,1421700
2025-08-07 00:00:00+05:30,222.5,233.9,219.26,225.86,1966493
2025-08-08 00:00:00+05:30,228.0,252.5,225.25,239.89,7959080
2025-08-11 00:00:00+05:30,241.0,255.39,240.99,245.8,4479567
2025-08-12 00:00:00+05:30,249.0,256.95,244.01,247.29,3881583
2025-08-13 00:00:00+05:30,249.04,250.03,241.0,244.95,1870444
2025-08-14 00:00:00+05:30,245.0,250.0,243.0,247.51,1141885
2025-08-18 00:00:00+05:30,251.0,258.43,245.4,250.97,2672656
2025-08-19 00:00:00+05:30,251.0,254.8,248.0,253.0,1132284
2025-08-20 00:00:00+05:30,253.9,259.14,245.02,247.18,3137990
2025-08-21 00:00:00+05:30,257.0,274.1,246.02,250.35,15967251
2025-08-22 00:00:00+05:30,252.0,254.0,245.21,246.22,1406627
2025-08-25 00:00:00+05:30,246.47,247.0,227.0,229.46,2084895
2025-08-26 00:00:00+05:30,229.46,234.77,225.61,228.66,1622001
2025-08-28 00:00:00+05:30,227.51,229.0,219.12,222.71,859849
2025-08-29 00:00:00+05:30,218.0,225.6,215.69,219.72,1335770
2025-09-01 00:00:00+05:30,219.72,225.99,219.5,224.84,787473
2025-09-02 00:00:00+05:30,228.0,233.9,224.25,231.7,1406863
2025-09-03 00:00:00+05:30,231.7,244.78,231.7,236.23,1630836
2025-09-04 00:00:00+05:30,238.0,240.46,231.15,233.1,508962
2025-09-05 00:00:00+05:30,231.0,234.28,227.2,230.53,522806
2025-09-08 00:00:00+05:30,231.8,234.4,228.14,231.86,325146
2025-09-09 00:00:00+05:30,232.0,232.0,224.5,225.48,388822
2025-09-10 00:00:00+05:30,226.6,229.32,222.58,225.88,566677
2025-09-11 00:00:00+05:30,226.8,228.01,223.0,224.56,381653
2025-09-12 00:00:00+05:30,225.9,228.0,222.24,223.61,359976
2025-09-15 00:00:00+05:30,223.61,224.5,218.83,219.55,308136
2025-09-16 00:00:00+05:30,220.64,224.39,220.0,221.35,357432
2025-09-17 00:00:00+05:30,222.0,223.51,219.71,220.23,327186
2025-09-18 00:00:00+05:30,220.5,223.0,219.0,220.86,360057
2025-09-19 00:00:00+05:30,221.3,223.9,218.56,222.6,301480
2025-09-22 00:00:00+05:30,222.6,228.45,221.8,224.22,504449
2025-09-23 00:00:00+05:30,225.1,227.0,222.1,223.63,303519
2025-09-24 00:00:00+05:30,223.6,225.4,220.82,223.14,238708
2025-09-25 00:00:00+05:30,223.13,228.0,213.0,214.41,678872
2025-09-26 00:00:00+05:30,215.01,222.4,200.02,218.33,1846634
2025-09-29 00:00:00+05:30,219.18,219.63,207.1,208.78,460609
2025-09-30 00:00:00+05:30,209.99,216.5,204.2,213.89,401754
2025-10-01 00:00:00+05:30,213.97,214.1,208.59,210.67,201081
2025-10-03 00:00:00+05:30,214.9,216.99,210.45,213.5,302953
2025-10-06 00:00:00+05:30,211.0,215.01,207.5,208.63,241452
2025-10-07 00:00:00+05:30,208.95,208.95,204.25,206.86,287060
2025-10-08 00:00:00+05:30,207.3,211.5,205.2,209.85,328963
2025-10-09 00:00:00+05:30,213.4,218.0,206.25,208.72,710641
2025-10-10 00:00:00+05:30,209.05,231.89,209.0,214.13,3378550
2025-10-13 00:00:00+05:30,215.0,221.5,211.25,215.45,764171
2025-10-14 00:00:00+05:30,215.85,220.01,212.0,213.07,330138
2025-10-15 00:00:00+05:30,214.4,215.0,210.0,210.65,221185
2025-10-16 00:00:00+05:30,210.1,216.25,209.88,211.37,314106
2025-10-17 00:00:00+05:30,211.9,212.1,195.42,205.0,1229577
2025-10-20 00:00:00+05:30,207.99,208.99,201.38,205.31,334818
2025-10-21 00:00:00+05:30,206.5,207.99,205.32,206.7,91636
2025-10-23 00:00:00+05:30,207.0,207.7,201.2,201.73,321975
2025-10-24 00:00:00+05:30,202.05,205.09,197.52,199.62,341064
2025-10-27 00:00:00+05:30,199.8,213.88,199.79,212.39,1380900
2025-10-28 00:00:00+05:30,210.5,214.2,207.31,211.77,684153
2025-10-29 00:00:00+05:30,212.0,217.45,208.11,213.67,812843
2025-10-30 00:00:00+05:30,218.5,230.55,217.78,228.54,2486029
2025-10-31 00:00:00+05:30,231.8,243.85,230.08,238.19,3555133
2025-11-03 00:00:00+05:30,244.75,246.9,237.24,245.6,1843441
2025-11-04 00:00:00+05:30,246.0,247.29,235.01,241.57,1779007
2025-11-06 00:00:00+05:30,248.8,249.0,226.1,234.67,4569425
2025-11-07 00:00:00+05:30,234.5,239.99,229.02,232.82,1159531
2025-11-10 00:00:00+05:30,233.5,234.86,225.11,227.45,753980
2025-11-11 00:00:00+05:30,227.6,231.5,222.0,230.08,859898
2025-11-12 00:00:00+05:30,230.5,233.0,227.33,228.66,377358
2025-11-13 00:00:00+05:30,228.7,235.79,226.9,228.03,739017
2025-11-14 00:00:00+05:30,228.03,229.6,225.3,227.62,330249
2025-11-17 00:00:00+05:30,228.3,232.5,226.0,227.07,462721
2025-11-18 00:00:00+05:30,227.7,230.0,225.61,228.9,468380
2025-11-19 00:00:00+05:30,228.6,228.6,225.4,226.5,135583
