date,open,high,low,close,volume
2015-09-03 00:00:00+05:30,99.9,103.0,92.0,95.5,58090
2015-09-04 00:00:00+05:30,94.5,94.5,90.0,92.5,26730
2015-09-07 00:00:00+05:30,92.5,92.5,89.0,89.0,25710
2015-09-09 00:00:00+05:30,78.0,91.0,78.0,87.3,1700
2015-09-10 00:00:00+05:30,82.0,89.9,82.0,83.0,380
2015-09-11 00:00:00+05:30,89.8,89.8,82.5,83.0,320
2015-09-14 00:00:00+05:30,89.9,92.0,83.5,83.5,1470
2015-09-15 00:00:00+05:30,88.4,91.5,88.4,91.5,130
2015-09-21 00:00:00+05:30,90.8,97.5,89.1,90.2,1410
2015-09-22 00:00:00+05:30,89.1,90.0,87.5,87.5,2150
2015-09-23 00:00:00+05:30,95.5,95.5,95.5,95.5,10
2015-09-28 00:00:00+05:30,95.0,95.0,95.0,95.0,10
2015-09-29 00:00:00+05:30,90.0,90.0,86.1,86.2,145230
2015-09-30 00:00:00+05:30,90.5,90.6,86.2,90.5,3430
2015-10-01 00:00:00+05:30,89.8,91.0,89.8,90.0,400
2015-10-05 00:00:00+05:30,92.1,92.1,90.5,90.5,30
2015-10-06 00:00:00+05:30,90.3,91.9,89.9,89.9,550
2015-10-07 00:00:00+05:30,90.0,91.9,89.1,89.1,1220
2015-10-08 00:00:00+05:30,88.0,88.0,87.1,87.2,3900
2015-10-09 00:00:00+05:30,90.0,90.0,90.0,90.0,100
2015-10-12 00:00:00+05:30,105.0,105.0,85.8,85.8,370
2015-10-13 00:00:00+05:30,87.5,87.5,87.5,87.5,20
2015-10-14 00:00:00+05:30,95.0,95.0,86.4,86.4,150
2015-10-15 00:00:00+05:30,85.5,93.6,85.5,86.0,330
2015-10-16 00:00:00+05:30,86.0,89.5,85.0,88.6,290
2015-10-19 00:00:00+05:30,89.5,89.9,88.7,88.8,300
2015-10-20 00:00:00+05:30,84.6,87.2,75.6,83.0,17470
2015-10-21 00:00:00+05:30,81.0,85.8,81.0,82.8,610
2015-10-23 00:00:00+05:30,86.5,86.5,78.9,85.6,1040
2015-10-26 00:00:00+05:30,85.0,85.5,84.0,84.0,1780
2015-10-27 00:00:00+05:30,84.0,85.0,82.6,85.0,2060
2015-10-28 00:00:00+05:30,85.0,85.0,84.0,84.0,530
2015-10-29 00:00:00+05:30,85.0,85.0,85.0,85.0,1450
2015-10-30 00:00:00+05:30,80.7,84.5,80.7,81.4,390
2015-11-03 00:00:00+05:30,84.8,84.8,84.6,84.6,110
2015-11-04 00:00:00+05:30,85.0,94.0,82.5,89.9,20860
2015-11-05 00:00:00+05:30,89.9,95.0,89.9,94.4,6270
2015-11-06 00:00:00+05:30,91.2,96.5,89.5,89.8,7680
2015-11-09 00:00:00+05:30,83.6,90.0,83.6,89.9,1620
2015-11-10 00:00:00+05:30,92.0,92.0,89.5,90.5,2290
2015-11-11 00:00:00+05:30,93.9,94.0,90.5,91.0,1060
2015-11-13 00:00:00+05:30,91.5,93.0,86.6,87.1,670
2015-11-16 00:00:00+05:30,92.5,94.0,86.5,92.3,4870
2015-11-17 00:00:00+05:30,88.5,94.0,88.5,91.0,1010
2015-11-19 00:00:00+05:30,92.5,92.5,88.0,89.5,1660
2015-11-20 00:00:00+05:30,94.0,97.0,91.0,96.5,2300
2015-11-23 00:00:00+05:30,96.5,104.7,93.5,102.4,10060
2015-11-24 00:00:00+05:30,108.9,108.9,99.3,101.5,7440
2015-11-26 00:00:00+05:30,103.9,105.0,102.0,103.1,3870
2015-11-27 00:00:00+05:30,103.0,103.0,99.0,99.4,1430
2015-11-30 00:00:00+05:30,100.0,102.0,88.2,100.1,30110
2015-12-01 00:00:00+05:30,102.0,103.7,96.5,98.1,6610
2015-12-02 00:00:00+05:30,96.5,98.6,95.0,95.6,6460
2015-12-03 00:00:00+05:30,97.0,98.8,91.4,93.7,18270
2015-12-04 00:00:00+05:30,106.8,109.4,102.0,103.8,178340
2015-12-07 00:00:00+05:30,103.7,104.8,101.0,101.9,23450
2015-12-08 00:00:00+05:30,105.0,105.0,97.8,98.5,13200
2015-12-09 00:00:00+05:30,100.0,100.0,93.0,93.4,9960
2015-12-10 00:00:00+05:30,92.6,94.5,92.0,93.8,26580
2015-12-11 00:00:00+05:30,94.0,94.4,93.0,93.0,23500
2015-12-14 00:00:00+05:30,97.0,97.0,91.0,93.3,27440
2015-12-15 00:00:00+05:30,93.0,95.1,92.0,93.8,23620
2015-12-16 00:00:00+05:30,93.5,94.0,92.5,92.6,23090
2015-12-17 00:00:00+05:30,92.5,94.4,92.5,93.1,25170
2015-12-18 00:00:00+05:30,93.0,94.9,93.0,93.6,21410
2015-12-21 00:00:00+05:30,93.6,98.5,92.6,98.4,24670
2015-12-22 00:00:00+05:30,98.2,100.0,97.5,98.4,25940
2015-12-23 00:00:00+05:30,98.4,99.9,98.2,98.6,26990
2015-12-24 00:00:00+05:30,98.5,98.6,96.0,96.0,23740
2015-12-28 00:00:00+05:30,96.5,99.5,96.2,98.2,22130
2015-12-29 00:00:00+05:30,98.1,102.0,96.5,99.0,22470
2015-12-30 00:00:00+05:30,99.1,100.1,99.0,99.0,22620
2015-12-31 00:00:00+05:30,100.0,100.2,98.1,99.0,22400
2016-01-01 00:00:00+05:30,99.2,101.9,97.7,99.6,21880
2016-01-04 00:00:00+05:30,103.0,103.0,98.5,100.0,28900
2016-01-05 00:00:00+05:30,100.0,100.1,99.0,99.5,23950
2016-01-06 00:00:00+05:30,99.6,101.9,97.6,98.9,25920
2016-01-07 00:00:00+05:30,98.9,99.0,97.0,97.2,22840
2016-01-08 00:00:00+05:30,97.2,99.5,97.0,99.2,24690
2016-01-11 00:00:00+05:30,99.2,99.5,96.5,96.5,20870
2016-01-12 00:00:00+05:30,97.0,98.2,92.0,97.2,21890
2016-01-13 00:00:00+05:30,97.6,98.5,91.3,94.0,24890
2016-01-14 00:00:00+05:30,91.5,93.6,89.1,89.6,27730
2016-01-15 00:00:00+05:30,90.5,93.5,87.5,88.0,24570
2016-01-18 00:00:00+05:30,86.0,86.6,80.0,81.9,27550
2016-01-19 00:00:00+05:30,82.5,83.9,81.1,83.0,21960
2016-01-20 00:00:00+05:30,83.0,83.1,80.2,82.9,21250
