date,open,high,low,close,volume
2021-11-25 09:15:00+05:30,95.0,105.0,89.9,95.1,13279
2021-11-25 10:15:00+05:30,95.1,97.95,92.65,97.0,7983
2021-11-25 11:15:00+05:30,97.0,99.0,96.95,98.7,16325
2021-11-25 12:15:00+05:30,98.7,110.0,97.05,108.95,74999
2021-11-25 13:15:00+05:30,109.45,110.0,105.2,108.75,13174
2021-11-25 14:15:00+05:30,108.0,108.7,103.95,105.0,9284
2021-11-25 15:15:00+05:30,105.0,105.0,100.3,102.0,11617
2021-11-26 09:15:00+05:30,103.0,111.7,98.0,109.0,18637
2021-11-26 10:15:00+05:30,109.0,118.95,107.1,115.7,35105
2021-11-26 11:15:00+05:30,115.7,120.0,111.35,120.0,42096
2021-11-26 12:15:00+05:30,120.0,122.0,112.0,116.45,63298
2021-11-26 13:15:00+05:30,116.45,120.0,116.45,118.6,13265
2021-11-26 14:15:00+05:30,118.6,123.2,117.4,121.9,108465
2021-11-26 15:15:00+05:30,121.9,122.6,114.35,116.1,16077
2021-11-29 09:15:00+05:30,121.85,127.0,106.2,116.4,31793
2021-11-29 10:15:00+05:30,116.4,116.4,113.0,114.8,6262
2021-11-29 11:15:00+05:30,114.55,114.7,108.0,108.9,7778
2021-11-29 12:15:00+05:30,109.0,109.45,102.5,103.7,38465
2021-11-29 13:15:00+05:30,103.7,104.0,102.45,103.75,4681
2021-11-29 14:15:00+05:30,103.75,103.85,100.25,101.45,8615
2021-11-29 15:15:00+05:30,101.0,103.9,98.5,102.0,10817
2021-11-30 09:15:00+05:30,108.0,115.0,105.35,109.25,42890
2021-11-30 10:15:00+05:30,109.25,110.0,108.0,108.5,3129
2021-11-30 11:15:00+05:30,108.5,110.5,106.5,108.6,6189
2021-11-30 12:15:00+05:30,108.6,109.0,105.1,105.9,5304
2021-11-30 13:15:00+05:30,105.9,107.0,105.0,105.0,2254
2021-11-30 14:15:00+05:30,105.0,109.0,104.0,105.65,4913
2021-11-30 15:15:00+05:30,105.65,106.8,101.25,102.95,6865
2021-12-01 09:15:00+05:30,105.0,109.0,103.5,104.0,6281
2021-12-01 10:15:00+05:30,104.0,105.25,100.5,103.15,3123
2021-12-01 11:15:00+05:30,103.15,106.85,103.15,106.15,1308
2021-12-01 12:15:00+05:30,106.1,106.6,104.8,104.9,1928
2021-12-01 13:15:00+05:30,104.9,104.9,101.9,101.95,2304
2021-12-01 14:15:00+05:30,101.95,103.85,101.4,101.8,2833
2021-12-01 15:15:00+05:30,101.8,103.7,101.7,102.0,2224
2021-12-02 09:15:00+05:30,102.7,103.95,92.8,97.35,19701
2021-12-02 10:15:00+05:30,97.35,98.15,95.1,96.95,5820
2021-12-02 11:15:00+05:30,96.95,100.2,96.95,98.6,3150
2021-12-02 12:15:00+05:30,98.6,98.6,95.65,97.85,1524
2021-12-02 13:15:00+05:30,97.85,98.4,97.0,97.15,1547
2021-12-02 14:15:00+05:30,97.15,101.3,97.15,97.6,9112
2021-12-02 15:15:00+05:30,97.6,102.7,97.6,99.05,3637
2021-12-03 09:15:00+05:30,100.05,104.4,98.25,101.85,6778
2021-12-03 10:15:00+05:30,101.85,101.95,100.4,101.4,802
2021-12-03 11:15:00+05:30,101.4,102.5,101.4,102.25,425
2021-12-03 12:15:00+05:30,102.25,102.25,99.8,99.8,384
2021-12-03 13:15:00+05:30,99.8,100.35,99.55,100.15,1724
2021-12-03 14:15:00+05:30,100.15,100.15,98.55,99.5,1192
2021-12-03 15:15:00+05:30,99.5,99.95,93.3,95.0,6930
2021-12-06 09:15:00+05:30,98.7,98.7,90.6,94.9,11230
2021-12-06 10:15:00+05:30,94.9,95.1,94.0,94.0,777
2021-12-06 11:15:00+05:30,94.0,94.4,93.5,94.0,197
2021-12-06 12:15:00+05:30,94.0,99.15,94.0,97.2,4730
2021-12-06 13:15:00+05:30,97.2,97.55,94.25,96.5,4003
2021-12-06 14:15:00+05:30,96.5,100.25,96.5,99.25,6167
2021-12-06 15:15:00+05:30,99.25,101.0,99.0,101.0,912
2021-12-07 09:15:00+05:30,103.8,103.8,97.95,100.95,3982
2021-12-07 10:15:00+05:30,100.95,102.8,100.1,102.05,2015
2021-12-07 11:15:00+05:30,102.05,104.0,102.0,103.0,2141
2021-12-07 12:15:00+05:30,103.0,110.0,103.0,109.45,10304
2021-12-07 13:15:00+05:30,109.45,114.95,107.15,113.35,32359
2021-12-07 14:15:00+05:30,113.35,119.0,112.1,118.25,50994
2021-12-07 15:15:00+05:30,118.25,119.0,116.1,118.5,13113
2021-12-08 09:15:00+05:30,121.1,139.45,121.1,136.15,161182
2021-12-08 10:15:00+05:30,136.15,136.85,131.35,134.5,40201
2021-12-08 11:15:00+05:30,134.85,138.5,132.05,138.05,45677
2021-12-08 12:15:00+05:30,138.05,140.0,135.6,140.0,91024
2021-12-08 13:15:00+05:30,140.0,141.0,137.35,138.9,113650
2021-12-08 14:15:00+05:30,138.9,139.85,133.5,135.3,49922
2021-12-08 15:15:00+05:30,135.3,136.6,132.0,133.05,22604
2021-12-09 09:15:00+05:30,138.0,144.0,134.4,138.25,170822
2021-12-09 10:15:00+05:30,138.25,138.3,135.0,136.3,17769
2021-12-09 11:15:00+05:30,136.3,138.4,135.2,136.7,12871
2021-12-09 12:15:00+05:30,136.7,137.0,135.5,135.85,4332
2021-12-09 13:15:00+05:30,135.85,136.35,132.0,134.0,13070
2021-12-09 14:15:00+05:30,134.0,135.0,132.45,134.05,12883
2021-12-09 15:15:00+05:30,134.05,134.45,131.05,132.2,8898
2021-12-10 09:15:00+05:30,133.5,134.7,127.8,129.15,20317
2021-12-10 10:15:00+05:30,129.15,130.0,125.5,127.3,14089
2021-12-10 11:15:00+05:30,127.3,128.45,126.35,128.0,4225
2021-12-10 12:15:00+05:30,128.0,128.6,126.0,126.95,6226
2021-12-10 13:15:00+05:30,126.95,126.95,125.0,126.15,5568
2021-12-10 14:15:00+05:30,126.15,128.4,125.25,127.95,6286
2021-12-10 15:15:00+05:30,127.95,128.0,123.3,127.85,9496
2021-12-13 09:15:00+05:30,135.0,139.0,126.0,130.4,21050
2021-12-13 10:15:00+05:30,133.0,134.5,126.0,128.75,13007
2021-12-13 11:15:00+05:30,128.75,129.9,127.25,127.95,3944
2021-12-13 12:15:00+05:30,127.95,128.0,124.6,126.35,3164
2021-12-13 13:15:00+05:30,126.35,127.5,124.4,125.5,4598
2021-12-13 14:15:00+05:30,124.85,129.35,124.7,128.1,3182
2021-12-13 15:15:00+05:30,128.1,129.5,126.4,126.7,4824
2021-12-14 09:15:00+05:30,127.95,127.95,125.25,125.9,8294
2021-12-14 10:15:00+05:30,125.9,126.35,117.3,120.75,11052
2021-12-14 11:15:00+05:30,120.75,124.0,119.95,123.0,8249
2021-12-14 12:15:00+05:30,123.0,123.9,122.8,123.6,2374
2021-12-14 13:15:00+05:30,123.6,123.8,122.3,122.75,1317
2021-12-14 14:15:00+05:30,122.75,123.95,121.0,121.7,3290
2021-12-14 15:15:00+05:30,121.7,123.9,121.05,122.05,2528
2021-12-15 09:15:00+05:30,128.0,128.0,120.2,123.8,6290
2021-12-15 10:15:00+05:30,123.8,124.1,119.6,120.85,4489
2021-12-15 11:15:00+05:30,120.85,122.95,119.5,119.95,6263
2021-12-15 12:15:00+05:30,119.95,120.7,116.25,118.0,4109
2021-12-15 13:15:00+05:30,118.0,122.0,117.7,121.95,2718
2021-12-15 14:15:00+05:30,121.95,121.95,116.25,119.55,3623
2021-12-15 15:15:00+05:30,119.55,119.55,116.0,118.0,2547
2021-12-16 09:15:00+05:30,121.0,121.0,108.8,109.3,8451
2021-12-16 10:15:00+05:30,109.6,114.05,109.55,111.85,8208
2021-12-16 11:15:00+05:30,111.85,113.4,110.65,111.95,4344
2021-12-16 12:15:00+05:30,111.95,112.7,111.0,111.7,2128
2021-12-16 13:15:00+05:30,111.75,111.95,109.0,109.1,4567
2021-12-16 14:15:00+05:30,109.1,110.05,108.0,109.75,4006
2021-12-16 15:15:00+05:30,109.75,109.75,109.0,109.65,1872
2021-12-17 09:15:00+05:30,113.0,113.0,103.8,105.05,11005
2021-12-17 10:15:00+05:30,105.05,107.95,105.0,107.75,2907
2021-12-17 11:15:00+05:30,107.75,111.0,107.7,108.0,3742
2021-12-17 12:15:00+05:30,108.0,111.0,108.0,108.6,1941
2021-12-17 13:15:00+05:30,108.6,118.0,108.55,116.15,15333
2021-12-17 14:15:00+05:30,116.15,117.05,107.3,110.25,4810
2021-12-17 15:15:00+05:30,110.25,110.25,107.6,109.75,1200
2021-12-20 09:15:00+05:30,109.15,109.15,103.6,106.05,4286
2021-12-20 10:15:00+05:30,106.05,106.05,102.95,104.35,2162
2021-12-20 11:15:00+05:30,104.35,106.05,103.0,104.0,2324
2021-12-20 12:15:00+05:30,104.0,105.15,102.0,102.0,3015
2021-12-20 13:15:00+05:30,102.0,103.2,101.0,102.95,3193
2021-12-20 14:15:00+05:30,102.95,104.0,101.15,101.55,5917
2021-12-20 15:15:00+05:30,101.55,103.25,101.0,102.0,2804
2021-12-21 09:15:00+05:30,100.7,112.2,98.55,112.2,20474
2021-12-21 10:15:00+05:30,112.2,112.2,110.0,110.5,6277
2021-12-21 11:15:00+05:30,110.5,111.9,110.0,110.95,5028
