date,open,high,low,close,volume
2006-04-03 00:00:00+05:30,45.0,58.0,44.05,52.92,51392294
2006-04-04 00:00:00+05:30,53.73,54.28,50.04,50.45,10678199
2006-04-05 00:00:00+05:30,50.3,51.28,48.42,48.97,6313244
2006-04-07 00:00:00+05:30,49.2,50.68,47.62,48.14,3612659
2006-04-10 00:00:00+05:30,48.4,52.46,47.13,51.05,5649249
2006-04-12 00:00:00+05:30,51.05,51.05,47.25,47.79,1213674
2006-04-13 00:00:00+05:30,48.74,49.0,46.23,47.22,1674459
2006-04-17 00:00:00+05:30,47.4,49.16,47.2,47.84,899069
2006-04-18 00:00:00+05:30,48.2,48.7,47.51,47.64,795664
2006-04-19 00:00:00+05:30,47.58,50.1,47.58,48.19,817629
2006-04-20 00:00:00+05:30,49.0,49.0,47.61,48.01,323154
2006-04-21 00:00:00+05:30,52.0,52.19,47.65,51.52,1744409
2006-04-24 00:00:00+05:30,49.4,54.4,49.4,53.78,2747344
2006-04-25 00:00:00+05:30,53.78,55.4,51.3,52.19,1819684
2006-04-26 00:00:00+05:30,51.03,60.8,51.03,56.83,4072524
2006-04-27 00:00:00+05:30,57.28,58.34,55.0,55.35,1280064
2006-04-28 00:00:00+05:30,53.1,54.6,48.8,53.38,385649
2006-05-02 00:00:00+05:30,54.8,56.99,54.2,55.31,304444
2006-05-03 00:00:00+05:30,55.6,58.0,54.1,55.03,549054
2006-05-04 00:00:00+05:30,55.2,55.74,52.31,52.76,283769
2006-05-05 00:00:00+05:30,52.76,54.2,51.03,51.74,269054
2006-05-08 00:00:00+05:30,51.8,52.0,48.42,48.9,681074
2006-05-09 00:00:00+05:30,51.0,51.0,49.24,50.03,288374
2006-05-10 00:00:00+05:30,50.78,50.78,48.63,49.51,193939
2006-05-11 00:00:00+05:30,49.6,49.9,48.7,48.98,68824
2006-05-12 00:00:00+05:30,48.56,49.94,48.54,48.71,70144
2006-05-15 00:00:00+05:30,48.8,49.8,46.8,47.64,204814
2006-05-16 00:00:00+05:30,48.05,48.8,44.8,45.68,639274
2006-05-17 00:00:00+05:30,47.0,48.4,46.1,47.07,127339
2006-05-18 00:00:00+05:30,47.18,47.3,45.21,46.38,329029
2006-05-19 00:00:00+05:30,46.42,47.99,41.0,42.23,251854
2006-05-22 00:00:00+05:30,41.4,42.0,34.0,37.24,129334
2006-05-23 00:00:00+05:30,35.02,42.0,35.02,41.0,138909
2006-05-24 00:00:00+05:30,42.0,44.36,39.5,42.25,184799
2006-05-25 00:00:00+05:30,41.2,42.0,41.2,41.21,62734
2006-05-26 00:00:00+05:30,41.43,44.0,41.4,42.86,82489
2006-05-29 00:00:00+05:30,43.79,43.98,41.03,42.33,80429
2006-05-30 00:00:00+05:30,43.8,44.4,40.81,41.08,145914
2006-05-31 00:00:00+05:30,40.4,40.4,38.0,39.3,95759
2006-06-01 00:00:00+05:30,40.8,41.4,36.22,37.41,80989
2006-06-02 00:00:00+05:30,36.8,37.57,34.8,36.7,71424
2006-06-05 00:00:00+05:30,37.1,37.2,35.6,36.14,52339
2006-06-06 00:00:00+05:30,34.8,35.0,33.0,33.32,64904
2006-06-07 00:00:00+05:30,33.35,33.6,29.6,30.34,66154
2006-06-08 00:00:00+05:30,30.2,30.2,24.28,24.42,77499
2006-06-09 00:00:00+05:30,24.0,27.9,24.0,27.14,82279
2006-06-12 00:00:00+05:30,28.6,28.99,27.0,27.96,46659
2006-06-13 00:00:00+05:30,27.4,27.6,25.6,26.53,79729
2006-06-14 00:00:00+05:30,26.99,27.2,23.88,25.43,111634
2006-06-15 00:00:00+05:30,23.0,26.2,23.0,25.68,27389
2006-06-16 00:00:00+05:30,27.1,28.25,26.0,28.07,98554
2006-06-19 00:00:00+05:30,29.99,30.88,26.0,30.87,83074
2006-06-20 00:00:00+05:30,30.5,33.96,29.24,32.44,100449
2006-06-21 00:00:00+05:30,33.2,33.98,33.0,33.47,40354
2006-06-22 00:00:00+05:30,34.01,35.15,34.01,35.15,39164
2006-06-23 00:00:00+05:30,34.78,36.6,34.02,36.34,44204
2006-06-26 00:00:00+05:30,37.77,37.78,34.72,34.72,73679
2006-06-27 00:00:00+05:30,33.62,33.7,32.99,32.99,22139
2006-06-28 00:00:00+05:30,31.4,31.4,31.34,31.34,18364
2006-06-29 00:00:00+05:30,29.8,31.98,29.78,29.78,53784
2006-06-30 00:00:00+05:30,30.8,31.0,28.3,28.88,41704
2006-07-03 00:00:00+05:30,29.99,30.0,29.16,29.46,5849
2006-07-04 00:00:00+05:30,29.6,30.56,29.4,29.9,3724
2006-07-05 00:00:00+05:30,30.01,31.4,30.0,31.21,13194
2006-07-06 00:00:00+05:30,30.85,31.56,30.8,30.84,6959
2006-07-07 00:00:00+05:30,31.05,31.6,29.3,29.62,11544
2006-07-10 00:00:00+05:30,29.4,29.4,28.14,28.2,19564
2006-07-11 00:00:00+05:30,29.0,29.0,27.8,28.0,6824
2006-07-12 00:00:00+05:30,27.7,28.39,27.2,27.56,9204
2006-07-13 00:00:00+05:30,28.57,28.94,28.0,28.94,7134
2006-07-14 00:00:00+05:30,29.18,29.18,27.5,27.92,4434
2006-07-17 00:00:00+05:30,28.0,29.29,26.8,27.38,4844
2006-07-18 00:00:00+05:30,28.2,28.2,26.3,27.08,7669
2006-07-19 00:00:00+05:30,27.05,27.59,25.82,25.99,3424
2006-07-20 00:00:00+05:30,25.82,26.01,24.82,25.17,15179
2006-07-21 00:00:00+05:30,25.0,25.8,24.0,25.43,10014
2006-07-24 00:00:00+05:30,25.0,25.58,24.2,24.62,3134
2006-07-25 00:00:00+05:30,25.2,25.4,24.1,24.73,6874
2006-07-26 00:00:00+05:30,24.95,25.97,24.95,25.97,3074
2006-07-27 00:00:00+05:30,26.0,26.98,26.0,26.05,7789
2006-07-28 00:00:00+05:30,26.8,27.34,26.0,26.4,7234
2006-07-31 00:00:00+05:30,27.22,27.35,26.1,26.26,8109
