date,open,high,low,close,volume
2003-01-01 00:00:00+05:30,8.09,9.07,8.04,8.28,1905
2003-01-02 00:00:00+05:30,8.43,8.77,8.43,8.63,1250
2003-01-03 00:00:00+05:30,8.33,8.97,8.33,8.97,5826
2003-01-06 00:00:00+05:30,8.53,8.53,8.24,8.24,5699
2003-01-07 00:00:00+05:30,8.24,8.53,8.24,8.48,800
2003-01-08 00:00:00+05:30,8.33,8.33,8.09,8.33,672
2003-01-09 00:00:00+05:30,8.28,8.28,8.28,8.28,100
2003-01-10 00:00:00+05:30,7.89,8.24,7.89,8.24,700
2003-01-13 00:00:00+05:30,8.24,8.33,8.14,8.33,2201
2003-01-14 00:00:00+05:30,8.33,8.33,8.24,8.24,704
2003-01-15 00:00:00+05:30,8.14,8.14,8.09,8.09,1000
2003-01-16 00:00:00+05:30,8.33,8.43,8.09,8.43,3150
2003-01-17 00:00:00+05:30,7.99,8.73,7.99,8.73,1388
2003-01-20 00:00:00+05:30,8.24,8.24,8.24,8.24,200
2003-01-21 00:00:00+05:30,8.33,8.77,8.33,8.38,2397
2003-01-22 00:00:00+05:30,8.82,8.82,8.53,8.82,1787
2003-01-23 00:00:00+05:30,8.63,9.27,8.63,9.27,1200
2003-01-24 00:00:00+05:30,8.38,8.38,8.33,8.33,300
2003-01-27 00:00:00+05:30,8.82,8.82,8.09,8.09,1002
2003-01-28 00:00:00+05:30,8.82,8.82,8.77,8.82,100
2003-01-29 00:00:00+05:30,8.82,8.82,7.99,8.14,1350
2003-01-30 00:00:00+05:30,8.77,8.77,7.89,7.99,2000
2003-01-31 00:00:00+05:30,8.63,8.63,7.79,7.79,5800
2003-02-03 00:00:00+05:30,8.63,8.63,7.79,7.79,0
2003-02-04 00:00:00+05:30,8.04,8.04,8.04,8.04,99
2003-02-05 00:00:00+05:30,7.7,7.75,7.65,7.65,1051
2003-02-06 00:00:00+05:30,7.55,7.55,7.55,7.55,500
2003-02-07 00:00:00+05:30,8.24,8.33,7.94,8.09,1104
2003-02-10 00:00:00+05:30,8.28,8.28,8.28,8.28,200
2003-02-11 00:00:00+05:30,8.38,8.38,7.94,8.19,2850
2003-02-12 00:00:00+05:30,8.19,8.19,7.75,7.75,1196
2003-02-14 00:00:00+05:30,7.55,7.75,7.4,7.75,850
2003-02-17 00:00:00+05:30,8.09,8.09,8.09,8.09,200
2003-02-18 00:00:00+05:30,7.84,8.28,7.84,8.14,460
2003-02-19 00:00:00+05:30,7.45,8.82,7.45,8.58,1500
2003-02-20 00:00:00+05:30,7.45,8.82,7.45,8.58,0
2003-02-21 00:00:00+05:30,7.94,7.94,7.94,7.94,50
2003-02-24 00:00:00+05:30,7.99,8.53,7.99,8.53,1300
2003-02-25 00:00:00+05:30,8.48,8.82,8.48,8.73,1191
2003-02-26 00:00:00+05:30,8.48,8.48,8.33,8.33,1300
2003-02-27 00:00:00+05:30,8.48,8.48,8.33,8.33,0
2003-02-28 00:00:00+05:30,8.24,8.82,8.19,8.82,5400
2003-03-03 00:00:00+05:30,8.28,8.38,8.28,8.28,500
2003-03-04 00:00:00+05:30,8.33,8.33,8.33,8.33,1
2003-03-05 00:00:00+05:30,9.12,9.12,9.12,9.12,1
2003-03-06 00:00:00+05:30,10.0,10.0,8.38,8.38,2
2003-03-07 00:00:00+05:30,7.89,8.09,7.84,7.84,1900
2003-03-10 00:00:00+05:30,7.3,8.53,7.3,8.53,160917
2003-03-11 00:00:00+05:30,7.3,8.53,7.3,8.53,0
2003-03-12 00:00:00+05:30,8.33,8.58,8.19,8.19,748
2003-03-13 00:00:00+05:30,8.19,8.19,8.19,8.19,2500
2003-03-17 00:00:00+05:30,8.19,8.19,8.19,8.19,0
2003-03-19 00:00:00+05:30,8.58,8.58,7.89,7.89,400
2003-03-20 00:00:00+05:30,7.6,8.43,7.6,8.09,1200
2003-03-21 00:00:00+05:30,8.09,8.09,8.09,8.09,1000
2003-03-24 00:00:00+05:30,8.82,8.82,8.04,8.04,401
2003-03-25 00:00:00+05:30,8.33,8.33,8.33,8.33,250
2003-03-26 00:00:00+05:30,8.33,8.33,8.14,8.14,3300
2003-03-27 00:00:00+05:30,8.92,8.92,8.19,8.43,605
2003-03-28 00:00:00+05:30,8.92,8.92,8.19,8.43,0
2003-03-31 00:00:00+05:30,9.27,9.27,8.09,8.09,1601
2003-04-01 00:00:00+05:30,9.27,9.27,8.09,8.09,0
2003-04-02 00:00:00+05:30,8.82,8.82,8.82,8.82,200
2003-04-03 00:00:00+05:30,7.21,7.21,7.21,7.21,1
2003-04-04 00:00:00+05:30,7.21,7.21,7.21,7.21,0
2003-04-07 00:00:00+05:30,7.21,7.21,7.21,7.21,0
2003-04-08 00:00:00+05:30,7.21,7.21,7.21,7.21,0
2003-04-09 00:00:00+05:30,7.99,8.68,7.99,8.63,401
2003-04-10 00:00:00+05:30,8.33,9.8,8.33,8.82,54
2003-04-11 00:00:00+05:30,8.82,8.82,8.38,8.38,250
2003-04-15 00:00:00+05:30,8.82,8.82,8.38,8.38,0
2003-04-16 00:00:00+05:30,9.8,9.8,8.38,8.38,2
2003-04-17 00:00:00+05:30,10.0,10.0,8.24,9.22,4211
2003-04-21 00:00:00+05:30,10.98,10.98,8.82,9.07,401
2003-04-22 00:00:00+05:30,8.82,8.82,8.82,8.82,200
2003-04-23 00:00:00+05:30,7.21,9.07,7.21,9.07,1801
2003-04-24 00:00:00+05:30,7.21,9.07,7.21,9.07,0
