date,open,high,low,close,volume
2019-06-27 00:00:00+05:30,68.75,68.75,60.5,61.1,112062
2019-06-28 00:00:00+05:30,62.45,62.5,59.5,59.65,14606
2019-07-01 00:00:00+05:30,59.0,61.0,59.0,60.1,19951
2019-07-02 00:00:00+05:30,60.0,60.5,59.6,60.25,4925
2019-07-03 00:00:00+05:30,60.0,61.0,58.1,58.65,7384
2019-07-04 00:00:00+05:30,58.5,60.0,58.5,59.8,1594
2019-07-05 00:00:00+05:30,59.55,60.0,54.2,55.2,24760
2019-07-08 00:00:00+05:30,56.0,56.0,52.1,52.25,7517
2019-07-09 00:00:00+05:30,50.1,52.95,43.0,44.55,51573
2019-07-10 00:00:00+05:30,42.8,43.8,41.3,41.75,31788
2019-07-11 00:00:00+05:30,41.2,43.6,40.15,43.25,10301
2019-07-12 00:00:00+05:30,41.1,46.45,41.1,43.25,20762
2019-07-15 00:00:00+05:30,44.0,44.0,40.75,41.2,5815
2019-07-16 00:00:00+05:30,40.6,42.0,39.0,39.25,14861
2019-07-17 00:00:00+05:30,38.2,39.8,37.6,39.0,5792
2019-07-18 00:00:00+05:30,39.35,39.35,36.0,36.15,17344
2019-07-19 00:00:00+05:30,36.8,38.0,32.55,33.0,114104
2019-07-22 00:00:00+05:30,32.4,32.4,30.0,30.85,27276
2019-07-23 00:00:00+05:30,32.0,33.0,31.85,32.7,12191
2019-07-24 00:00:00+05:30,33.2,33.6,32.0,33.05,5028
2019-07-25 00:00:00+05:30,33.6,34.0,31.8,33.4,3119
2019-07-26 00:00:00+05:30,33.7,33.7,32.7,33.4,2187
2019-07-29 00:00:00+05:30,33.2,33.35,32.6,33.0,990
2019-07-30 00:00:00+05:30,33.15,33.3,32.2,32.65,2725
2019-07-31 00:00:00+05:30,32.8,33.0,31.3,32.8,2500
2019-08-01 00:00:00+05:30,32.0,32.0,30.7,31.05,200285
2019-08-02 00:00:00+05:30,30.35,30.95,28.4,29.05,7012
2019-08-05 00:00:00+05:30,29.85,29.85,27.9,29.0,4429
2019-08-06 00:00:00+05:30,29.8,29.8,28.15,29.7,3148
2019-08-07 00:00:00+05:30,29.8,29.8,28.7,29.5,1384
2019-08-08 00:00:00+05:30,30.0,31.9,28.8,30.45,5821
2019-08-09 00:00:00+05:30,31.8,31.8,29.55,29.65,753
2019-08-13 00:00:00+05:30,32.0,32.0,28.0,29.6,4138
2019-08-14 00:00:00+05:30,29.8,29.8,28.55,29.5,314
2019-08-16 00:00:00+05:30,29.8,31.0,29.0,30.35,10986
2019-08-19 00:00:00+05:30,30.8,31.7,30.1,31.2,9336
2019-08-20 00:00:00+05:30,30.95,31.6,29.5,29.85,69355
2019-08-21 00:00:00+05:30,30.5,30.5,29.25,30.0,89793
2019-08-22 00:00:00+05:30,30.5,30.5,28.5,28.9,3370
2019-08-23 00:00:00+05:30,27.2,29.0,27.2,28.95,4178
2019-08-26 00:00:00+05:30,30.2,30.2,28.8,29.85,223
2019-08-27 00:00:00+05:30,28.3,31.4,28.3,30.5,32608
2019-08-28 00:00:00+05:30,31.4,31.5,30.5,31.3,8176
2019-08-29 00:00:00+05:30,31.5,32.0,30.1,30.75,16497
2019-08-30 00:00:00+05:30,31.5,31.5,30.15,30.6,667
2019-09-03 00:00:00+05:30,30.4,31.25,30.4,31.25,2264
2019-09-04 00:00:00+05:30,31.05,32.95,31.05,31.45,6904
2019-09-05 00:00:00+05:30,31.5,31.95,31.4,31.55,9690
2019-09-06 00:00:00+05:30,31.8,33.4,31.55,32.9,795
2019-09-09 00:00:00+05:30,31.35,35.5,31.35,34.55,7135
2019-09-11 00:00:00+05:30,34.6,37.4,34.55,37.1,6801
2019-09-12 00:00:00+05:30,37.1,37.85,37.0,37.05,4313
2019-09-13 00:00:00+05:30,38.0,38.0,37.05,37.6,3338
2019-09-16 00:00:00+05:30,37.6,37.8,37.0,37.05,3950
2019-09-17 00:00:00+05:30,36.8,37.1,36.6,36.65,2223
2019-09-18 00:00:00+05:30,36.1,36.6,35.1,36.15,396
2019-09-19 00:00:00+05:30,37.5,37.5,35.0,35.1,2570
2019-09-20 00:00:00+05:30,36.85,36.85,35.35,35.95,2505
2019-09-23 00:00:00+05:30,35.95,36.0,35.95,35.95,1200
2019-09-24 00:00:00+05:30,34.9,35.0,34.05,34.15,2075
2019-09-25 00:00:00+05:30,34.2,35.1,32.55,32.6,3395
2019-09-26 00:00:00+05:30,32.55,34.85,32.5,33.4,2214
2019-09-27 00:00:00+05:30,33.25,34.4,33.25,33.95,610
2019-09-30 00:00:00+05:30,34.8,34.85,30.75,32.9,2512
2019-10-01 00:00:00+05:30,32.2,32.75,30.2,30.65,593
2019-10-03 00:00:00+05:30,29.75,30.7,28.55,29.3,2374
2019-10-04 00:00:00+05:30,31.7,31.7,29.75,29.75,266
2019-10-07 00:00:00+05:30,29.75,29.9,29.0,29.05,1222
2019-10-09 00:00:00+05:30,27.6,31.75,27.05,29.1,3888
2019-10-10 00:00:00+05:30,28.4,29.95,27.85,28.95,13989
2019-10-11 00:00:00+05:30,29.05,29.85,28.9,29.05,1790
2019-10-14 00:00:00+05:30,29.15,29.8,28.8,29.1,5987
2019-10-15 00:00:00+05:30,29.5,30.6,28.9,29.4,5178
2019-10-16 00:00:00+05:30,28.4,29.2,28.4,29.0,7542
2019-10-17 00:00:00+05:30,28.15,29.7,28.15,29.05,1885
2019-10-18 00:00:00+05:30,29.6,29.6,28.65,29.0,5484
2019-10-22 00:00:00+05:30,29.0,29.0,26.05,27.8,14121
2019-10-23 00:00:00+05:30,28.8,29.75,27.4,29.25,4641
2019-10-24 00:00:00+05:30,29.3,29.45,27.95,28.15,4442
2019-10-25 00:00:00+05:30,33.4,33.4,28.45,28.95,6299
2019-10-27 00:00:00+05:30,32.0,32.0,30.65,30.95,106
2019-10-29 00:00:00+05:30,30.65,30.9,28.6,30.9,2626
2019-10-30 00:00:00+05:30,33.95,33.95,29.2,31.9,3024
2019-10-31 00:00:00+05:30,32.8,32.8,30.5,30.95,5387
2019-11-01 00:00:00+05:30,31.95,31.95,30.95,31.65,6856
2019-11-04 00:00:00+05:30,32.0,32.75,29.65,30.25,6722
2019-11-05 00:00:00+05:30,30.05,31.5,30.05,30.65,6091
2019-11-06 00:00:00+05:30,29.05,32.9,29.05,31.95,1098
2019-11-07 00:00:00+05:30,37.0,37.0,31.65,31.65,3152
2019-11-08 00:00:00+05:30,32.85,32.85,29.85,30.8,3376
2019-11-11 00:00:00+05:30,32.85,32.85,31.15,31.75,2698
2019-11-13 00:00:00+05:30,31.25,31.95,30.85,30.85,600
2019-11-14 00:00:00+05:30,32.3,32.3,30.1,30.65,2255
2019-11-15 00:00:00+05:30,28.6,31.4,28.6,30.3,3592
2019-11-18 00:00:00+05:30,28.2,31.4,28.2,30.05,5509
2019-11-19 00:00:00+05:30,30.95,31.0,30.55,30.9,1206
2019-11-20 00:00:00+05:30,30.55,30.85,30.2,30.2,4235
2019-11-21 00:00:00+05:30,35.0,35.0,29.55,30.05,886
