date,open,high,low,close,volume
2019-06-27 09:15:00+05:30,68.75,68.75,61.95,62.5,62494
2019-06-27 10:15:00+05:30,62.5,62.7,62.35,62.4,5041
2019-06-27 11:15:00+05:30,62.5,62.65,62.3,62.5,3407
2019-06-27 12:15:00+05:30,62.5,62.5,61.0,61.25,5980
2019-06-27 13:15:00+05:30,61.25,62.35,61.05,61.05,15371
2019-06-27 14:15:00+05:30,61.05,61.5,60.6,61.05,5462
2019-06-27 15:15:00+05:30,61.05,62.0,60.5,62.0,13706
2019-06-28 09:15:00+05:30,62.45,62.5,60.35,60.8,5370
2019-06-28 10:15:00+05:30,60.8,61.3,60.5,60.8,737
2019-06-28 11:15:00+05:30,60.8,61.4,60.8,61.0,2785
2019-06-28 12:15:00+05:30,61.05,61.05,61.05,61.05,289
2019-06-28 13:15:00+05:30,61.05,61.4,60.25,60.5,1740
2019-06-28 14:15:00+05:30,60.5,60.5,59.5,59.95,2205
2019-06-28 15:15:00+05:30,59.95,60.5,59.5,60.5,1211
2019-07-01 09:15:00+05:30,59.0,60.5,59.0,59.9,1114
2019-07-01 10:15:00+05:30,59.9,59.9,59.5,59.5,1409
2019-07-01 11:15:00+05:30,59.8,59.8,59.8,59.8,10
2019-07-01 12:15:00+05:30,59.8,59.85,59.5,59.85,2213
2019-07-01 13:15:00+05:30,59.85,60.95,59.25,60.95,9645
2019-07-01 14:15:00+05:30,60.95,61.0,60.0,60.0,2543
2019-07-01 15:15:00+05:30,60.0,60.5,60.0,60.15,2982
2019-07-02 09:15:00+05:30,60.0,60.5,59.9,59.9,567
2019-07-02 10:15:00+05:30,59.9,60.2,59.9,60.2,1084
2019-07-02 11:15:00+05:30,60.2,60.2,59.6,59.6,2136
2019-07-02 12:15:00+05:30,59.6,59.6,59.6,59.6,0
2019-07-02 13:15:00+05:30,59.6,59.6,59.6,59.6,0
2019-07-02 14:15:00+05:30,59.6,60.4,59.6,60.0,463
2019-07-02 15:15:00+05:30,60.0,60.45,60.0,60.4,660
2019-07-03 09:15:00+05:30,60.0,61.0,60.0,60.6,210
2019-07-03 10:15:00+05:30,60.6,60.6,59.1,59.1,1943
2019-07-03 11:15:00+05:30,59.1,59.65,59.1,59.65,310
2019-07-03 12:15:00+05:30,59.65,59.65,58.9,58.9,557
2019-07-03 13:15:00+05:30,58.9,58.9,58.65,58.75,190
2019-07-03 14:15:00+05:30,58.75,58.9,58.75,58.9,2190
2019-07-03 15:15:00+05:30,58.75,59.4,58.1,59.4,1969
2019-07-04 09:15:00+05:30,58.5,60.0,58.5,59.95,850
2019-07-04 10:15:00+05:30,59.95,59.95,59.95,59.95,25
2019-07-04 11:15:00+05:30,59.95,59.95,59.9,59.9,75
2019-07-04 12:15:00+05:30,59.9,59.9,59.85,59.85,3
2019-07-04 13:15:00+05:30,59.85,59.85,59.85,59.85,0
2019-07-04 14:15:00+05:30,59.8,59.8,59.5,59.5,167
2019-07-04 15:15:00+05:30,59.5,59.95,59.5,59.95,459
2019-07-05 09:15:00+05:30,59.55,60.0,59.55,59.95,126
2019-07-05 10:15:00+05:30,59.95,59.95,59.15,59.15,110
2019-07-05 11:15:00+05:30,59.95,59.95,59.7,59.7,260
