date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,929.65,943.0,928.3,934.15,495137
2015-02-02 10:15:00+05:30,934.1,938.0,931.0,934.85,145004
2015-02-02 11:15:00+05:30,934.85,936.5,933.1,934.95,148425
2015-02-02 12:15:00+05:30,935.0,935.0,922.0,928.1,242290
2015-02-02 13:15:00+05:30,928.0,931.65,922.0,926.1,264653
2015-02-02 14:15:00+05:30,925.0,930.7,924.0,929.55,340901
2015-02-02 15:15:00+05:30,929.6,930.6,927.15,928.0,110424
2015-02-03 09:15:00+05:30,933.9,936.15,926.55,929.3,278798
2015-02-03 10:15:00+05:30,929.3,930.0,919.35,929.1,305179
2015-02-03 11:15:00+05:30,929.1,930.0,923.55,925.2,167336
2015-02-03 12:15:00+05:30,925.1,929.45,923.5,926.3,151396
2015-02-03 13:15:00+05:30,926.35,930.0,925.0,929.85,261884
2015-02-03 14:15:00+05:30,929.95,947.05,928.1,943.25,889969
2015-02-03 15:15:00+05:30,943.25,945.5,939.95,942.3,219697
2015-02-04 09:15:00+05:30,946.0,965.9,946.0,958.4,770101
2015-02-04 10:15:00+05:30,958.55,963.0,955.75,959.7,368090
2015-02-04 11:15:00+05:30,959.7,964.0,958.65,959.3,249388
2015-02-04 12:15:00+05:30,959.3,963.5,958.8,960.2,263094
2015-02-04 13:15:00+05:30,960.2,961.9,955.0,960.4,357322
2015-02-04 14:15:00+05:30,960.4,964.7,956.3,956.6,393540
2015-02-04 15:15:00+05:30,956.85,961.0,955.7,960.0,365570
2015-02-05 09:15:00+05:30,959.9,965.9,956.25,959.9,341920
2015-02-05 10:15:00+05:30,959.9,964.0,958.0,960.85,222678
2015-02-05 11:15:00+05:30,960.85,961.5,952.65,954.1,214966
2015-02-05 12:15:00+05:30,954.0,958.3,951.0,958.3,281539
2015-02-05 13:15:00+05:30,958.6,962.25,956.1,956.4,310005
2015-02-05 14:15:00+05:30,956.2,961.0,955.0,959.6,293548
2015-02-05 15:15:00+05:30,959.6,960.95,958.0,959.7,184905
2015-02-06 09:15:00+05:30,958.75,962.85,943.25,947.9,549370
2015-02-06 10:15:00+05:30,947.9,949.85,944.2,945.65,255374
2015-02-06 11:15:00+05:30,945.65,945.65,938.0,938.0,224817
2015-02-06 12:15:00+05:30,938.0,942.0,935.25,937.8,719328
2015-02-06 13:15:00+05:30,938.0,938.0,929.5,935.75,756793
2015-02-06 14:15:00+05:30,935.25,936.0,921.15,921.8,410083
2015-02-06 15:15:00+05:30,921.65,934.25,921.05,933.0,198265
2015-02-09 09:15:00+05:30,925.6,945.95,916.8,942.1,258681
2015-02-09 10:15:00+05:30,942.1,945.95,938.35,940.5,191768
2015-02-09 11:15:00+05:30,940.5,942.7,938.1,940.0,153717
2015-02-09 12:15:00+05:30,940.0,940.5,938.5,938.95,120784
2015-02-09 13:15:00+05:30,939.0,944.75,938.3,942.95,205340
2015-02-09 14:15:00+05:30,942.95,948.1,940.0,942.45,305699
2015-02-09 15:15:00+05:30,942.0,943.0,939.3,942.0,112885
2015-02-10 09:15:00+05:30,938.65,941.6,920.2,927.65,249212
2015-02-10 10:15:00+05:30,927.55,928.85,923.0,925.5,120959
2015-02-10 11:15:00+05:30,925.5,932.45,925.0,930.2,138199
2015-02-10 12:15:00+05:30,930.0,930.45,922.5,924.5,186078
2015-02-10 13:15:00+05:30,924.5,925.0,914.95,914.95,256853
2015-02-10 14:15:00+05:30,914.75,924.95,911.0,920.0,374399
2015-02-10 15:15:00+05:30,920.0,923.0,915.2,923.0,186582
2015-02-11 09:15:00+05:30,925.0,933.85,920.2,922.0,182648
2015-02-11 10:15:00+05:30,921.5,936.85,921.5,932.85,156286
2015-02-11 11:15:00+05:30,932.85,935.0,930.75,934.0,59754
2015-02-11 12:15:00+05:30,933.55,935.95,928.1,928.85,101389
2015-02-11 13:15:00+05:30,928.7,931.15,924.3,928.5,146576
2015-02-11 14:15:00+05:30,928.5,929.5,926.2,926.3,184327
2015-02-11 15:15:00+05:30,926.3,927.0,922.6,924.95,209320
2015-02-12 09:15:00+05:30,931.9,932.0,919.6,921.7,221929
2015-02-12 10:15:00+05:30,921.1,925.0,920.0,922.2,56311
