date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,55.0,55.9,55.0,55.3,6623
2015-02-02 10:15:00+05:30,55.3,55.35,55.1,55.25,59284
2015-02-02 11:15:00+05:30,55.25,55.35,55.1,55.1,47417
2015-02-02 12:15:00+05:30,55.1,55.2,55.05,55.2,19607
2015-02-02 13:15:00+05:30,55.2,55.2,55.05,55.15,54633
2015-02-02 14:15:00+05:30,55.15,55.2,55.05,55.1,102321
2015-02-02 15:15:00+05:30,55.1,55.2,55.0,55.0,2018
2015-02-03 09:15:00+05:30,55.0,55.7,55.0,55.4,20104
2015-02-03 10:15:00+05:30,55.4,55.45,55.15,55.15,69119
2015-02-03 11:15:00+05:30,55.15,55.2,55.05,55.15,32604
2015-02-03 12:15:00+05:30,55.15,55.2,55.0,55.1,114368
2015-02-03 13:15:00+05:30,55.1,55.15,55.0,55.0,10791
2015-02-03 14:15:00+05:30,55.15,55.15,55.0,55.1,134614
2015-02-03 15:15:00+05:30,55.1,55.35,54.85,55.35,1121
2015-02-04 09:15:00+05:30,55.35,55.5,55.1,55.15,15807
2015-02-04 10:15:00+05:30,55.15,55.2,55.1,55.2,60283
2015-02-04 11:15:00+05:30,55.2,55.25,55.05,55.25,67968
2015-02-04 12:15:00+05:30,55.25,55.25,55.0,55.25,48712
2015-02-04 13:15:00+05:30,55.25,55.25,55.15,55.25,22265
2015-02-04 14:15:00+05:30,55.25,55.25,55.1,55.15,60298
2015-02-04 15:15:00+05:30,55.15,55.25,55.0,55.0,1611
2015-02-05 09:15:00+05:30,55.0,56.8,55.0,55.25,23564
2015-02-05 10:15:00+05:30,55.25,55.4,55.15,55.2,36504
2015-02-05 11:15:00+05:30,55.15,55.25,55.05,55.2,86880
2015-02-05 12:15:00+05:30,55.2,55.25,55.15,55.25,13948
2015-02-05 13:15:00+05:30,55.25,55.25,55.0,55.2,51801
2015-02-05 14:15:00+05:30,55.2,55.25,54.95,55.0,65138
2015-02-05 15:15:00+05:30,55.0,55.0,54.25,54.8,2949
2015-02-06 09:15:00+05:30,54.8,55.6,54.8,55.15,10758
2015-02-06 10:15:00+05:30,55.15,55.2,55.0,55.2,71309
2015-02-06 11:15:00+05:30,55.2,55.2,55.0,55.15,35532
2015-02-06 12:15:00+05:30,55.15,55.2,55.0,55.05,67752
2015-02-06 13:15:00+05:30,55.05,55.05,54.95,55.0,6816
2015-02-06 14:15:00+05:30,55.0,55.15,54.65,54.65,92413
2015-02-06 15:15:00+05:30,54.65,55.1,54.65,54.65,36146
2015-02-09 09:15:00+05:30,55.45,55.45,55.1,55.2,13668
2015-02-09 10:15:00+05:30,55.2,55.3,55.05,55.1,88741
2015-02-09 11:15:00+05:30,55.1,55.1,55.0,55.0,4584
2015-02-09 12:15:00+05:30,55.0,55.0,55.0,55.0,489
2015-02-09 13:15:00+05:30,55.0,55.15,55.0,55.0,11787
2015-02-09 14:15:00+05:30,55.0,55.15,54.8,54.8,2603
2015-02-09 15:15:00+05:30,54.8,55.25,54.8,55.0,2599
2015-02-10 09:15:00+05:30,55.5,55.5,55.05,55.05,15483
2015-02-10 10:15:00+05:30,55.05,55.15,55.0,55.0,61677
2015-02-10 11:15:00+05:30,55.0,55.2,55.0,55.2,63369
2015-02-10 12:15:00+05:30,55.2,55.2,55.0,55.15,63303
2015-02-10 13:15:00+05:30,55.15,55.15,55.15,55.15,0
2015-02-10 14:15:00+05:30,55.15,55.35,55.1,55.25,14100
2015-02-10 15:15:00+05:30,55.25,55.25,55.0,55.05,24758
2015-02-11 09:15:00+05:30,56.8,56.8,55.1,55.3,20055
2015-02-11 10:15:00+05:30,55.3,55.3,55.2,55.2,26673
2015-02-11 11:15:00+05:30,55.2,55.3,55.1,55.15,81011
2015-02-11 12:15:00+05:30,55.15,55.25,55.1,55.25,29867
2015-02-11 13:15:00+05:30,55.25,55.3,55.1,55.3,20338
2015-02-11 14:15:00+05:30,55.3,55.5,55.25,55.5,496
2015-02-11 15:15:00+05:30,55.5,55.5,55.0,55.0,925
2015-02-12 09:15:00+05:30,56.4,56.4,55.1,55.25,22919
2015-02-12 10:15:00+05:30,55.25,55.25,55.05,55.15,94391
2015-02-12 11:15:00+05:30,55.1,55.2,55.1,55.2,48958
2015-02-12 12:15:00+05:30,55.2,55.25,55.05,55.1,30527
2015-02-12 13:15:00+05:30,55.1,55.2,55.1,55.1,10
2015-02-12 14:15:00+05:30,55.2,55.25,55.0,55.0,1982
2015-02-12 15:15:00+05:30,55.0,55.5,55.0,55.5,1129
2015-02-13 09:15:00+05:30,55.5,55.5,55.1,55.15,23928
2015-02-13 10:15:00+05:30,55.25,55.25,55.05,55.1,83021
2015-02-13 11:15:00+05:30,55.05,55.1,55.0,55.1,49801
2015-02-13 12:15:00+05:30,55.05,55.1,55.0,55.0,300
2015-02-13 13:15:00+05:30,55.0,55.15,55.0,55.15,15053
2015-02-13 14:15:00+05:30,55.05,55.2,55.0,55.0,14276
2015-02-13 15:15:00+05:30,55.0,55.15,55.0,55.0,729
