date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,156.45,160.3,155.8,158.45,485800
2015-02-02 10:15:00+05:30,158.45,165.7,158.15,164.5,1925653
2015-02-02 11:15:00+05:30,164.4,164.4,162.75,163.35,895530
2015-02-02 12:15:00+05:30,163.35,163.35,161.85,162.0,746784
2015-02-02 13:15:00+05:30,162.05,162.9,160.9,162.0,642769
2015-02-02 14:15:00+05:30,162.0,162.35,161.05,161.5,465433
2015-02-02 15:15:00+05:30,161.5,162.0,161.2,161.45,321248
2015-02-03 09:15:00+05:30,161.65,162.5,159.3,159.35,505260
2015-02-03 10:15:00+05:30,159.35,161.05,159.0,160.65,281665
2015-02-03 11:15:00+05:30,160.75,160.95,157.25,157.85,408653
2015-02-03 12:15:00+05:30,157.85,158.9,157.6,157.95,340956
2015-02-03 13:15:00+05:30,157.95,158.95,157.45,158.25,113618
2015-02-03 14:15:00+05:30,158.25,159.0,158.25,158.55,188209
2015-02-03 15:15:00+05:30,158.55,158.7,157.85,158.05,109635
2015-02-04 09:15:00+05:30,158.55,159.3,156.8,157.4,217793
2015-02-04 10:15:00+05:30,157.4,161.1,157.1,160.6,438992
2015-02-04 11:15:00+05:30,160.6,161.0,159.0,159.55,233692
2015-02-04 12:15:00+05:30,159.55,159.55,158.15,158.35,206917
2015-02-04 13:15:00+05:30,158.35,158.6,157.75,158.1,118573
2015-02-04 14:15:00+05:30,158.1,158.55,156.75,156.75,246886
2015-02-04 15:15:00+05:30,156.75,156.8,155.7,156.3,114806
2015-02-05 09:15:00+05:30,157.2,157.85,155.55,155.6,258159
2015-02-05 10:15:00+05:30,155.7,156.15,155.0,155.7,142250
2015-02-05 11:15:00+05:30,155.65,155.95,155.05,155.1,284658
2015-02-05 12:15:00+05:30,155.1,155.25,154.55,154.95,238004
2015-02-05 13:15:00+05:30,154.95,155.15,154.1,154.8,527019
2015-02-05 14:15:00+05:30,154.8,155.05,153.1,153.15,650518
2015-02-05 15:15:00+05:30,153.1,153.15,151.65,152.25,321510
2015-02-06 09:15:00+05:30,152.35,152.75,150.75,150.85,344337
2015-02-06 10:15:00+05:30,150.85,151.0,149.7,150.55,193882
2015-02-06 11:15:00+05:30,150.55,150.85,149.85,150.85,197973
2015-02-06 12:15:00+05:30,150.85,151.95,150.6,151.05,162624
2015-02-06 13:15:00+05:30,150.95,151.5,150.65,151.4,91161
2015-02-06 14:15:00+05:30,151.4,151.4,149.75,150.05,238226
2015-02-06 15:15:00+05:30,150.05,151.45,149.95,151.1,179814
2015-02-09 09:15:00+05:30,148.95,151.0,148.85,149.35,159320
2015-02-09 10:15:00+05:30,149.35,149.75,148.9,149.35,207145
2015-02-09 11:15:00+05:30,149.35,149.35,147.2,147.35,349526
2015-02-09 12:15:00+05:30,147.35,148.6,147.15,148.45,174099
2015-02-09 13:15:00+05:30,148.55,148.8,147.95,147.95,83269
