date,open,high,low,close,volume
2021-12-13 09:15:00+05:30,701.0,766.75,701.0,748.0,6571949
2021-12-13 10:15:00+05:30,748.3,748.3,713.35,733.95,3582336
2021-12-13 11:15:00+05:30,733.6,741.9,732.0,734.05,718679
2021-12-13 12:15:00+05:30,734.3,737.5,726.2,730.55,806325
2021-12-13 13:15:00+05:30,730.95,740.0,728.5,733.4,718400
2021-12-13 14:15:00+05:30,733.15,748.1,729.0,730.5,1906672
2021-12-13 15:15:00+05:30,730.3,730.85,716.2,718.0,903441
2021-12-14 09:15:00+05:30,713.95,723.65,687.55,692.55,1652475
2021-12-14 10:15:00+05:30,692.15,697.0,667.0,669.15,1017330
2021-12-14 11:15:00+05:30,669.1,683.8,669.1,679.8,495197
2021-12-14 12:15:00+05:30,679.45,683.5,673.0,677.55,219693
2021-12-14 13:15:00+05:30,677.55,679.0,673.05,674.75,171299
2021-12-14 14:15:00+05:30,674.75,674.8,658.2,661.45,678724
2021-12-14 15:15:00+05:30,661.45,661.7,650.15,652.0,397936
2021-12-15 09:15:00+05:30,646.9,653.9,631.0,647.65,1266935
2021-12-15 10:15:00+05:30,647.7,649.55,640.05,643.0,272324
2021-12-15 11:15:00+05:30,643.35,643.6,634.6,636.75,187573
2021-12-15 12:15:00+05:30,636.5,636.5,621.85,625.65,286250
2021-12-15 13:15:00+05:30,625.65,628.8,622.0,624.8,158964
2021-12-15 14:15:00+05:30,624.8,628.85,616.4,616.6,291464
2021-12-15 15:15:00+05:30,616.85,617.4,612.2,616.0,208483
2021-12-16 09:15:00+05:30,622.7,633.7,605.15,607.45,676409
2021-12-16 10:15:00+05:30,607.5,611.8,602.2,608.7,324136
2021-12-16 11:15:00+05:30,608.7,613.2,593.05,598.55,308377
2021-12-16 12:15:00+05:30,598.55,602.55,593.45,598.5,205801
2021-12-16 13:15:00+05:30,598.5,616.5,596.7,609.4,474901
2021-12-16 14:15:00+05:30,609.2,637.0,608.5,633.7,1253080
2021-12-16 15:15:00+05:30,633.55,634.4,626.15,628.0,201942
2021-12-17 09:15:00+05:30,634.5,634.5,608.1,616.25,515437
2021-12-17 10:15:00+05:30,616.75,617.0,610.6,615.35,107350
2021-12-17 11:15:00+05:30,615.4,616.8,611.0,613.35,63739
2021-12-17 12:15:00+05:30,613.0,621.15,612.0,617.1,99630
2021-12-17 13:15:00+05:30,617.4,624.7,616.0,621.15,165522
2021-12-17 14:15:00+05:30,621.15,621.5,613.25,616.75,241390
2021-12-17 15:15:00+05:30,616.5,617.0,600.0,604.8,137439
2021-12-20 09:15:00+05:30,595.1,599.75,573.45,574.0,340861
2021-12-20 10:15:00+05:30,574.0,579.65,570.4,579.15,153799
2021-12-20 11:15:00+05:30,579.0,579.65,561.1,562.0,174861
2021-12-20 12:15:00+05:30,562.0,562.15,545.7,556.45,286803
2021-12-20 13:15:00+05:30,557.6,576.8,556.55,575.45,245809
2021-12-20 14:15:00+05:30,575.2,579.65,565.05,567.8,175309
2021-12-20 15:15:00+05:30,567.8,573.55,566.0,570.2,116837
2021-12-21 09:15:00+05:30,581.6,596.5,577.1,580.3,323334
2021-12-21 10:15:00+05:30,580.3,581.65,572.85,575.85,153692
2021-12-21 11:15:00+05:30,575.85,582.0,575.45,579.5,56979
2021-12-21 12:15:00+05:30,578.95,585.95,574.35,585.0,120660
2021-12-21 13:15:00+05:30,585.0,586.65,580.45,580.85,78167
2021-12-21 14:15:00+05:30,580.85,580.85,574.2,576.75,89698
2021-12-21 15:15:00+05:30,576.75,577.4,570.0,573.8,59625
2021-12-22 09:15:00+05:30,575.0,603.3,575.0,598.0,390748
2021-12-22 10:15:00+05:30,597.65,601.3,591.95,593.05,174357
2021-12-22 11:15:00+05:30,593.05,597.8,591.0,593.95,90293
2021-12-22 12:15:00+05:30,593.5,593.95,590.1,591.05,33154
2021-12-22 13:15:00+05:30,591.05,593.35,590.55,592.85,29995
2021-12-22 14:15:00+05:30,592.85,598.25,591.75,594.35,103219
2021-12-22 15:15:00+05:30,594.35,600.0,594.1,597.5,65434
2021-12-23 09:15:00+05:30,603.5,609.0,596.25,597.45,185772
2021-12-23 10:15:00+05:30,596.6,598.1,585.05,588.4,88435
2021-12-23 11:15:00+05:30,588.75,588.9,585.0,588.45,38372
2021-12-23 12:15:00+05:30,588.45,589.3,585.5,585.5,24047
2021-12-23 13:15:00+05:30,585.5,587.2,582.15,584.0,46826
2021-12-23 14:15:00+05:30,584.0,585.7,582.25,583.2,38476
2021-12-23 15:15:00+05:30,583.15,583.95,580.0,581.9,46775
2021-12-24 09:15:00+05:30,594.0,594.7,580.25,582.7,197888
2021-12-24 10:15:00+05:30,582.7,587.4,580.85,584.9,65245
2021-12-24 11:15:00+05:30,584.9,586.5,583.0,585.9,32770
2021-12-24 12:15:00+05:30,585.9,588.0,585.0,586.05,27453
2021-12-24 13:15:00+05:30,586.05,589.05,585.0,587.4,27877
2021-12-24 14:15:00+05:30,587.4,587.5,583.6,584.8,75235
2021-12-24 15:15:00+05:30,584.8,587.7,583.0,585.0,41307
2021-12-27 09:15:00+05:30,575.0,581.65,571.7,577.75,83936
2021-12-27 10:15:00+05:30,578.0,587.05,574.15,581.4,85488
2021-12-27 11:15:00+05:30,582.15,583.5,577.35,579.2,33395
2021-12-27 12:15:00+05:30,579.2,579.6,576.05,576.4,12242
2021-12-27 13:15:00+05:30,576.3,578.8,575.3,575.45,19374
2021-12-27 14:15:00+05:30,575.45,576.8,575.05,575.85,39515
2021-12-27 15:15:00+05:30,575.85,580.0,575.0,579.0,33147
2021-12-28 09:15:00+05:30,586.3,591.65,580.0,591.2,82217
2021-12-28 10:15:00+05:30,591.2,595.8,585.0,585.1,93301
2021-12-28 11:15:00+05:30,585.1,585.95,583.9,585.1,13645
2021-12-28 12:15:00+05:30,585.05,585.75,584.3,585.5,11817
2021-12-28 13:15:00+05:30,585.5,585.85,582.75,585.0,30993
2021-12-28 14:15:00+05:30,585.0,585.55,582.25,584.65,40980
2021-12-28 15:15:00+05:30,584.65,585.0,581.0,581.05,29961
2021-12-29 09:15:00+05:30,588.0,590.9,583.5,585.0,79157
2021-12-29 10:15:00+05:30,585.0,585.85,582.3,585.2,40655
2021-12-29 11:15:00+05:30,585.2,621.9,584.45,617.25,424012
2021-12-29 12:15:00+05:30,617.2,618.95,610.65,611.5,193112
2021-12-29 13:15:00+05:30,611.5,614.75,603.65,608.4,146253
2021-12-29 14:15:00+05:30,608.45,609.0,601.0,602.5,89537
2021-12-29 15:15:00+05:30,603.0,603.8,601.65,603.8,49044
2021-12-30 09:15:00+05:30,605.9,611.7,603.85,607.1,98078
2021-12-30 10:15:00+05:30,607.5,608.45,604.0,604.0,35313
2021-12-30 11:15:00+05:30,604.0,607.0,598.45,603.0,42167
2021-12-30 12:15:00+05:30,603.0,604.0,601.8,603.0,10174
2021-12-30 13:15:00+05:30,603.0,603.95,600.45,600.45,14491
2021-12-30 14:15:00+05:30,600.45,603.0,597.0,598.0,31446
2021-12-30 15:15:00+05:30,598.0,598.0,589.15,592.3,36212
2021-12-31 09:15:00+05:30,591.0,606.0,591.0,600.0,82135
2021-12-31 10:15:00+05:30,600.0,607.8,598.55,599.3,70200
2021-12-31 11:15:00+05:30,599.3,600.95,599.0,599.65,11658
2021-12-31 12:15:00+05:30,599.65,600.25,599.2,599.7,8786
2021-12-31 13:15:00+05:30,599.7,602.75,599.1,600.0,17240
2021-12-31 14:15:00+05:30,600.0,601.4,595.2,595.3,28756
2021-12-31 15:15:00+05:30,596.65,596.95,588.5,589.7,34397
2022-01-03 09:15:00+05:30,596.0,601.6,594.15,600.0,52297
2022-01-03 10:15:00+05:30,600.0,606.6,599.15,600.05,367217
2022-01-03 11:15:00+05:30,600.05,601.45,596.15,600.55,27888
2022-01-03 12:15:00+05:30,600.55,600.95,596.5,599.35,15863
2022-01-03 13:15:00+05:30,599.35,600.0,596.45,597.15,14001
2022-01-03 14:15:00+05:30,597.15,597.95,594.25,595.5,29692
2022-01-03 15:15:00+05:30,595.9,595.95,592.8,595.95,24211
2022-01-04 09:15:00+05:30,599.15,603.25,596.45,599.8,72486
2022-01-04 10:15:00+05:30,599.6,600.0,597.0,599.75,30203
2022-01-04 11:15:00+05:30,599.8,605.9,597.25,602.15,76547
2022-01-04 12:15:00+05:30,602.15,602.75,600.0,600.0,21063
2022-01-04 13:15:00+05:30,600.0,602.0,598.15,600.35,23339
2022-01-04 14:15:00+05:30,600.35,601.0,596.1,596.95,58585
2022-01-04 15:15:00+05:30,596.95,600.7,596.0,600.35,22731
2022-01-05 09:15:00+05:30,595.0,598.75,591.25,594.75,42284
2022-01-05 10:15:00+05:30,594.75,595.7,591.0,592.25,18418
2022-01-05 11:15:00+05:30,592.25,603.0,591.15,596.0,79918
2022-01-05 12:15:00+05:30,596.0,596.3,590.6,593.45,25953
2022-01-05 13:15:00+05:30,593.45,595.0,590.8,593.95,21384
2022-01-05 14:15:00+05:30,593.95,595.15,592.0,593.05,29082
2022-01-05 15:15:00+05:30,593.1,594.55,593.0,594.0,14097
2022-01-06 09:15:00+05:30,571.0,600.25,571.0,600.15,120103
2022-01-06 10:15:00+05:30,600.15,602.45,593.85,595.95,86428
2022-01-06 11:15:00+05:30,595.95,596.75,593.4,594.65,21243
2022-01-06 12:15:00+05:30,594.55,595.9,593.1,593.1,15132
2022-01-06 13:15:00+05:30,593.1,599.0,593.0,594.95,24840
2022-01-06 14:15:00+05:30,594.95,594.95,590.15,590.85,30096
2022-01-06 15:15:00+05:30,590.85,596.0,590.85,594.5,32366
2022-01-07 09:15:00+05:30,585.15,592.9,580.0,591.7,349120
2022-01-07 10:15:00+05:30,590.85,592.5,587.0,587.4,76729
2022-01-07 11:15:00+05:30,587.45,588.0,583.0,585.9,53705
2022-01-07 12:15:00+05:30,585.9,586.1,584.1,585.95,27624
2022-01-07 13:15:00+05:30,585.55,586.35,585.0,585.1,25465
2022-01-07 14:15:00+05:30,585.45,589.0,585.0,587.15,98357
2022-01-07 15:15:00+05:30,587.0,589.45,586.0,588.0,56233
2022-01-10 09:15:00+05:30,590.0,597.45,588.2,594.7,67183
2022-01-10 10:15:00+05:30,594.65,595.0,591.05,592.0,19977
2022-01-10 11:15:00+05:30,592.0,594.0,589.25,593.95,19426
2022-01-10 12:15:00+05:30,593.95,604.8,593.2,598.5,133293
2022-01-10 13:15:00+05:30,598.25,601.0,597.75,598.0,28847
2022-01-10 14:15:00+05:30,598.0,599.7,596.6,596.9,30278
2022-01-10 15:15:00+05:30,596.9,597.65,590.0,590.0,29300
2022-01-11 09:15:00+05:30,597.9,601.7,593.35,595.25,54030
2022-01-11 10:15:00+05:30,596.1,596.15,593.0,594.0,25870
2022-01-11 11:15:00+05:30,594.0,594.85,592.15,593.95,16017
2022-01-11 12:15:00+05:30,593.95,595.6,590.55,591.85,24755
2022-01-11 13:15:00+05:30,591.85,593.3,591.05,591.7,12507
2022-01-11 14:15:00+05:30,591.7,594.0,590.45,593.05,41334
2022-01-11 15:15:00+05:30,593.05,594.0,591.1,591.1,19312
2022-01-12 09:15:00+05:30,592.05,595.0,591.5,592.7,46981
2022-01-12 10:15:00+05:30,592.75,603.6,591.0,598.6,155433
2022-01-12 11:15:00+05:30,598.6,600.95,594.6,597.8,52963
2022-01-12 12:15:00+05:30,597.8,600.75,596.0,600.0,23287
2022-01-12 13:15:00+05:30,600.0,604.75,597.0,601.2,65539
2022-01-12 14:15:00+05:30,601.2,601.95,597.0,598.05,45496
2022-01-12 15:15:00+05:30,598.05,598.85,596.0,597.85,23571
2022-01-13 09:15:00+05:30,601.9,601.9,594.0,596.7,27290
2022-01-13 10:15:00+05:30,596.7,597.3,594.65,595.45,13719
2022-01-13 11:15:00+05:30,595.45,596.55,595.0,596.55,9722
2022-01-13 12:15:00+05:30,596.55,596.55,594.45,595.05,7115
2022-01-13 13:15:00+05:30,595.05,599.3,594.9,597.0,124327
2022-01-13 14:15:00+05:30,597.0,597.9,595.2,597.0,17354
2022-01-13 15:15:00+05:30,597.0,597.95,594.0,595.6,20676
2022-01-14 09:15:00+05:30,594.0,601.0,592.2,595.9,249782
2022-01-14 10:15:00+05:30,595.9,597.95,594.5,597.95,14603
2022-01-14 11:15:00+05:30,597.95,598.0,594.5,595.0,12520
2022-01-14 12:15:00+05:30,595.4,596.0,593.7,594.0,14727
2022-01-14 13:15:00+05:30,594.0,594.95,593.15,593.9,15484
2022-01-14 14:15:00+05:30,593.9,594.25,592.1,593.3,22734
2022-01-14 15:15:00+05:30,593.3,593.3,584.4,590.95,173028
2022-01-17 09:15:00+05:30,590.0,597.05,589.35,595.4,56726
2022-01-17 10:15:00+05:30,595.4,602.8,594.45,595.0,116001
2022-01-17 11:15:00+05:30,595.0,595.5,594.15,595.0,19536
2022-01-17 12:15:00+05:30,595.0,598.5,594.2,595.2,26145
2022-01-17 13:15:00+05:30,595.2,595.65,594.05,595.0,11162
2022-01-17 14:15:00+05:30,595.0,596.0,594.0,594.9,27461
2022-01-17 15:15:00+05:30,594.9,595.6,592.4,594.0,24700
2022-01-18 09:15:00+05:30,598.0,599.5,590.05,592.1,57836
2022-01-18 10:15:00+05:30,592.05,592.4,589.8,591.55,89841
2022-01-18 11:15:00+05:30,591.85,592.0,589.45,591.65,105284
2022-01-18 12:15:00+05:30,591.65,591.7,590.1,591.0,23907
2022-01-18 13:15:00+05:30,591.1,591.55,589.0,590.95,46276
2022-01-18 14:15:00+05:30,590.95,598.65,590.05,591.75,116788
2022-01-18 15:15:00+05:30,591.75,592.5,589.0,589.4,26261
2022-01-19 09:15:00+05:30,590.0,596.0,585.85,593.0,65724
2022-01-19 10:15:00+05:30,593.0,594.0,589.2,590.25,15686
2022-01-19 11:15:00+05:30,590.25,591.1,586.05,586.1,16608
2022-01-19 12:15:00+05:30,586.6,588.05,583.1,585.35,35487
2022-01-19 13:15:00+05:30,585.0,586.7,584.15,585.0,19156
2022-01-19 14:15:00+05:30,585.0,585.3,583.0,583.9,21935
2022-01-19 15:15:00+05:30,583.9,585.0,574.7,580.0,38382
2022-01-20 09:15:00+05:30,584.6,587.75,578.45,580.75,43948
2022-01-20 10:15:00+05:30,580.75,582.0,579.25,579.4,9881
2022-01-20 11:15:00+05:30,579.4,580.95,575.0,576.3,13979
2022-01-20 12:15:00+05:30,576.3,578.1,571.35,572.45,30431
2022-01-20 13:15:00+05:30,571.8,575.0,571.25,573.4,20097
2022-01-20 14:15:00+05:30,573.4,575.0,570.5,571.6,30534
2022-01-20 15:15:00+05:30,571.6,573.7,570.0,570.8,18369
2022-01-21 09:15:00+05:30,571.0,574.55,562.55,563.9,43092
2022-01-21 10:15:00+05:30,563.9,563.95,561.1,562.0,13037
2022-01-21 11:15:00+05:30,562.0,562.55,559.0,562.5,20155
2022-01-21 12:15:00+05:30,562.5,564.65,561.65,562.7,13602
2022-01-21 13:15:00+05:30,562.7,563.55,557.0,557.0,22251
