date,open,high,low,close,volume
2025-09-18 09:15:00+05:30,49.65,56.69,49.65,53.75,919982
2025-09-18 10:15:00+05:30,53.75,54.0,52.14,52.75,126688
2025-09-18 11:15:00+05:30,52.75,53.3,51.7,52.49,86741
2025-09-18 12:15:00+05:30,52.49,52.75,51.45,52.2,29185
2025-09-18 13:15:00+05:30,52.38,52.89,51.5,51.8,53641
2025-09-18 14:15:00+05:30,51.8,51.84,50.75,51.0,67202
2025-09-18 15:15:00+05:30,51.0,51.79,50.75,51.79,58021
2025-09-19 09:15:00+05:30,52.04,54.9,52.04,53.5,151074
2025-09-19 10:15:00+05:30,53.5,53.79,52.55,52.78,81009
2025-09-19 11:15:00+05:30,52.78,53.0,52.71,52.83,23419
2025-09-19 12:15:00+05:30,52.81,53.0,52.71,52.78,24276
2025-09-19 13:15:00+05:30,52.78,52.91,50.0,50.17,194014
2025-09-19 14:15:00+05:30,50.17,50.9,50.17,50.78,46556
2025-09-19 15:15:00+05:30,50.78,50.84,50.1,50.2,43073
2025-09-22 09:15:00+05:30,50.73,51.79,50.51,51.05,67571
2025-09-22 10:15:00+05:30,51.04,51.25,50.52,50.74,35137
2025-09-22 11:15:00+05:30,50.84,50.95,48.87,48.96,63927
2025-09-22 12:15:00+05:30,48.96,48.96,46.0,47.77,59891
2025-09-22 13:15:00+05:30,47.76,47.8,46.55,47.23,43136
2025-09-22 14:15:00+05:30,47.23,47.23,45.22,45.8,84579
2025-09-22 15:15:00+05:30,45.85,46.98,45.85,46.48,81973
2025-09-23 09:15:00+05:30,46.5,47.29,46.26,47.05,66504
2025-09-23 10:15:00+05:30,47.1,51.8,47.05,50.81,265231
2025-09-23 11:15:00+05:30,50.58,53.0,49.3,52.2,341190
2025-09-23 12:15:00+05:30,52.2,54.37,51.29,52.29,273997
2025-09-23 13:15:00+05:30,52.29,53.9,51.81,53.39,198308
2025-09-23 14:15:00+05:30,53.5,53.61,52.07,52.15,224748
2025-09-23 15:15:00+05:30,52.19,52.46,51.6,51.7,100776
2025-09-24 09:15:00+05:30,51.51,51.51,50.11,51.13,77679
2025-09-24 10:15:00+05:30,51.13,51.35,50.1,50.5,44072
2025-09-24 11:15:00+05:30,50.5,50.88,50.15,50.61,18006
2025-09-24 12:15:00+05:30,50.61,50.95,50.61,50.95,3574
2025-09-24 13:15:00+05:30,50.95,51.19,50.63,50.65,4647
2025-09-24 14:15:00+05:30,50.65,50.66,50.0,50.1,33334
2025-09-24 15:15:00+05:30,50.1,50.61,49.97,50.3,30186
2025-09-25 09:15:00+05:30,50.0,51.0,50.0,50.46,34411
2025-09-25 10:15:00+05:30,50.46,50.46,50.05,50.27,4922
2025-09-25 11:15:00+05:30,50.27,50.5,50.05,50.06,17812
2025-09-25 12:15:00+05:30,50.05,50.5,50.0,50.03,13968
2025-09-25 13:15:00+05:30,50.03,50.45,49.75,50.14,25369
2025-09-25 14:15:00+05:30,50.14,50.14,49.8,49.8,15416
2025-09-25 15:15:00+05:30,49.8,49.95,49.25,49.65,213693
2025-09-26 09:15:00+05:30,50.5,50.5,48.11,48.96,23286
2025-09-26 10:15:00+05:30,48.8,50.07,48.1,49.15,31601
2025-09-26 11:15:00+05:30,49.15,49.85,48.72,49.23,11427
2025-09-26 12:15:00+05:30,49.23,49.25,48.75,49.22,4992
2025-09-26 13:15:00+05:30,49.25,49.51,48.71,48.71,8992
2025-09-26 14:15:00+05:30,48.71,48.71,47.0,47.6,25474
2025-09-26 15:15:00+05:30,47.6,47.99,47.1,47.1,17532
2025-09-29 09:15:00+05:30,47.01,49.69,47.01,48.44,66860
2025-09-29 10:15:00+05:30,48.44,49.15,47.0,47.7,47278
2025-09-29 11:15:00+05:30,47.7,48.26,47.0,47.3,23449
2025-09-29 12:15:00+05:30,47.3,47.73,47.3,47.68,2158
2025-09-29 13:15:00+05:30,47.68,48.0,47.37,47.71,5606
2025-09-29 14:15:00+05:30,47.71,47.9,47.54,47.76,9177
2025-09-29 15:15:00+05:30,47.89,48.0,47.5,47.5,9540
2025-09-30 09:15:00+05:30,48.75,48.75,47.5,48.16,22988
2025-09-30 10:15:00+05:30,48.16,48.2,46.75,47.28,31106
2025-09-30 11:15:00+05:30,47.28,47.5,47.11,47.38,11241
2025-09-30 12:15:00+05:30,47.36,47.46,47.22,47.38,2301
2025-09-30 13:15:00+05:30,47.38,47.38,47.0,47.08,4676
2025-09-30 14:15:00+05:30,47.08,47.39,47.05,47.17,6456
2025-09-30 15:15:00+05:30,47.17,47.29,46.76,46.95,13201
2025-10-01 09:15:00+05:30,47.28,47.88,46.98,47.33,25022
2025-10-01 10:15:00+05:30,47.33,47.37,47.17,47.17,2640
2025-10-01 11:15:00+05:30,47.17,47.37,46.1,46.44,23015
2025-10-01 12:15:00+05:30,46.44,46.63,46.26,46.56,7074
2025-10-01 13:15:00+05:30,46.56,46.56,46.19,46.42,7341
2025-10-01 14:15:00+05:30,46.38,46.55,46.11,46.2,11221
2025-10-01 15:15:00+05:30,46.2,46.7,46.11,46.7,14953
2025-10-03 09:15:00+05:30,47.21,47.22,46.25,47.16,29786
2025-10-03 10:15:00+05:30,47.28,47.75,47.05,47.45,16884
2025-10-03 11:15:00+05:30,47.45,48.94,47.15,48.34,28217
2025-10-03 12:15:00+05:30,48.34,48.62,48.01,48.48,26664
2025-10-03 13:15:00+05:30,48.48,48.5,47.76,47.96,4492
2025-10-03 14:15:00+05:30,47.96,48.0,47.66,47.8,19593
2025-10-03 15:15:00+05:30,47.8,47.99,47.4,47.99,16593
2025-10-06 09:15:00+05:30,48.0,49.14,47.61,48.14,16847
2025-10-06 10:15:00+05:30,48.14,48.5,48.01,48.07,23236
