date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,75.59,75.59,72.95,73.3,577645
2015-02-02 10:15:00+05:30,73.3,74.39,72.82,74.26,211060
2015-02-02 11:15:00+05:30,74.26,75.06,73.23,74.16,487755
2015-02-02 12:15:00+05:30,74.19,74.2,73.6,73.69,118675
2015-02-02 13:15:00+05:30,73.69,74.5,73.62,74.22,111935
2015-02-02 14:15:00+05:30,74.22,79.31,74.19,78.8,1978065
2015-02-02 15:15:00+05:30,78.92,80.74,78.92,79.55,1277455
2015-02-03 09:15:00+05:30,80.17,80.48,78.43,79.2,674680
2015-02-03 10:15:00+05:30,79.18,84.98,78.62,82.87,2233010
2015-02-03 11:15:00+05:30,82.87,83.03,81.58,82.51,378415
2015-02-03 12:15:00+05:30,82.51,92.81,82.1,90.16,5855295
2015-02-03 13:15:00+05:30,90.12,93.28,90.12,91.09,2136170
2015-02-03 14:15:00+05:30,91.0,95.13,90.2,91.6,3583220
2015-02-03 15:15:00+05:30,91.69,92.36,90.71,91.54,503390
2015-02-04 09:15:00+05:30,91.94,91.95,85.7,86.7,1337905
2015-02-04 10:15:00+05:30,86.7,88.2,86.27,87.49,526405
2015-02-04 11:15:00+05:30,87.57,88.19,86.8,87.1,190455
2015-02-04 12:15:00+05:30,87.1,87.6,86.82,87.3,73885
2015-02-04 13:15:00+05:30,87.3,87.31,86.48,86.75,99875
2015-02-04 14:15:00+05:30,86.76,86.95,85.02,85.4,301460
2015-02-04 15:15:00+05:30,85.41,86.0,85.05,85.8,251255
2015-02-05 09:15:00+05:30,86.15,92.2,85.45,89.89,2883460
2015-02-05 10:15:00+05:30,89.92,90.57,89.52,90.35,232325
2015-02-05 11:15:00+05:30,90.36,90.99,90.0,90.38,264550
2015-02-05 12:15:00+05:30,90.32,96.07,90.3,95.38,3169095
2015-02-05 13:15:00+05:30,95.27,96.5,92.88,93.76,1517575
2015-02-05 14:15:00+05:30,93.76,93.76,89.75,90.45,1212030
2015-02-05 15:15:00+05:30,90.45,90.66,89.12,90.45,404230
2015-02-06 09:15:00+05:30,90.56,93.16,90.4,91.67,1152725
2015-02-06 10:15:00+05:30,91.64,93.61,91.02,91.81,827210
2015-02-06 11:15:00+05:30,91.82,92.8,91.2,92.16,283210
2015-02-06 12:15:00+05:30,92.14,92.52,89.44,89.5,475440
2015-02-06 13:15:00+05:30,89.6,91.98,87.65,91.36,1173615
2015-02-06 14:15:00+05:30,91.36,92.9,90.1,91.88,921035
2015-02-06 15:15:00+05:30,91.82,92.84,91.74,92.28,323225
2015-02-09 09:15:00+05:30,90.99,90.99,87.4,88.79,668615
2015-02-09 10:15:00+05:30,88.79,89.58,88.2,88.22,238655
2015-02-09 11:15:00+05:30,88.22,88.57,87.5,87.8,165325
2015-02-09 12:15:00+05:30,87.8,88.46,87.4,88.0,122425
2015-02-09 13:15:00+05:30,88.0,88.15,85.6,85.73,267740
2015-02-09 14:15:00+05:30,85.73,86.4,84.45,85.2,300700
2015-02-09 15:15:00+05:30,85.18,85.18,84.0,84.3,249800
2015-02-10 09:15:00+05:30,82.4,89.18,81.26,87.53,1778670
2015-02-10 10:15:00+05:30,87.53,87.53,86.1,86.89,324635
2015-02-10 11:15:00+05:30,86.89,88.2,85.27,85.54,379750
2015-02-10 12:15:00+05:30,85.6,85.67,83.42,83.42,409475
2015-02-10 13:15:00+05:30,83.42,83.9,80.26,81.54,514340
2015-02-10 14:15:00+05:30,81.5,83.39,81.4,82.74,475290
2015-02-10 15:15:00+05:30,82.74,83.8,82.05,83.8,252935
2015-02-11 09:15:00+05:30,84.18,87.41,84.01,86.98,852560
2015-02-11 10:15:00+05:30,86.9,88.2,86.05,86.85,463625
2015-02-11 11:15:00+05:30,86.85,87.78,86.11,86.97,154080
2015-02-11 12:15:00+05:30,86.97,87.2,86.27,86.76,69645
2015-02-11 13:15:00+05:30,86.69,86.76,86.02,86.38,90890
2015-02-11 14:15:00+05:30,86.49,88.1,86.38,86.58,437040
2015-02-11 15:15:00+05:30,86.58,88.3,86.46,87.8,340180
2015-02-12 09:15:00+05:30,88.41,90.22,87.7,88.26,694575
2015-02-12 10:15:00+05:30,88.26,88.9,88.0,88.52,92475
2015-02-12 11:15:00+05:30,88.52,90.0,87.74,88.76,340655
2015-02-12 12:15:00+05:30,88.76,88.8,88.11,88.33,78760
2015-02-12 13:15:00+05:30,88.32,88.98,88.25,88.76,72790
2015-02-12 14:15:00+05:30,88.77,93.27,88.61,91.79,1739270
2015-02-12 15:15:00+05:30,91.78,91.8,90.42,90.84,282815
2015-02-13 09:15:00+05:30,91.69,92.14,90.24,90.64,508620
2015-02-13 10:15:00+05:30,90.64,90.9,90.18,90.6,106835
2015-02-13 11:15:00+05:30,90.6,90.82,90.3,90.6,70855
2015-02-13 12:15:00+05:30,90.6,93.13,90.6,92.23,824080
2015-02-13 13:15:00+05:30,92.23,92.65,90.62,91.13,177340
2015-02-13 14:15:00+05:30,91.13,91.4,88.69,89.4,287425
2015-02-13 15:15:00+05:30,89.48,89.84,89.27,89.6,219180
2015-02-16 09:15:00+05:30,90.08,91.11,89.03,90.68,456170
2015-02-16 10:15:00+05:30,90.7,90.88,90.04,90.26,116240
2015-02-16 11:15:00+05:30,90.26,90.49,89.8,90.41,69020
