date,open,high,low,close,volume
2020-01-21 09:15:00+05:30,93.25,93.25,84.8,84.8,509
2020-01-21 10:15:00+05:30,84.8,84.8,84.8,84.8,10
2020-01-21 11:15:00+05:30,84.8,84.8,84.8,84.8,28
2020-01-21 12:15:00+05:30,84.8,84.8,84.8,84.8,102
2020-01-21 13:15:00+05:30,84.8,84.8,84.8,84.8,1
2020-01-21 14:15:00+05:30,84.8,84.8,84.8,84.8,100
2020-01-21 15:15:00+05:30,84.8,84.8,84.8,84.8,0
2020-01-22 09:15:00+05:30,80.6,80.6,80.6,80.6,0
2020-01-22 10:15:00+05:30,80.6,80.6,80.6,80.6,1
2020-01-22 11:15:00+05:30,80.6,80.6,80.6,80.6,25
2020-01-22 12:15:00+05:30,80.6,80.6,80.6,80.6,0
2020-01-22 13:15:00+05:30,80.6,80.6,80.6,80.6,26
2020-01-22 14:15:00+05:30,80.6,80.75,80.6,80.75,190
2020-01-23 09:15:00+05:30,76.6,76.6,76.6,76.6,1980
2020-01-23 10:15:00+05:30,76.6,76.6,76.6,76.6,0
2020-01-23 11:15:00+05:30,76.6,76.6,76.6,76.6,0
2020-01-23 12:15:00+05:30,76.6,76.6,76.6,76.6,52
2020-01-23 13:15:00+05:30,76.6,76.6,76.6,76.6,0
2020-01-23 14:15:00+05:30,76.6,76.6,76.6,76.6,10
2020-01-23 15:15:00+05:30,76.6,76.6,76.6,76.6,174
2020-01-24 09:15:00+05:30,72.8,72.8,72.8,72.8,65
2020-01-24 10:15:00+05:30,72.8,80.3,72.8,77.75,7881
2020-01-24 11:15:00+05:30,77.75,77.75,73.5,74.0,961
2020-01-24 12:15:00+05:30,74.0,74.8,74.0,74.75,610
2020-01-24 13:15:00+05:30,74.75,74.75,74.0,74.0,360
2020-01-24 14:15:00+05:30,74.0,75.0,74.0,74.0,562
2020-01-24 15:15:00+05:30,74.0,77.7,74.0,77.7,56
2020-01-27 09:15:00+05:30,77.8,77.8,77.2,77.2,15
2020-01-27 10:15:00+05:30,77.2,78.0,77.05,77.95,255
2020-01-27 11:15:00+05:30,77.95,77.95,75.0,75.0,543
2020-01-27 12:15:00+05:30,77.5,77.5,75.15,77.45,617
2020-01-27 13:15:00+05:30,77.45,77.5,77.45,77.5,1
2020-01-27 14:15:00+05:30,77.5,77.5,76.0,77.0,2519
2020-01-27 15:15:00+05:30,77.45,78.0,77.45,78.0,499
2020-01-28 09:15:00+05:30,80.0,80.0,79.95,79.95,217
2020-01-28 10:15:00+05:30,79.95,79.95,78.0,79.8,402
2020-01-28 11:15:00+05:30,79.8,79.8,79.8,79.8,10
2020-01-28 12:15:00+05:30,79.8,79.8,79.8,79.8,1
2020-01-28 13:15:00+05:30,79.8,79.8,78.1,78.1,10
2020-01-28 14:15:00+05:30,78.1,78.1,75.75,76.25,2720
2020-01-28 15:15:00+05:30,77.0,77.5,77.0,77.5,113
2020-01-29 13:15:00+05:30,77.45,77.45,77.45,77.45,5
2020-01-29 14:15:00+05:30,77.45,77.45,75.0,75.0,4188
2020-01-29 15:15:00+05:30,75.0,77.0,75.0,75.0,1066
2020-01-30 09:15:00+05:30,72.6,76.05,72.6,75.2,1260
2020-01-30 10:15:00+05:30,75.2,75.2,75.0,75.0,300
2020-01-30 11:15:00+05:30,75.0,75.9,75.0,75.0,500
2020-01-30 12:15:00+05:30,75.0,75.0,75.0,75.0,125
2020-01-30 13:15:00+05:30,75.0,76.0,73.0,74.5,626
2020-01-30 14:15:00+05:30,74.5,75.05,74.5,75.05,500
2020-01-30 15:15:00+05:30,75.05,75.05,75.05,75.05,0
2020-01-31 09:15:00+05:30,75.0,75.15,74.0,74.0,450
2020-01-31 10:15:00+05:30,75.25,76.0,75.25,76.0,600
2020-01-31 11:15:00+05:30,76.0,76.6,76.0,76.6,150
2020-01-31 12:15:00+05:30,76.5,76.5,75.5,75.75,1001
2020-01-31 13:15:00+05:30,75.75,75.75,75.75,75.75,0
2020-01-31 14:15:00+05:30,75.75,76.35,74.0,76.35,721
2020-02-01 09:15:00+05:30,75.15,75.45,75.15,75.45,876
2020-02-01 10:15:00+05:30,75.45,75.45,75.2,75.25,500
2020-02-01 11:15:00+05:30,75.25,75.5,75.25,75.5,250
2020-02-01 12:15:00+05:30,75.6,75.7,75.5,75.7,2748
2020-02-01 13:15:00+05:30,75.7,75.95,75.7,75.95,1002
2020-02-01 14:15:00+05:30,75.95,75.95,74.0,74.0,4305
2020-02-01 15:15:00+05:30,74.0,74.1,74.0,74.0,1297
2020-02-03 09:15:00+05:30,73.0,75.15,73.0,73.3,1036
2020-02-03 10:15:00+05:30,73.3,75.95,73.3,75.4,252
2020-02-03 11:15:00+05:30,75.4,75.75,74.8,75.5,2750
2020-02-03 12:15:00+05:30,75.5,75.5,74.0,74.3,1080
2020-02-03 13:15:00+05:30,74.3,74.3,74.3,74.3,0
2020-02-03 14:15:00+05:30,74.3,74.3,73.0,73.0,4605
