date,open,high,low,close,volume
2011-10-28 00:00:00+05:30,43.5,43.5,30.0,37.7,801326
2011-10-31 00:00:00+05:30,36.0,39.6,35.85,39.6,558435
2011-11-01 00:00:00+05:30,38.6,41.6,38.1,40.45,151199
2011-11-02 00:00:00+05:30,39.25,40.45,38.45,38.45,119503
2011-11-03 00:00:00+05:30,36.6,39.3,36.6,39.0,154568
2011-11-04 00:00:00+05:30,38.15,40.45,38.15,40.15,86876
2011-11-08 00:00:00+05:30,40.1,41.5,39.5,41.25,97688
2011-11-09 00:00:00+05:30,40.3,43.35,39.2,39.65,553088
2011-11-11 00:00:00+05:30,40.0,41.25,38.5,40.0,72581
2011-11-14 00:00:00+05:30,40.0,41.5,38.2,39.6,215570
2011-11-15 00:00:00+05:30,40.55,40.9,34.5,36.7,82895
2011-11-16 00:00:00+05:30,35.0,37.45,33.5,36.0,58722
2011-11-17 00:00:00+05:30,35.0,36.0,30.0,33.0,43607
2011-11-18 00:00:00+05:30,33.7,34.0,32.0,33.0,54218
2011-11-21 00:00:00+05:30,34.8,35.4,33.1,34.9,37337
2011-11-22 00:00:00+05:30,33.15,34.8,32.0,32.9,14835
2011-11-23 00:00:00+05:30,31.2,34.15,31.0,33.1,87554
2011-11-24 00:00:00+05:30,32.2,34.0,32.2,33.5,309000
2011-11-25 00:00:00+05:30,33.95,34.1,33.5,33.5,23815
2011-11-28 00:00:00+05:30,32.55,36.0,32.55,35.45,438565
2011-11-29 00:00:00+05:30,34.15,35.8,34.0,34.1,38571
2011-11-30 00:00:00+05:30,34.2,35.25,33.15,34.85,20072
2011-12-01 00:00:00+05:30,33.3,36.9,33.3,35.35,69496
2011-12-02 00:00:00+05:30,34.2,35.6,34.15,35.2,25838
2011-12-05 00:00:00+05:30,36.85,36.85,33.3,34.0,36284
2011-12-07 00:00:00+05:30,33.5,34.0,32.75,33.0,1759332
2011-12-08 00:00:00+05:30,33.5,35.85,32.9,35.55,110392
2011-12-09 00:00:00+05:30,34.15,35.5,34.0,35.4,16138
2011-12-12 00:00:00+05:30,34.5,35.85,33.25,33.8,16234
2011-12-13 00:00:00+05:30,33.15,35.2,33.0,33.7,58047
2011-12-14 00:00:00+05:30,33.2,35.2,33.15,33.7,1709052
2011-12-15 00:00:00+05:30,33.2,35.25,33.0,34.75,75413
2011-12-16 00:00:00+05:30,33.2,35.5,33.1,35.05,164030
2011-12-19 00:00:00+05:30,33.6,38.7,33.6,37.0,138882
2011-12-20 00:00:00+05:30,36.1,36.6,33.25,33.45,16575
2011-12-21 00:00:00+05:30,33.8,34.0,32.6,33.0,77605
2011-12-22 00:00:00+05:30,32.15,33.95,32.15,33.55,15866
2011-12-23 00:00:00+05:30,33.1,34.85,32.25,34.45,15551
2011-12-26 00:00:00+05:30,33.1,33.95,33.0,33.15,13731
2011-12-27 00:00:00+05:30,33.75,34.95,33.2,34.4,17983
2011-12-28 00:00:00+05:30,34.0,34.9,34.0,34.0,9218
2011-12-29 00:00:00+05:30,34.0,34.4,34.0,34.0,15301
2011-12-30 00:00:00+05:30,34.0,35.7,34.0,35.0,1636368
2012-01-02 00:00:00+05:30,34.8,35.45,33.35,34.65,22884
2012-01-03 00:00:00+05:30,33.5,35.0,33.5,34.3,7540
2012-01-04 00:00:00+05:30,33.5,34.85,33.5,34.5,3575
2012-01-05 00:00:00+05:30,34.05,34.5,34.0,34.0,7773
2012-01-06 00:00:00+05:30,35.8,35.8,34.0,34.55,7109
2012-01-09 00:00:00+05:30,34.9,36.45,33.2,36.15,14798
2012-01-10 00:00:00+05:30,36.95,39.85,35.2,38.9,97172
2012-01-11 00:00:00+05:30,39.0,41.35,38.95,39.5,21325
2012-01-12 00:00:00+05:30,40.15,40.8,38.0,40.35,12640
2012-01-13 00:00:00+05:30,40.45,44.0,39.5,40.9,303584
2012-01-16 00:00:00+05:30,42.5,42.5,39.0,40.0,85372
2012-01-17 00:00:00+05:30,40.0,41.8,39.5,40.1,96730
2012-01-18 00:00:00+05:30,39.0,40.5,37.15,37.5,16332
2012-01-19 00:00:00+05:30,37.7,39.75,37.5,37.55,16862
2012-01-20 00:00:00+05:30,37.1,39.75,37.1,37.65,25401
2012-01-23 00:00:00+05:30,38.0,39.7,37.5,37.6,52028
2012-01-24 00:00:00+05:30,37.05,39.0,36.6,38.5,73452
2012-01-25 00:00:00+05:30,38.0,39.25,37.35,38.95,15593
2012-01-27 00:00:00+05:30,39.0,39.1,38.0,38.0,28570
2012-01-30 00:00:00+05:30,38.0,39.2,38.0,39.0,8386
2012-01-31 00:00:00+05:30,38.1,39.5,38.1,39.05,42901
2012-02-01 00:00:00+05:30,39.8,39.8,38.0,38.85,14127
2012-02-02 00:00:00+05:30,39.2,39.4,38.1,38.15,7572
2012-02-03 00:00:00+05:30,38.75,38.75,37.2,37.3,13839
2012-02-06 00:00:00+05:30,37.15,39.4,37.15,39.3,63907
