date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,15.85,16.0,15.6,15.6,756
2015-02-02 10:15:00+05:30,15.6,16.0,15.6,16.0,127
2015-02-02 11:15:00+05:30,16.0,16.0,15.7,15.7,1100
2015-02-02 12:15:00+05:30,16.0,16.0,15.6,15.6,2350
2015-02-02 13:15:00+05:30,15.8,15.8,15.6,15.6,2833
2015-02-02 14:15:00+05:30,15.6,15.6,15.6,15.6,0
2015-02-02 15:15:00+05:30,15.6,15.9,15.6,15.7,801
2015-02-03 09:15:00+05:30,15.65,16.0,15.2,15.6,1055
2015-02-03 10:15:00+05:30,15.6,15.6,15.5,15.5,200
2015-02-03 11:15:00+05:30,15.5,15.7,15.5,15.7,50
2015-02-03 12:15:00+05:30,15.7,15.7,15.55,15.65,70
2015-02-03 13:15:00+05:30,15.55,15.7,15.55,15.7,978
2015-02-03 14:15:00+05:30,15.7,16.0,15.3,15.5,3343
2015-02-03 15:15:00+05:30,15.5,15.7,15.3,15.7,2500
2015-02-04 09:15:00+05:30,15.7,15.7,15.2,15.7,5627
2015-02-04 10:15:00+05:30,15.7,15.7,15.25,15.25,204
2015-02-04 11:15:00+05:30,15.25,15.25,15.25,15.25,200
2015-02-04 12:15:00+05:30,15.25,15.4,15.1,15.4,1528
2015-02-04 13:15:00+05:30,15.4,15.4,15.2,15.2,578
2015-02-04 14:15:00+05:30,15.2,15.5,15.0,15.35,4738
2015-02-04 15:15:00+05:30,15.1,15.35,15.1,15.35,0
2015-02-05 09:15:00+05:30,15.35,16.0,14.25,15.45,6669
2015-02-05 10:15:00+05:30,15.45,15.45,14.8,14.8,3766
2015-02-05 11:15:00+05:30,14.8,14.9,14.3,14.4,4624
2015-02-05 12:15:00+05:30,14.65,14.7,14.5,14.6,4704
2015-02-05 13:15:00+05:30,14.6,14.6,14.4,14.4,4176
2015-02-05 14:15:00+05:30,14.4,14.4,14.3,14.3,5387
2015-02-05 15:15:00+05:30,14.3,14.45,14.25,14.45,798
2015-02-06 09:15:00+05:30,14.45,14.45,13.3,13.3,4266
2015-02-06 10:15:00+05:30,13.3,13.5,13.1,13.5,12934
2015-02-06 11:15:00+05:30,13.5,13.5,13.4,13.5,744
2015-02-06 12:15:00+05:30,13.5,14.45,13.4,13.5,7778
2015-02-06 13:15:00+05:30,13.5,13.6,13.45,13.6,1442
2015-02-06 14:15:00+05:30,13.55,13.7,13.3,13.6,2837
2015-02-06 15:15:00+05:30,13.5,13.7,13.5,13.7,2316
2015-02-09 09:15:00+05:30,13.7,13.7,12.35,12.75,3160
2015-02-09 10:15:00+05:30,12.75,13.2,12.55,12.75,5985
2015-02-09 11:15:00+05:30,12.75,13.0,12.35,12.55,7255
2015-02-09 12:15:00+05:30,12.55,13.0,12.55,12.85,2506
2015-02-09 13:15:00+05:30,12.85,14.5,12.85,13.6,11663
2015-02-09 14:15:00+05:30,13.6,14.5,13.3,13.5,3873
2015-02-09 15:15:00+05:30,13.9,14.25,13.6,14.2,851
2015-02-10 09:15:00+05:30,13.85,14.15,13.6,13.9,936
2015-02-10 10:15:00+05:30,13.9,13.9,13.9,13.9,980
2015-02-10 11:15:00+05:30,13.9,14.9,13.75,14.5,4188
2015-02-10 12:15:00+05:30,14.5,14.7,14.4,14.7,586
2015-02-10 13:15:00+05:30,14.4,14.7,14.15,14.25,3444
2015-02-10 14:15:00+05:30,14.4,14.4,14.05,14.05,3398
2015-02-10 15:15:00+05:30,14.05,14.4,14.05,14.4,1998
2015-02-11 09:15:00+05:30,14.4,15.25,14.25,14.5,635
2015-02-11 10:15:00+05:30,14.5,14.7,14.5,14.7,469
2015-02-11 11:15:00+05:30,14.7,14.7,14.5,14.5,1000
2015-02-11 12:15:00+05:30,14.5,14.5,14.5,14.5,500
2015-02-11 13:15:00+05:30,14.5,14.55,14.25,14.55,1264
2015-02-11 14:15:00+05:30,14.55,14.55,13.6,13.7,532
2015-02-11 15:15:00+05:30,13.7,14.9,13.7,14.6,1085
2015-02-12 09:15:00+05:30,14.6,14.75,14.25,14.5,448
2015-02-12 10:15:00+05:30,14.5,14.5,14.25,14.25,1588
2015-02-12 11:15:00+05:30,14.25,14.25,14.25,14.25,1
2015-02-12 12:15:00+05:30,14.25,14.5,14.25,14.5,1843
2015-02-12 13:15:00+05:30,14.45,14.8,14.25,14.25,756
2015-02-12 14:15:00+05:30,14.85,15.0,14.4,15.0,13520
2015-02-12 15:15:00+05:30,15.0,15.0,14.55,15.0,201
2015-02-13 09:15:00+05:30,15.0,15.4,14.75,15.25,1403
2015-02-13 10:15:00+05:30,15.25,15.25,15.0,15.0,1000
2015-02-13 11:15:00+05:30,15.0,15.4,14.9,15.4,6345
2015-02-13 12:15:00+05:30,15.25,15.25,14.9,15.0,3644
2015-02-13 13:15:00+05:30,15.0,15.0,14.7,14.7,814
2015-02-13 14:15:00+05:30,14.7,14.9,14.65,14.65,387
2015-02-13 15:15:00+05:30,14.65,14.9,14.5,14.9,542
2015-02-16 09:15:00+05:30,14.9,14.9,14.35,14.75,4
2015-02-16 10:15:00+05:30,14.85,15.0,14.75,15.0,2306
2015-02-16 11:15:00+05:30,15.0,15.0,14.7,14.7,1528
2015-02-16 12:15:00+05:30,14.7,14.75,14.7,14.75,71
2015-02-16 13:15:00+05:30,14.75,15.2,14.75,15.2,1000
2015-02-16 14:15:00+05:30,15.2,15.2,14.8,14.8,212
2015-02-16 15:15:00+05:30,14.85,15.0,14.8,14.8,760
2015-02-18 09:15:00+05:30,14.8,14.8,14.6,14.6,301
2015-02-18 10:15:00+05:30,14.6,15.0,14.6,15.0,1100
2015-02-18 11:15:00+05:30,15.0,15.0,14.65,14.95,502
2015-02-18 12:15:00+05:30,14.95,14.95,14.7,14.7,550
2015-02-18 13:15:00+05:30,14.7,14.7,14.7,14.7,200
2015-02-18 14:15:00+05:30,14.7,15.0,14.7,14.75,723
2015-02-18 15:15:00+05:30,14.75,15.1,14.75,15.1,19
2015-02-19 09:15:00+05:30,15.1,15.1,14.4,14.5,6127
2015-02-19 10:15:00+05:30,14.5,15.25,14.5,15.1,6318
2015-02-19 11:15:00+05:30,15.1,15.4,15.1,15.4,653
2015-02-19 12:15:00+05:30,15.4,16.35,15.15,15.95,15425
2015-02-19 13:15:00+05:30,15.95,15.95,15.4,15.4,4052
2015-02-19 14:15:00+05:30,15.4,17.3,15.4,16.1,51988
2015-02-19 15:15:00+05:30,16.1,17.35,16.05,17.3,36916
2015-02-20 09:15:00+05:30,17.3,17.95,17.0,17.9,10971
2015-02-20 10:15:00+05:30,17.9,18.4,17.9,18.2,24424
2015-02-20 11:15:00+05:30,18.2,19.55,18.2,19.45,32274
2015-02-20 12:15:00+05:30,19.45,19.6,18.8,19.5,26374
2015-02-20 13:15:00+05:30,19.5,19.55,19.05,19.3,5962
2015-02-20 14:15:00+05:30,19.3,19.8,19.15,19.6,10165
2015-02-20 15:15:00+05:30,19.7,19.7,19.3,19.5,4907
2015-02-23 09:15:00+05:30,19.5,21.0,19.0,20.35,56264
2015-02-23 10:15:00+05:30,20.35,20.7,19.6,20.2,24792
2015-02-23 11:15:00+05:30,20.2,20.6,20.2,20.6,4318
2015-02-23 12:15:00+05:30,20.6,20.6,20.1,20.1,5341
2015-02-23 13:15:00+05:30,20.1,20.25,20.1,20.1,9286
2015-02-23 14:15:00+05:30,20.1,20.35,19.5,19.8,10514
2015-02-23 15:15:00+05:30,19.75,20.0,19.7,19.75,3595
2015-02-24 09:15:00+05:30,19.75,20.3,19.3,19.3,6764
2015-02-24 10:15:00+05:30,19.3,19.3,18.35,18.55,16791
2015-02-24 11:15:00+05:30,18.55,18.9,18.5,18.9,1975
2015-02-24 12:15:00+05:30,18.9,19.0,18.7,18.7,651
2015-02-24 13:15:00+05:30,19.1,19.3,18.5,18.5,13612
2015-02-24 14:15:00+05:30,18.5,19.0,18.0,18.0,10216
2015-02-24 15:15:00+05:30,18.0,18.5,18.0,18.5,4531
2015-02-25 09:15:00+05:30,18.5,18.8,18.3,18.8,920
2015-02-25 10:15:00+05:30,18.8,18.8,18.3,18.3,2064
2015-02-25 11:15:00+05:30,18.3,18.5,18.3,18.3,207
2015-02-25 12:15:00+05:30,18.3,18.5,18.3,18.5,284
2015-02-25 13:15:00+05:30,18.3,18.5,18.25,18.25,1184
2015-02-25 14:15:00+05:30,18.25,18.7,18.2,18.2,1810
2015-02-25 15:15:00+05:30,18.2,18.2,18.1,18.1,611
2015-02-26 09:15:00+05:30,18.1,18.25,17.25,17.7,6003
2015-02-26 10:15:00+05:30,17.7,17.95,17.2,17.2,3636
2015-02-26 11:15:00+05:30,17.2,18.0,17.15,17.5,3144
2015-02-26 12:15:00+05:30,17.5,17.75,17.4,17.4,922
2015-02-26 13:15:00+05:30,17.4,17.5,17.15,17.45,2472
2015-02-26 14:15:00+05:30,17.45,17.5,17.35,17.35,1090
2015-02-26 15:15:00+05:30,17.35,17.55,17.2,17.2,2870
2015-02-27 09:15:00+05:30,17.2,18.0,16.95,17.6,3195
2015-02-27 10:15:00+05:30,17.6,18.0,17.5,17.95,842
2015-02-27 11:15:00+05:30,17.95,17.95,17.5,17.7,2300
2015-02-27 12:15:00+05:30,17.75,17.75,17.5,17.5,999
2015-02-27 13:15:00+05:30,17.75,17.75,17.3,17.5,5004
2015-02-27 14:15:00+05:30,17.3,17.75,17.3,17.5,1103
2015-02-27 15:15:00+05:30,17.5,17.5,17.15,17.5,300
2015-02-28 09:15:00+05:30,17.15,17.75,17.15,17.5,2350
2015-02-28 10:15:00+05:30,17.7,17.7,17.4,17.4,217
2015-02-28 11:15:00+05:30,17.5,17.5,17.4,17.4,402
2015-02-28 12:15:00+05:30,17.4,17.4,17.05,17.1,965
2015-02-28 13:15:00+05:30,17.1,17.1,16.55,16.8,1628
2015-02-28 14:15:00+05:30,16.8,16.95,16.8,16.95,756
2015-02-28 15:15:00+05:30,16.95,17.0,16.8,17.0,987
2015-03-02 09:15:00+05:30,17.0,17.25,17.0,17.0,15763
2015-03-02 10:15:00+05:30,16.95,17.0,16.45,16.9,4388
2015-03-02 11:15:00+05:30,16.5,16.9,16.5,16.55,500
2015-03-02 12:15:00+05:30,16.55,16.9,16.25,16.5,6804
2015-03-02 13:15:00+05:30,16.5,16.6,16.5,16.6,5428
2015-03-02 14:15:00+05:30,16.6,16.75,16.35,16.35,1600
2015-03-02 15:15:00+05:30,16.35,16.65,16.35,16.35,5184
2015-03-03 09:15:00+05:30,16.35,17.35,16.0,16.5,371
2015-03-03 10:15:00+05:30,16.5,16.5,16.3,16.5,1573
2015-03-03 11:15:00+05:30,16.5,16.5,16.25,16.3,402
2015-03-03 12:15:00+05:30,16.25,16.5,16.2,16.5,4555
2015-03-03 13:15:00+05:30,16.45,16.55,16.45,16.55,2682
2015-03-03 14:15:00+05:30,16.55,17.0,16.5,17.0,2400
2015-03-03 15:15:00+05:30,17.0,17.0,16.5,16.5,1431
2015-03-04 09:15:00+05:30,16.5,17.0,16.25,16.25,3399
2015-03-04 10:15:00+05:30,16.25,16.25,16.25,16.25,1250
2015-03-04 11:15:00+05:30,16.25,16.45,16.0,16.0,5202
2015-03-04 12:15:00+05:30,16.0,16.5,16.0,16.45,2160
2015-03-04 13:15:00+05:30,16.1,16.5,16.1,16.15,380
2015-03-04 14:15:00+05:30,16.15,16.25,16.05,16.15,3927
2015-03-04 15:15:00+05:30,16.15,16.15,15.6,15.6,2160
2015-03-05 09:15:00+05:30,15.6,16.2,15.6,16.0,601
2015-03-05 10:15:00+05:30,16.2,16.2,16.0,16.0,1010
2015-03-05 11:15:00+05:30,16.2,16.2,16.0,16.0,382
2015-03-05 12:15:00+05:30,16.0,16.0,15.8,15.85,1438
2015-03-05 13:15:00+05:30,15.8,16.2,15.8,16.15,1450
2015-03-05 14:15:00+05:30,16.2,16.2,15.85,15.85,458
2015-03-05 15:15:00+05:30,15.85,15.85,15.75,15.85,400
2015-03-09 09:15:00+05:30,15.75,16.7,15.1,16.7,2385
2015-03-09 10:15:00+05:30,16.3,16.3,16.0,16.25,396
2015-03-09 11:15:00+05:30,16.25,16.25,16.0,16.25,348
2015-03-09 12:15:00+05:30,16.0,16.6,16.0,16.5,312
2015-03-09 13:15:00+05:30,16.5,16.55,16.0,16.0,320
2015-03-09 14:15:00+05:30,16.0,16.35,15.15,15.3,4365
2015-03-09 15:15:00+05:30,15.3,16.0,15.3,16.0,694
2015-03-10 09:15:00+05:30,16.0,16.5,15.75,16.2,205
2015-03-10 10:15:00+05:30,15.75,16.2,15.75,16.0,225
2015-03-10 11:15:00+05:30,16.0,16.0,15.3,15.5,5282
2015-03-10 12:15:00+05:30,15.5,15.85,15.5,15.85,875
2015-03-10 13:15:00+05:30,15.85,15.85,15.3,15.35,231
2015-03-10 14:15:00+05:30,15.3,15.35,15.3,15.35,15
2015-03-10 15:15:00+05:30,15.35,15.35,15.35,15.35,0
2015-03-11 09:15:00+05:30,15.35,15.9,15.2,15.9,1704
2015-03-11 10:15:00+05:30,15.75,15.9,15.7,15.75,1500
2015-03-11 11:15:00+05:30,15.7,15.75,15.35,15.35,81
2015-03-11 12:15:00+05:30,15.7,15.7,15.35,15.35,0
2015-03-11 13:15:00+05:30,15.35,15.35,15.15,15.15,1457
2015-03-11 14:15:00+05:30,15.15,15.4,15.15,15.25,647
2015-03-11 15:15:00+05:30,15.25,15.25,15.2,15.2,390
2015-03-12 09:15:00+05:30,15.25,15.8,14.85,15.8,109
2015-03-12 10:15:00+05:30,15.8,15.8,15.25,15.45,586
2015-03-12 11:15:00+05:30,15.45,15.7,15.15,15.4,1540
2015-03-12 12:15:00+05:30,15.4,15.8,15.3,15.5,1008
2015-03-12 13:15:00+05:30,15.3,15.5,15.3,15.5,50
2015-03-12 14:15:00+05:30,15.5,16.35,15.5,16.35,8584
2015-03-12 15:15:00+05:30,16.15,16.5,15.75,16.5,2712
2015-03-13 09:15:00+05:30,16.5,16.5,15.5,15.5,1658
2015-03-13 10:15:00+05:30,15.5,15.75,15.5,15.5,2245
2015-03-13 11:15:00+05:30,15.5,15.75,15.5,15.75,2300
2015-03-13 12:15:00+05:30,15.75,15.75,15.35,15.5,1237
2015-03-13 13:15:00+05:30,15.5,15.5,15.35,15.35,350
2015-03-13 14:15:00+05:30,15.35,15.35,15.25,15.25,709
2015-03-13 15:15:00+05:30,15.6,15.6,15.25,15.25,374
2015-03-16 09:15:00+05:30,15.3,15.95,15.3,15.5,755
2015-03-16 10:15:00+05:30,15.5,15.95,15.5,15.95,100
2015-03-16 11:15:00+05:30,15.95,15.95,15.4,15.7,3855
