date,open,high,low,close,volume
2020-06-22 09:15:00+05:30,9.7,9.7,9.7,9.7,5523
2020-06-22 10:15:00+05:30,9.7,11.07,9.7,11.07,16692
2020-06-22 11:15:00+05:30,11.07,11.07,11.07,11.07,0
2020-06-22 12:15:00+05:30,11.07,11.07,11.07,11.07,0
2020-06-22 13:15:00+05:30,11.07,11.07,11.07,11.07,0
2020-06-22 14:15:00+05:30,11.07,11.07,11.07,11.07,0
2020-06-22 15:15:00+05:30,11.07,11.07,11.07,11.07,0
2020-06-23 09:15:00+05:30,13.27,13.27,13.27,13.27,477
2020-06-23 10:15:00+05:30,13.27,13.27,13.27,13.27,297
2020-06-23 11:15:00+05:30,13.27,13.27,13.27,13.27,0
2020-06-23 12:15:00+05:30,13.27,13.27,13.27,13.27,150
2020-06-23 13:15:00+05:30,13.27,13.27,13.27,13.27,600
2020-06-23 14:15:00+05:30,13.27,13.27,13.27,13.27,3
2020-06-23 15:15:00+05:30,13.27,13.27,13.27,13.27,0
2020-06-24 09:15:00+05:30,15.92,15.92,11.68,13.5,197583
2020-06-24 10:15:00+05:30,13.5,15.92,13.03,13.43,228465
2020-06-24 11:15:00+05:30,13.47,13.82,12.33,12.92,40287
2020-06-24 12:15:00+05:30,12.92,14.57,12.83,13.07,28056
2020-06-24 13:15:00+05:30,13.82,14.0,12.92,13.87,29010
2020-06-24 14:15:00+05:30,13.87,14.33,12.78,13.7,17826
2020-06-24 15:15:00+05:30,13.7,14.25,13.0,13.98,12147
2020-06-25 09:15:00+05:30,14.15,14.15,12.08,13.12,41550
2020-06-25 10:15:00+05:30,13.12,13.5,12.95,13.02,14481
2020-06-25 11:15:00+05:30,13.02,13.15,13.0,13.05,1509
2020-06-25 12:15:00+05:30,13.05,13.13,12.83,12.85,4155
2020-06-25 13:15:00+05:30,12.85,12.97,12.43,12.9,9525
2020-06-25 14:15:00+05:30,12.9,13.17,12.55,13.17,6945
2020-06-25 15:15:00+05:30,13.17,13.17,12.7,12.7,2781
2020-06-26 09:15:00+05:30,13.33,13.33,12.95,13.23,7422
2020-06-26 10:15:00+05:30,13.23,13.25,12.18,12.3,25623
2020-06-26 11:15:00+05:30,12.3,12.63,11.07,11.5,36429
2020-06-26 12:15:00+05:30,11.5,12.32,11.07,11.85,66270
2020-06-26 13:15:00+05:30,11.85,12.0,11.7,11.75,5781
2020-06-26 14:15:00+05:30,11.75,11.95,11.42,11.58,12369
2020-06-26 15:15:00+05:30,11.58,11.87,11.58,11.83,4575
2020-06-29 09:15:00+05:30,11.73,11.73,9.4,10.7,41433
2020-06-29 10:15:00+05:30,10.7,10.95,10.5,10.78,8697
2020-06-29 11:15:00+05:30,10.78,10.78,10.6,10.78,1440
2020-06-29 12:15:00+05:30,10.78,10.83,10.67,10.75,6882
2020-06-29 13:15:00+05:30,10.75,10.87,10.68,10.83,57018
2020-06-29 14:15:00+05:30,10.83,10.97,10.83,10.87,4662
2020-06-29 15:15:00+05:30,10.87,10.87,10.83,10.83,2688
2020-06-30 09:15:00+05:30,10.85,11.32,10.67,10.83,13584
2020-06-30 10:15:00+05:30,10.83,10.9,10.68,10.85,3321
2020-06-30 11:15:00+05:30,10.85,10.9,10.83,10.9,960
2020-06-30 12:15:00+05:30,10.9,10.9,10.7,10.87,2238
2020-06-30 13:15:00+05:30,10.87,10.87,10.68,10.68,3006
2020-06-30 14:15:00+05:30,10.68,10.83,10.68,10.82,744
2020-06-30 15:15:00+05:30,10.68,10.68,10.67,10.67,2145
2020-07-01 09:15:00+05:30,10.67,12.83,10.07,11.1,17457
2020-07-01 10:15:00+05:30,11.1,11.58,11.02,11.05,3309
2020-07-01 11:15:00+05:30,11.05,11.53,11.05,11.47,1587
2020-07-01 12:15:00+05:30,11.47,11.47,11.45,11.45,60
2020-07-01 13:15:00+05:30,11.45,11.67,11.18,11.55,2322
2020-07-01 14:15:00+05:30,11.13,11.5,10.8,10.8,2175
2020-07-01 15:15:00+05:30,10.8,11.9,10.8,11.67,3930
2020-07-02 09:15:00+05:30,11.55,11.55,11.0,11.0,2199
2020-07-02 10:15:00+05:30,11.0,11.32,11.0,11.28,978
2020-07-02 11:15:00+05:30,11.28,12.0,10.7,10.75,12471
2020-07-02 12:15:00+05:30,11.43,11.48,10.85,10.9,3528
2020-07-02 13:15:00+05:30,10.9,11.42,10.9,11.07,37626
2020-07-02 14:15:00+05:30,11.07,11.23,11.0,11.2,35247
2020-07-02 15:15:00+05:30,11.2,11.2,10.9,11.0,339
2020-07-03 09:15:00+05:30,11.55,11.55,10.7,10.7,3696
2020-07-03 10:15:00+05:30,10.7,11.4,10.7,11.23,2205
2020-07-03 11:15:00+05:30,11.23,11.23,10.93,11.22,1050
2020-07-03 12:15:00+05:30,11.22,11.22,10.73,11.12,4863
2020-07-03 13:15:00+05:30,11.12,11.12,10.77,11.05,168
2020-07-03 14:15:00+05:30,11.05,11.05,10.83,10.83,279
2020-07-03 15:15:00+05:30,10.83,10.97,10.77,10.77,1494
2020-07-06 09:15:00+05:30,10.55,11.0,10.52,10.8,4833
