date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,29.55,29.75,28.5,29.2,130099
2015-02-02 10:15:00+05:30,29.3,29.75,29.2,29.5,29351
2015-02-02 11:15:00+05:30,29.35,29.5,29.05,29.2,20555
2015-02-02 12:15:00+05:30,29.2,29.4,29.2,29.35,29468
2015-02-02 13:15:00+05:30,29.35,29.75,29.2,29.55,216784
2015-02-02 14:15:00+05:30,29.55,31.45,29.4,30.75,373404
2015-02-02 15:15:00+05:30,30.6,30.9,30.6,30.8,56915
2015-02-03 09:15:00+05:30,30.8,30.8,29.75,29.8,31975
2015-02-03 10:15:00+05:30,29.8,30.5,29.8,30.15,12309
2015-02-03 11:15:00+05:30,30.15,30.15,29.75,29.85,82924
2015-02-03 12:15:00+05:30,29.85,29.95,29.6,29.75,4788
2015-02-03 13:15:00+05:30,29.75,30.25,29.7,30.2,189337
2015-02-03 14:15:00+05:30,30.2,30.4,29.2,29.4,229139
2015-02-03 15:15:00+05:30,29.4,29.4,28.8,29.0,156854
2015-02-04 09:15:00+05:30,29.5,29.5,28.6,29.0,20759
2015-02-04 10:15:00+05:30,29.0,29.1,28.85,29.0,17485
2015-02-04 11:15:00+05:30,29.0,29.0,28.35,28.85,27511
2015-02-04 12:15:00+05:30,28.85,28.85,28.05,28.5,155294
2015-02-04 13:15:00+05:30,28.5,28.8,28.35,28.65,131847
2015-02-04 14:15:00+05:30,28.65,28.85,28.4,28.85,144721
2015-02-04 15:15:00+05:30,28.4,28.5,28.1,28.15,15984
2015-02-05 09:15:00+05:30,28.3,29.15,27.2,28.5,20467
2015-02-05 10:15:00+05:30,28.5,28.8,28.5,28.55,3520
2015-02-05 11:15:00+05:30,28.55,28.9,28.4,28.4,2903
2015-02-05 12:15:00+05:30,28.4,28.5,28.05,28.05,29129
2015-02-05 13:15:00+05:30,28.3,28.75,28.3,28.35,103283
2015-02-05 14:15:00+05:30,28.35,28.85,27.75,27.75,63749
2015-02-05 15:15:00+05:30,27.75,28.0,27.5,28.0,5437
2015-02-06 09:15:00+05:30,28.0,28.0,27.6,27.65,1546
2015-02-06 10:15:00+05:30,27.65,27.9,27.3,27.5,31972
2015-02-06 11:15:00+05:30,27.55,27.7,27.3,27.6,4442
2015-02-06 12:15:00+05:30,27.6,27.7,27.45,27.6,4677
2015-02-06 13:15:00+05:30,27.6,28.2,27.5,28.15,63487
2015-02-06 14:15:00+05:30,28.05,28.65,28.05,28.65,80501
2015-02-06 15:15:00+05:30,28.45,28.95,28.35,28.75,178683
2015-02-09 09:15:00+05:30,28.75,28.75,27.4,27.5,7886
2015-02-09 10:15:00+05:30,27.5,27.9,27.2,27.35,5581
2015-02-09 11:15:00+05:30,27.35,28.25,27.35,27.6,21090
2015-02-09 12:15:00+05:30,27.6,28.45,27.6,28.05,1466
2015-02-09 13:15:00+05:30,28.05,28.05,27.65,27.85,966
2015-02-09 14:15:00+05:30,27.85,28.15,27.5,27.95,162007
2015-02-09 15:15:00+05:30,27.95,28.9,27.95,28.9,180818
2015-02-10 09:15:00+05:30,28.25,28.35,28.1,28.25,2840
2015-02-10 10:15:00+05:30,28.25,28.5,28.25,28.3,7058
2015-02-10 11:15:00+05:30,28.3,28.4,28.0,28.4,6171
2015-02-10 12:15:00+05:30,28.35,28.45,28.3,28.3,15079
2015-02-10 13:15:00+05:30,28.3,28.6,28.25,28.45,13616
2015-02-10 14:15:00+05:30,28.45,29.2,28.35,29.0,24847
2015-02-10 15:15:00+05:30,29.0,29.7,28.95,29.45,69479
2015-02-11 09:15:00+05:30,29.4,29.4,28.75,29.0,10729
2015-02-11 10:15:00+05:30,29.0,29.2,28.8,28.8,8177
2015-02-11 11:15:00+05:30,28.8,29.0,28.7,29.0,24222
2015-02-11 12:15:00+05:30,28.8,30.15,28.8,29.6,34821
2015-02-11 13:15:00+05:30,29.6,30.5,29.6,30.3,69177
2015-02-11 14:15:00+05:30,30.45,30.5,29.75,30.0,68968
2015-02-11 15:15:00+05:30,30.0,30.2,30.0,30.1,30635
2015-02-12 09:15:00+05:30,29.8,29.9,29.5,29.6,1817
2015-02-12 10:15:00+05:30,29.6,30.2,29.5,30.2,9956
2015-02-12 11:15:00+05:30,30.2,30.2,29.8,30.2,13983
2015-02-12 12:15:00+05:30,30.25,30.45,30.05,30.2,12905
2015-02-12 13:15:00+05:30,30.05,30.4,30.05,30.1,14835
2015-02-12 14:15:00+05:30,30.1,30.35,29.4,30.0,194561
2015-02-12 15:15:00+05:30,30.05,30.5,29.35,29.45,157155
2015-02-13 09:15:00+05:30,29.8,29.8,29.4,29.5,20567
2015-02-13 10:15:00+05:30,29.5,29.55,29.45,29.5,5427
2015-02-13 11:15:00+05:30,29.5,29.55,28.95,29.3,108516
2015-02-13 12:15:00+05:30,29.3,29.35,29.1,29.3,30119
2015-02-13 13:15:00+05:30,29.3,29.3,29.2,29.25,53250
2015-02-13 14:15:00+05:30,29.25,29.8,28.95,28.95,309393
2015-02-13 15:15:00+05:30,28.95,29.5,28.85,29.5,121372
2015-02-16 09:15:00+05:30,29.1,29.25,28.5,28.75,136210
2015-02-16 10:15:00+05:30,28.75,29.0,28.7,28.75,14417
2015-02-16 11:15:00+05:30,28.75,28.75,28.2,28.7,31099
2015-02-16 12:15:00+05:30,28.7,28.8,28.55,28.75,35432
2015-02-16 13:15:00+05:30,28.75,28.8,28.5,28.55,9248
2015-02-16 14:15:00+05:30,28.55,28.75,28.2,28.3,60831
2015-02-16 15:15:00+05:30,28.25,29.25,28.2,28.95,42623
2015-02-18 09:15:00+05:30,28.2,28.85,28.2,28.5,10744
2015-02-18 10:15:00+05:30,28.5,28.65,28.3,28.65,14691
2015-02-18 11:15:00+05:30,28.65,28.65,28.45,28.45,4084
2015-02-18 12:15:00+05:30,28.45,28.45,28.1,28.35,31387
2015-02-18 13:15:00+05:30,28.35,28.6,28.1,28.4,72033
