date,open,high,low,close,volume
2003-10-01 00:00:00+05:30,10.87,11.06,10.05,10.24,789369
2003-10-03 00:00:00+05:30,10.39,10.39,9.81,10.24,572512
2003-10-06 00:00:00+05:30,10.24,10.34,10.15,10.24,390591
2003-10-07 00:00:00+05:30,10.19,10.29,10.15,10.19,311670
2003-10-08 00:00:00+05:30,10.24,10.29,10.15,10.24,275468
2003-10-09 00:00:00+05:30,10.19,10.29,10.15,10.19,387134
2003-10-10 00:00:00+05:30,10.34,10.44,10.05,10.19,642475
2003-10-13 00:00:00+05:30,10.1,10.1,9.81,9.95,558796
2003-10-14 00:00:00+05:30,10.15,10.15,9.32,9.42,1613402
2003-10-15 00:00:00+05:30,9.32,9.57,9.28,9.28,102873
2003-10-16 00:00:00+05:30,9.28,9.42,9.18,9.23,161135
2003-10-17 00:00:00+05:30,9.18,9.71,9.18,9.32,80270
2003-10-20 00:00:00+05:30,9.18,9.32,9.18,9.23,83523
2003-10-21 00:00:00+05:30,9.23,9.32,9.23,9.23,36826
2003-10-22 00:00:00+05:30,10.15,10.15,9.18,9.23,348660
2003-10-23 00:00:00+05:30,9.13,9.37,9.13,9.23,55424
2003-10-24 00:00:00+05:30,9.32,9.37,9.28,9.28,41350
2003-10-27 00:00:00+05:30,9.28,9.57,9.28,9.42,22750
2003-10-28 00:00:00+05:30,9.28,9.37,9.28,9.28,41854
2003-10-29 00:00:00+05:30,9.37,9.37,9.08,9.28,56241
2003-10-30 00:00:00+05:30,9.28,9.32,9.28,9.28,52774
2003-10-31 00:00:00+05:30,9.18,9.37,9.18,9.28,41602
2003-11-03 00:00:00+05:30,9.28,9.28,8.99,9.04,92750
2003-11-04 00:00:00+05:30,8.94,9.28,8.94,9.08,98223
2003-11-05 00:00:00+05:30,9.08,9.23,9.08,9.08,50068
2003-11-06 00:00:00+05:30,9.23,9.37,8.99,9.08,27923
2003-11-07 00:00:00+05:30,9.28,9.28,9.08,9.08,40610
