date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,31.7,32.95,31.7,32.3,5282
2015-02-02 10:15:00+05:30,32.3,32.5,32.05,32.1,3796
2015-02-02 11:15:00+05:30,32.15,32.6,32.1,32.45,3776
2015-02-02 12:15:00+05:30,32.45,32.6,32.25,32.3,1110
2015-02-02 13:15:00+05:30,32.3,32.45,32.3,32.3,246
2015-02-02 14:15:00+05:30,32.3,32.55,31.95,32.4,6310
2015-02-02 15:15:00+05:30,32.4,32.5,32.0,32.4,3032
2015-02-03 09:15:00+05:30,32.4,33.65,32.3,32.7,5704
2015-02-03 10:15:00+05:30,32.7,32.7,32.3,32.4,2390
2015-02-03 11:15:00+05:30,32.4,32.7,32.3,32.3,2700
2015-02-03 12:15:00+05:30,32.3,32.5,32.3,32.5,102
2015-02-03 13:15:00+05:30,32.5,32.5,32.35,32.4,1990
2015-02-03 14:15:00+05:30,32.4,32.6,32.25,32.3,4478
2015-02-03 15:15:00+05:30,32.4,32.55,32.25,32.3,2172
2015-02-04 09:15:00+05:30,32.3,32.9,32.25,32.25,3654
2015-02-04 10:15:00+05:30,32.25,32.4,32.25,32.3,506
2015-02-04 11:15:00+05:30,32.3,32.75,32.3,32.4,2310
2015-02-04 12:15:00+05:30,32.6,32.6,32.25,32.25,1028
2015-02-04 13:15:00+05:30,32.25,33.6,32.25,32.8,32912
2015-02-04 14:15:00+05:30,32.8,32.8,31.8,32.1,14724
2015-02-04 15:15:00+05:30,32.1,32.25,31.8,32.25,8066
2015-02-05 09:15:00+05:30,32.25,32.65,32.05,32.5,1522
2015-02-05 10:15:00+05:30,32.5,32.5,32.3,32.3,4970
2015-02-05 11:15:00+05:30,32.3,33.3,32.3,32.7,10124
2015-02-05 12:15:00+05:30,32.7,32.85,32.55,32.6,740
2015-02-05 13:15:00+05:30,32.6,32.75,32.45,32.5,3414
2015-02-05 14:15:00+05:30,32.5,32.55,31.9,31.9,7830
2015-02-05 15:15:00+05:30,31.85,31.85,31.5,31.5,9090
2015-02-06 09:15:00+05:30,31.5,31.75,31.05,31.5,2898
2015-02-06 10:15:00+05:30,31.5,31.7,31.0,31.0,2888
2015-02-06 11:15:00+05:30,31.0,31.5,31.0,31.5,830
