date,open,high,low,close,volume
2019-10-15 00:00:00+05:30,12.25,12.3,12.05,12.05,5434685
2019-10-16 00:00:00+05:30,12.1,12.1,12.0,12.05,2640660
2019-10-17 00:00:00+05:30,12.05,12.1,12.05,12.05,1851490
2019-10-18 00:00:00+05:30,12.05,12.1,12.05,12.1,1464370
2019-10-22 00:00:00+05:30,12.05,12.2,12.05,12.1,386820
2019-10-23 00:00:00+05:30,12.05,12.2,12.05,12.2,582685
2019-10-24 00:00:00+05:30,12.2,12.3,12.1,12.3,1200510
2019-10-25 00:00:00+05:30,12.05,12.6,12.05,12.35,539870
2019-10-27 00:00:00+05:30,12.35,12.6,12.15,12.4,13955
2019-10-29 00:00:00+05:30,12.45,12.6,12.2,12.35,938530
2019-10-30 00:00:00+05:30,12.6,12.6,12.2,12.6,20915
2019-10-31 00:00:00+05:30,12.6,12.6,12.25,12.55,2466065
2019-11-01 00:00:00+05:30,12.6,13.0,12.25,12.8,210240
2019-11-04 00:00:00+05:30,13.0,13.3,12.4,12.9,687045
2019-11-05 00:00:00+05:30,13.2,14.7,12.65,13.95,161370
2019-11-06 00:00:00+05:30,14.55,16.75,14.5,16.45,2344965
2019-11-07 00:00:00+05:30,17.2,18.9,15.4,16.15,3342735
2019-11-08 00:00:00+05:30,16.2,16.8,14.4,14.85,817745
2019-11-11 00:00:00+05:30,14.85,15.6,14.5,14.8,261485
2019-11-13 00:00:00+05:30,15.0,15.0,13.6,13.75,543270
2019-11-14 00:00:00+05:30,13.55,14.0,12.8,13.3,1042245
2019-11-15 00:00:00+05:30,14.0,14.0,13.25,13.45,92905
2019-11-18 00:00:00+05:30,13.8,13.8,13.1,13.15,63740
2019-11-19 00:00:00+05:30,13.1,13.75,13.0,13.55,377600
2019-11-20 00:00:00+05:30,14.0,14.15,13.4,13.85,616385
2019-11-21 00:00:00+05:30,13.85,14.1,13.4,13.8,578820
2019-11-22 00:00:00+05:30,14.4,14.4,13.6,14.15,261075
2019-11-25 00:00:00+05:30,14.4,14.55,13.8,14.2,190225
2019-11-26 00:00:00+05:30,14.4,14.4,13.65,13.8,43105
2019-11-27 00:00:00+05:30,13.8,14.0,13.6,13.95,112440
2019-11-28 00:00:00+05:30,14.4,14.55,13.6,14.1,208130
2019-11-29 00:00:00+05:30,14.35,14.35,13.7,14.05,66750
2019-12-02 00:00:00+05:30,13.6,14.0,13.6,13.7,35430
2019-12-03 00:00:00+05:30,13.7,13.95,13.5,13.5,56425
2019-12-04 00:00:00+05:30,13.6,14.4,13.5,14.2,255240
