date,open,high,low,close,volume
2025-09-24 00:00:00+05:30,104.9,105.0,99.65,99.65,5353619
2025-09-25 00:00:00+05:30,94.66,94.7,94.66,94.66,466944
2025-09-26 00:00:00+05:30,89.92,89.92,89.92,89.92,161205
2025-09-29 00:00:00+05:30,85.42,85.42,85.42,85.42,87822
2025-09-30 00:00:00+05:30,81.14,83.71,81.14,81.14,1535140
2025-10-01 00:00:00+05:30,77.08,83.9,77.08,82.67,1203392
2025-10-03 00:00:00+05:30,82.0,82.0,79.1,79.81,497184
2025-10-06 00:00:00+05:30,79.82,80.0,75.81,75.9,432301
2025-10-07 00:00:00+05:30,75.11,78.7,72.1,77.19,748559
2025-10-08 00:00:00+05:30,76.7,76.99,74.1,76.32,392588
2025-10-09 00:00:00+05:30,76.7,76.7,72.9,74.69,580616
2025-10-10 00:00:00+05:30,74.32,75.99,74.32,75.28,260162
2025-10-13 00:00:00+05:30,74.11,77.5,73.52,76.34,935157
2025-10-14 00:00:00+05:30,76.34,78.5,75.15,75.7,697182
2025-10-15 00:00:00+05:30,73.75,75.31,73.0,73.43,334781
2025-10-16 00:00:00+05:30,73.79,74.94,72.5,72.84,267928
2025-10-17 00:00:00+05:30,72.3,74.5,71.0,71.07,428703
2025-10-20 00:00:00+05:30,72.0,72.45,69.26,71.04,502689
2025-10-21 00:00:00+05:30,71.5,71.96,71.0,71.54,85296
2025-10-23 00:00:00+05:30,71.98,72.4,69.75,70.36,241331
2025-10-24 00:00:00+05:30,70.31,70.89,69.5,70.19,193756
2025-10-27 00:00:00+05:30,70.19,70.9,69.05,69.44,259487
2025-10-28 00:00:00+05:30,69.11,70.16,68.03,68.82,292880
2025-10-29 00:00:00+05:30,68.6,73.0,68.55,72.24,851328
2025-10-30 00:00:00+05:30,72.9,76.39,71.45,72.09,696806
2025-10-31 00:00:00+05:30,72.0,72.74,71.25,71.9,192559
2025-11-03 00:00:00+05:30,71.45,72.0,70.6,70.67,105731
2025-11-04 00:00:00+05:30,70.51,71.1,70.0,70.03,120411
2025-11-06 00:00:00+05:30,69.06,69.84,66.3,66.53,526734
2025-11-07 00:00:00+05:30,66.0,68.34,64.18,67.77,611569
2025-11-10 00:00:00+05:30,67.5,67.8,66.4,66.93,203663
2025-11-11 00:00:00+05:30,67.01,67.52,66.03,66.45,110040
2025-11-12 00:00:00+05:30,66.95,69.18,66.21,67.77,529155
2025-11-13 00:00:00+05:30,68.0,70.95,66.1,66.73,504293
2025-11-14 00:00:00+05:30,66.9,67.9,66.67,67.26,138487
2025-11-17 00:00:00+05:30,64.06,67.45,64.06,65.02,390475
2025-11-18 00:00:00+05:30,65.09,65.45,63.8,64.03,205406
2025-11-19 00:00:00+05:30,64.03,64.03,62.8,62.9,65053
