date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,12.0,13.5,12.0,13.2,30
2015-02-02 10:15:00+05:30,13.2,13.2,12.0,12.0,200
2015-02-02 11:15:00+05:30,12.0,12.0,12.0,12.0,0
2015-02-02 12:15:00+05:30,12.0,12.0,12.0,12.0,0
2015-02-02 13:15:00+05:30,12.0,12.0,12.0,12.0,0
2015-02-02 14:15:00+05:30,12.0,12.35,12.0,12.35,30
2015-02-02 15:15:00+05:30,12.35,12.35,12.0,12.35,0
2015-02-03 09:15:00+05:30,12.35,12.35,12.35,12.35,0
2015-02-03 10:15:00+05:30,12.35,12.35,12.35,12.35,0
2015-02-03 11:15:00+05:30,12.35,12.35,12.35,12.35,0
2015-02-03 12:15:00+05:30,12.35,12.35,11.8,11.8,702
2015-02-03 13:15:00+05:30,11.95,11.95,11.95,11.95,0
2015-02-03 14:15:00+05:30,11.95,11.95,11.95,11.95,0
2015-02-03 15:15:00+05:30,11.95,12.45,11.95,12.45,1
2015-02-04 09:15:00+05:30,12.45,12.45,12.05,12.05,150
2015-02-04 10:15:00+05:30,12.45,12.55,12.05,12.55,1239
2015-02-04 11:15:00+05:30,12.55,12.55,12.55,12.55,0
2015-02-04 12:15:00+05:30,12.55,13.65,12.55,13.65,15065
2015-02-04 13:15:00+05:30,13.65,13.65,13.65,13.65,100
2015-02-04 14:15:00+05:30,13.65,13.65,13.25,13.25,5901
2015-02-04 15:15:00+05:30,13.25,13.25,13.25,13.25,25
2015-02-05 09:15:00+05:30,13.25,13.9,13.25,13.9,760
2015-02-05 10:15:00+05:30,13.9,14.0,13.3,14.0,1365
2015-02-05 11:15:00+05:30,14.0,14.9,14.0,14.9,23721
2015-02-05 12:15:00+05:30,14.9,14.9,14.35,14.35,3357
2015-02-05 13:15:00+05:30,14.35,14.85,13.7,14.85,558
2015-02-05 14:15:00+05:30,14.85,14.85,14.1,14.8,648
2015-02-05 15:15:00+05:30,14.8,14.9,14.75,14.85,1125
2015-02-06 09:15:00+05:30,14.85,15.75,14.5,15.25,575
2015-02-06 10:15:00+05:30,15.25,15.25,14.25,14.25,1200
2015-02-06 11:15:00+05:30,14.25,14.6,14.25,14.45,75
2015-02-06 12:15:00+05:30,14.45,14.5,14.45,14.5,802
2015-02-06 13:15:00+05:30,14.5,14.5,14.5,14.5,0
2015-02-06 14:15:00+05:30,14.5,14.5,14.0,14.0,315
2015-02-06 15:15:00+05:30,14.0,14.0,14.0,14.0,50
2015-02-09 09:15:00+05:30,14.0,14.0,13.55,13.55,100
2015-02-09 10:15:00+05:30,13.55,13.55,13.55,13.55,0
2015-02-09 11:15:00+05:30,13.55,14.45,13.55,14.45,100
2015-02-09 12:15:00+05:30,14.45,14.45,14.45,14.45,0
2015-02-09 13:15:00+05:30,14.45,14.45,14.45,14.45,0
2015-02-09 14:15:00+05:30,14.45,14.45,13.25,13.35,152
2015-02-09 15:15:00+05:30,13.35,14.35,13.35,14.35,50
2015-02-10 09:15:00+05:30,13.3,15.0,13.3,13.5,363
2015-02-10 10:15:00+05:30,13.5,13.5,13.5,13.5,0
2015-02-10 11:15:00+05:30,13.5,13.5,13.5,13.5,0
2015-02-10 12:15:00+05:30,13.5,13.5,13.4,13.4,300
2015-02-10 13:15:00+05:30,13.4,13.5,13.4,13.4,0
2015-02-10 14:15:00+05:30,13.4,13.85,12.7,13.85,977
2015-02-10 15:15:00+05:30,12.7,13.85,12.7,13.25,574
2015-02-11 09:15:00+05:30,13.3,15.15,13.3,14.05,3351
2015-02-11 10:15:00+05:30,14.05,14.85,14.05,14.85,2050
2015-02-11 11:15:00+05:30,14.85,14.85,14.15,14.15,200
2015-02-11 12:15:00+05:30,14.15,14.9,14.1,14.9,429
2015-02-11 13:15:00+05:30,14.9,15.0,14.5,15.0,701
2015-02-11 14:15:00+05:30,15.0,15.0,14.55,14.55,2
2015-02-11 15:15:00+05:30,14.55,15.35,14.25,15.35,194
2015-02-12 09:15:00+05:30,15.7,15.7,14.8,15.7,50
2015-02-12 10:15:00+05:30,15.7,15.7,15.7,15.7,0
2015-02-12 11:15:00+05:30,15.7,15.7,15.7,15.7,0
2015-02-12 12:15:00+05:30,15.7,15.7,15.7,15.7,0
2015-02-12 13:15:00+05:30,15.7,15.7,15.15,15.5,175
