date,open,high,low,close,volume
2015-03-30 09:15:00+05:30,49.0,51.95,49.0,50.05,2297
2015-03-30 10:15:00+05:30,50.05,57.0,50.05,53.5,24360
2015-03-30 11:15:00+05:30,53.5,55.8,53.5,54.15,5030
2015-03-30 12:15:00+05:30,54.15,57.0,54.15,55.9,13794
2015-03-30 13:15:00+05:30,55.9,56.5,55.15,56.0,2334
2015-03-30 14:15:00+05:30,56.0,56.5,54.6,54.6,4502
2015-03-30 15:15:00+05:30,54.6,55.5,54.35,55.5,4192
2015-03-31 09:15:00+05:30,56.7,58.5,55.55,56.6,7615
2015-03-31 10:15:00+05:30,56.6,56.95,55.6,56.3,2025
2015-03-31 11:15:00+05:30,56.0,57.0,56.0,56.15,894
2015-03-31 12:15:00+05:30,56.5,56.8,56.1,56.15,1516
2015-03-31 13:15:00+05:30,56.15,57.5,56.15,56.6,3032
2015-03-31 14:15:00+05:30,56.6,57.0,55.0,55.9,89727
2015-03-31 15:15:00+05:30,55.9,56.95,55.9,56.95,32274
2015-04-01 09:15:00+05:30,56.95,57.0,54.15,56.8,2274
2015-04-01 10:15:00+05:30,55.5,56.8,55.25,56.05,3758
2015-04-01 11:15:00+05:30,56.05,56.45,54.55,55.2,14821
2015-04-01 12:15:00+05:30,55.2,56.2,54.9,55.6,9200
2015-04-01 13:15:00+05:30,55.6,56.0,55.15,55.2,2120
2015-04-01 14:15:00+05:30,55.9,57.4,55.2,55.5,115826
2015-04-01 15:15:00+05:30,55.5,56.35,55.5,56.2,645
2015-04-06 09:15:00+05:30,56.2,66.8,56.2,63.5,120839
2015-04-06 10:15:00+05:30,63.95,64.5,63.1,63.7,31973
2015-04-06 11:15:00+05:30,63.7,64.7,63.05,63.95,36598
2015-04-06 12:15:00+05:30,63.95,63.95,61.2,62.0,20796
2015-04-06 13:15:00+05:30,62.0,63.5,61.65,63.5,8646
2015-04-06 14:15:00+05:30,63.5,65.3,63.0,64.3,60968
2015-04-06 15:15:00+05:30,64.05,64.05,62.75,62.75,28437
2015-04-07 09:15:00+05:30,63.5,66.5,63.25,64.9,42561
2015-04-07 10:15:00+05:30,65.85,65.85,64.05,64.35,14060
2015-04-07 11:15:00+05:30,64.35,66.0,64.3,65.2,14207
2015-04-07 12:15:00+05:30,64.7,65.5,64.2,65.2,6086
2015-04-07 13:15:00+05:30,65.2,65.8,63.55,64.1,19666
2015-04-07 14:15:00+05:30,64.0,72.0,63.0,70.0,162109
2015-04-07 15:15:00+05:30,70.0,70.5,68.5,69.0,22268
2015-04-08 09:15:00+05:30,70.0,73.0,67.0,68.9,53808
2015-04-08 10:15:00+05:30,68.4,68.95,67.55,68.0,13693
2015-04-08 11:15:00+05:30,68.0,68.0,65.5,66.7,11979
2015-04-08 12:15:00+05:30,66.7,68.3,64.5,65.95,34007
2015-04-08 13:15:00+05:30,65.95,68.6,64.45,65.0,138556
2015-04-08 14:15:00+05:30,65.0,71.5,64.75,70.8,305474
2015-04-08 15:15:00+05:30,70.8,70.9,69.2,70.0,47279
2015-04-09 09:15:00+05:30,73.1,78.7,73.1,74.75,371779
2015-04-09 10:15:00+05:30,74.75,80.85,74.7,78.0,317327
2015-04-09 11:15:00+05:30,78.0,79.9,77.4,79.0,132149
2015-04-09 12:15:00+05:30,79.0,81.45,78.8,79.7,221756
2015-04-09 13:15:00+05:30,79.7,80.1,77.5,77.8,206791
2015-04-09 14:15:00+05:30,77.8,80.8,77.1,79.75,94155
2015-04-09 15:15:00+05:30,79.75,80.0,79.15,79.5,39767
2015-04-10 09:15:00+05:30,80.6,82.5,78.0,79.35,186790
2015-04-10 10:15:00+05:30,79.35,80.0,77.9,78.8,42251
2015-04-10 11:15:00+05:30,78.8,78.8,77.7,78.4,31513
2015-04-10 12:15:00+05:30,78.2,78.75,77.65,78.4,14912
2015-04-10 13:15:00+05:30,78.4,78.65,77.6,78.4,14464
2015-04-10 14:15:00+05:30,78.4,80.0,77.95,79.35,96922
2015-04-10 15:15:00+05:30,79.4,79.5,78.2,78.95,43697
2015-04-13 09:15:00+05:30,79.65,79.65,75.25,76.75,66165
2015-04-13 10:15:00+05:30,76.75,76.8,75.15,76.4,23400
2015-04-13 11:15:00+05:30,76.4,77.4,76.4,76.7,21669
2015-04-13 12:15:00+05:30,77.0,77.8,76.4,76.95,14750
2015-04-13 13:15:00+05:30,77.0,78.6,76.1,77.9,23674
2015-04-13 14:15:00+05:30,77.9,78.1,76.35,77.3,42165
2015-04-13 15:15:00+05:30,77.3,77.65,76.65,76.65,15087
2015-04-15 09:15:00+05:30,77.0,78.45,76.0,76.9,24108
2015-04-15 10:15:00+05:30,76.9,79.7,76.6,77.5,60386
2015-04-15 11:15:00+05:30,77.5,77.75,76.8,76.9,9045
2015-04-15 12:15:00+05:30,76.9,77.5,76.7,77.15,9881
2015-04-15 13:15:00+05:30,77.15,77.3,76.95,77.15,5599
2015-04-15 14:15:00+05:30,77.15,78.45,75.95,76.85,46240
2015-04-15 15:15:00+05:30,76.9,77.35,76.3,77.0,23469
2015-04-16 09:15:00+05:30,78.5,79.45,76.55,77.0,25304
2015-04-16 10:15:00+05:30,77.0,77.8,76.55,77.8,12146
2015-04-16 11:15:00+05:30,77.5,77.5,76.6,76.65,6775
2015-04-16 12:15:00+05:30,76.65,76.65,73.1,73.8,34231
2015-04-16 13:15:00+05:30,73.9,74.05,73.45,73.55,3305
2015-04-16 14:15:00+05:30,73.55,74.9,73.15,74.55,25253
2015-04-16 15:15:00+05:30,74.55,74.65,73.3,73.75,14042
2015-04-17 09:15:00+05:30,75.0,75.0,73.0,73.7,30627
2015-04-17 10:15:00+05:30,73.7,76.85,73.5,75.95,28467
2015-04-17 11:15:00+05:30,75.95,76.7,75.1,75.1,7525
2015-04-17 12:15:00+05:30,75.1,75.5,74.2,75.0,2776
2015-04-17 13:15:00+05:30,75.0,76.05,75.0,75.0,5873
2015-04-17 14:15:00+05:30,75.0,75.5,73.95,74.0,16758
2015-04-17 15:15:00+05:30,74.0,74.0,72.6,74.0,9605
2015-04-20 09:15:00+05:30,74.95,75.0,72.5,73.0,12119
2015-04-20 10:15:00+05:30,73.0,73.25,71.3,72.0,10994
2015-04-20 11:15:00+05:30,72.0,72.65,71.75,72.65,6373
2015-04-20 12:15:00+05:30,72.65,72.7,72.0,72.2,1787
2015-04-20 13:15:00+05:30,72.2,72.2,71.5,71.5,5906
2015-04-20 14:15:00+05:30,71.5,71.75,68.25,69.6,34265
2015-04-20 15:15:00+05:30,69.6,69.6,68.55,69.0,9486
2015-04-21 09:15:00+05:30,67.1,70.7,67.1,69.9,13618
2015-04-21 10:15:00+05:30,69.9,69.9,68.3,69.0,5749
2015-04-21 11:15:00+05:30,69.0,69.45,68.6,69.0,6822
2015-04-21 12:15:00+05:30,69.0,71.25,69.0,71.25,9648
2015-04-21 13:15:00+05:30,71.25,72.8,70.65,71.0,26264
2015-04-21 14:15:00+05:30,71.0,71.1,68.1,68.5,13850
2015-04-21 15:15:00+05:30,68.5,69.15,68.5,69.1,8427
2015-04-22 09:15:00+05:30,69.0,70.95,69.0,69.9,15619
2015-04-22 10:15:00+05:30,69.9,69.9,69.4,69.6,2036
